drug_name,rule_count,page_relpath,page_type
氨苯砜,1,wiki/drugs/rule_cards/RULE-016-氨苯砜.md,drug_rule_card
氯羟吡啶,2,wiki/drugs/氯羟吡啶.md,drug_summary
氯羟吡啶,1,wiki/drugs/rule_cards/RULE-063-氯羟吡啶.md,drug_rule_card
氯羟吡啶,1,wiki/drugs/rule_cards/RULE-064-氯羟吡啶.md,drug_rule_card
氯霉素,1,wiki/drugs/氯霉素.md,drug_summary
氯霉素,1,wiki/drugs/rule_cards/RULE-013-氯霉素.md,drug_rule_card
沙拉沙星,2,wiki/drugs/沙拉沙星.md,drug_summary
沙拉沙星,1,wiki/drugs/rule_cards/RULE-052-沙拉沙星.md,drug_rule_card
沙拉沙星,1,wiki/drugs/rule_cards/RULE-053-沙拉沙星.md,drug_rule_card
洛硝达唑,1,wiki/drugs/洛硝达唑.md,drug_summary
洛硝达唑,1,wiki/drugs/rule_cards/RULE-017-洛硝达唑.md,drug_rule_card
海南霉素钠,2,wiki/drugs/海南霉素钠.md,drug_summary
海南霉素钠,1,wiki/drugs/rule_cards/RULE-037-海南霉素钠.md,drug_rule_card
海南霉素钠,1,wiki/drugs/rule_cards/RULE-038-海南霉素钠.md,drug_rule_card
环丙氨嗪,1,wiki/drugs/环丙氨嗪.md,drug_summary
环丙氨嗪,1,wiki/drugs/rule_cards/RULE-077-环丙氨嗪.md,drug_rule_card
环丙沙星,2,wiki/drugs/环丙沙星.md,drug_summary
环丙沙星,1,wiki/drugs/rule_cards/RULE-050-环丙沙星.md,drug_rule_card
环丙沙星,1,wiki/drugs/rule_cards/RULE-051-环丙沙星.md,drug_rule_card
甲砜霉素,1,wiki/drugs/甲砜霉素.md,drug_summary
甲砜霉素,1,wiki/drugs/rule_cards/RULE-045-甲砜霉素.md,drug_rule_card
甲硝唑,1,wiki/drugs/甲硝唑.md,drug_summary
甲硝唑,1,wiki/drugs/rule_cards/RULE-001-甲硝唑.md,drug_rule_card
盐酸多西环素,1,wiki/drugs/盐酸多西环素.md,drug_summary
盐酸多西环素,1,wiki/drugs/rule_cards/RULE-004-盐酸多西环素.md,drug_rule_card
盐酸大观霉素,2,wiki/drugs/盐酸大观霉素.md,drug_summary
盐酸大观霉素,1,wiki/drugs/rule_cards/RULE-027-盐酸大观霉素.md,drug_rule_card
盐酸大观霉素,1,wiki/drugs/rule_cards/RULE-028-盐酸大观霉素.md,drug_rule_card
盐酸氯苯胍,2,wiki/drugs/盐酸氯苯胍.md,drug_summary
盐酸氯苯胍,1,wiki/drugs/rule_cards/RULE-065-盐酸氯苯胍.md,drug_rule_card
盐酸氯苯胍,1,wiki/drugs/rule_cards/RULE-066-盐酸氯苯胍.md,drug_rule_card
盐霉素钠,2,wiki/drugs/盐霉素钠.md,drug_summary
盐霉素钠,1,wiki/drugs/rule_cards/RULE-061-盐霉素钠.md,drug_rule_card
盐霉素钠,1,wiki/drugs/rule_cards/RULE-062-盐霉素钠.md,drug_rule_card
硝基呋喃类,1,wiki/drugs/硝基呋喃类.md,drug_summary
硝基呋喃类,1,wiki/drugs/rule_cards/RULE-014-硝基呋喃类.md,drug_rule_card
硫氰酸红霉素,2,wiki/drugs/硫氰酸红霉素.md,drug_summary
硫氰酸红霉素,1,wiki/drugs/rule_cards/RULE-059-硫氰酸红霉素.md,drug_rule_card
硫氰酸红霉素,1,wiki/drugs/rule_cards/RULE-060-硫氰酸红霉素.md,drug_rule_card
硫酸安普霉素,2,wiki/drugs/硫酸安普霉素.md,drug_summary
硫酸安普霉素,1,wiki/drugs/rule_cards/RULE-039-硫酸安普霉素.md,drug_rule_card
硫酸安普霉素,1,wiki/drugs/rule_cards/RULE-040-硫酸安普霉素.md,drug_rule_card
硫酸新霉素,2,wiki/drugs/硫酸新霉素.md,drug_summary
硫酸新霉素,1,wiki/drugs/rule_cards/RULE-055-硫酸新霉素.md,drug_rule_card
硫酸新霉素,1,wiki/drugs/rule_cards/RULE-056-硫酸新霉素.md,drug_rule_card
硫酸粘菌素,2,wiki/drugs/硫酸粘菌素.md,drug_summary
硫酸粘菌素,1,wiki/drugs/rule_cards/RULE-057-硫酸粘菌素.md,drug_rule_card
硫酸粘菌素,1,wiki/drugs/rule_cards/RULE-058-硫酸粘菌素.md,drug_rule_card
磺胺二甲嘧啶,1,wiki/drugs/磺胺二甲嘧啶.md,drug_summary
磺胺二甲嘧啶,1,wiki/drugs/rule_cards/RULE-073-磺胺二甲嘧啶.md,drug_rule_card
磺胺喹噁啉钠,2,wiki/drugs/磺胺喹噁啉钠.md,drug_summary
磺胺喹噁啉钠,1,wiki/drugs/rule_cards/RULE-069-磺胺喹噁啉钠.md,drug_rule_card
磺胺喹噁啉钠,1,wiki/drugs/rule_cards/RULE-070-磺胺喹噁啉钠.md,drug_rule_card
磺胺氯吡嗪钠,2,wiki/drugs/磺胺氯吡嗪钠.md,drug_summary
磺胺氯吡嗪钠,1,wiki/drugs/rule_cards/RULE-029-磺胺氯吡嗪钠.md,drug_rule_card
磺胺氯吡嗪钠,1,wiki/drugs/rule_cards/RULE-030-磺胺氯吡嗪钠.md,drug_rule_card
诺氟沙星,1,wiki/drugs/诺氟沙星.md,drug_summary
诺氟沙星,1,wiki/drugs/rule_cards/RULE-019-诺氟沙星.md,drug_rule_card
达氟沙星,2,wiki/drugs/达氟沙星.md,drug_summary
达氟沙星,1,wiki/drugs/rule_cards/RULE-048-达氟沙星.md,drug_rule_card
达氟沙星,1,wiki/drugs/rule_cards/RULE-049-达氟沙星.md,drug_rule_card
酒石酸泰乐菌素,2,wiki/drugs/酒石酸泰乐菌素.md,drug_summary
酒石酸泰乐菌素,1,wiki/drugs/rule_cards/RULE-031-酒石酸泰乐菌素.md,drug_rule_card
酒石酸泰乐菌素,1,wiki/drugs/rule_cards/RULE-032-酒石酸泰乐菌素.md,drug_rule_card
阿苯达唑,1,wiki/drugs/阿苯达唑.md,drug_summary
阿苯达唑,1,wiki/drugs/rule_cards/RULE-074-阿苯达唑.md,drug_rule_card
阿莫西林,2,wiki/drugs/阿莫西林.md,drug_summary
阿莫西林,1,wiki/drugs/rule_cards/RULE-021-阿莫西林.md,drug_rule_card
阿莫西林,1,wiki/drugs/rule_cards/RULE-022-阿莫西林.md,drug_rule_card
马杜霉素铵,2,wiki/drugs/马杜霉素铵.md,drug_summary
马杜霉素铵,1,wiki/drugs/rule_cards/RULE-033-马杜霉素铵.md,drug_rule_card
马杜霉素铵,1,wiki/drugs/rule_cards/RULE-034-马杜霉素铵.md,drug_rule_card
