drug_id,normalized_drug_name,aliases,active_ingredient,drug_class,target_species,food_animal_status,egg_phase_status,withdrawal_days_default,egg_withdrawal_days_default,risk_tier,evidence_source,evidence_url,label_basis,rule_version,evidence_strength,last_verified,notes
DRUG-016,替硝唑,替硝唑,tinidazole,硝基咪唑类,鸡,prohibited_for_food_animals,prohibited,,,critical,"农业农村部公告第250号","https://www.moa.gov.cn/govpublic/xmsyj/202001/t20200106_6334375.htm","第250号将替硝唑列入硝基咪唑类禁用项。","v2.1.0","high","2026-04-23","与硝基咪唑类红线同组管理。"
DRUG-017,诺氟沙星,诺氟沙星;氟哌酸,norfloxacin,氟喹诺酮类,鸡,prohibited_for_food_animals,prohibited,,,critical,"农业部公告第2292号","https://www.moa.gov.cn/xw/bmdt/201509/t20150907_4819267.htm","第2292号决定停止食品动物用诺氟沙星等4种兽药。","v2.1.0","high","2026-04-23","按食品动物停止使用红线管理。"
DRUG-018,氧氟沙星,氧氟沙星,ofloxacin,氟喹诺酮类,鸡,prohibited_for_food_animals,prohibited,,,critical,"农业部公告第2292号","https://www.moa.gov.cn/xw/bmdt/201509/t20150907_4819267.htm","第2292号决定停止食品动物用氧氟沙星等4种兽药。","v2.1.0","high","2026-04-23","按食品动物停止使用红线管理。"
DRUG-019,阿莫西林,阿莫西林;阿莫西林可溶性粉,amoxicillin,β-内酰胺类抗菌药,鸡,allowed_with_label,prohibited_in_laying_hens,7,,high,"农业农村部公告第190号","https://www.moa.gov.cn/nybgb/2019/201907/202001/t20200106_6334395.htm","公告标签样稿载明鸡7日且蛋鸡产蛋期禁用。","v2.1.0","high","2026-04-23","治疗敏感菌感染时必须按标签使用。"
DRUG-020,复方氨苄西林,复方氨苄西林;复方氨苄西林粉,compound ampicillin,β-内酰胺类抗菌药,鸡,allowed_with_label,prohibited_in_laying_hens,7,,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载复方氨苄西林粉鸡7日且产蛋期禁用。","v2.1.0","medium","2026-04-23","需结合具体产品标签复核剂型。"
DRUG-021,恩诺沙星,恩诺沙星;恩诺沙星可溶性粉;恩诺沙星溶液,enrofloxacin,氟喹诺酮类,鸡,allowed_with_label,prohibited_in_laying_hens,8,,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载恩诺沙星鸡/禽8日且产蛋鸡禁用。","v2.1.0","medium","2026-04-23","动物专用喹诺酮但产蛋期禁止。"
DRUG-022,盐酸大观霉素,盐酸大观霉素;大观霉素;盐酸大观霉素可溶性粉,spectinomycin hydrochloride,氨基环醇类抗菌药,鸡,allowed_with_label,prohibited_in_laying_hens,5,,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载盐酸大观霉素可溶性粉鸡5日且产蛋期禁用。","v2.1.0","medium","2026-04-23","常用于细菌性呼吸道/肠道问题时需标签化管理。"
DRUG-023,磺胺氯吡嗪钠,磺胺氯吡嗪钠;磺胺氯吡嗪钠可溶性粉,sulfachloropyrazine sodium,磺胺类抗菌/抗球虫药,鸡,allowed_with_label,prohibited_in_laying_hens,1,,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载肉鸡1日且产蛋期禁用。","v2.1.0","medium","2026-04-23","球虫病处方高频候选。"
DRUG-024,酒石酸泰乐菌素,酒石酸泰乐菌素;泰乐菌素;酒石酸泰乐菌素可溶性粉,tylosin tartrate,大环内酯类抗菌药,鸡,allowed_with_label,prohibited_in_laying_hens,1,,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载酒石酸泰乐菌素可溶性粉鸡1日且产蛋期禁用。","v2.1.0","medium","2026-04-23","支原体相关场景高频候选。"
DRUG-025,马杜霉素铵,马杜霉素;马杜拉霉素铵;马杜霉素铵预混剂,maduramicin ammonium,离子载体类抗球虫药,鸡,allowed_with_label,prohibited_in_laying_hens,5,,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号及饲料药物添加剂规范资料支撑鸡5日且产蛋期禁用。","v2.1.0","medium","2026-04-23","离子载体类需防止过量和混饲错误。"
DRUG-026,二硝托胺,二硝托胺;二硝托胺预混剂,dinitolmide,抗球虫药,鸡,allowed_with_label,prohibited_in_laying_hens,3,,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载二硝托胺预混剂鸡3日且产蛋期禁用。","v2.1.0","medium","2026-04-23","抗球虫药规则补齐。"
DRUG-027,海南霉素钠,海南霉素钠;海南霉素钠预混剂,hainanmycin sodium,离子载体类抗球虫药,鸡,allowed_with_label,prohibited_in_laying_hens,7,,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载海南霉素钠预混剂鸡7日且产蛋期禁用。","v2.1.0","medium","2026-04-23","抗球虫药规则补齐。"
DRUG-028,硫酸安普霉素,硫酸安普霉素;安普霉素;硫酸安普霉素可溶性粉,apramycin sulfate,氨基糖苷类抗菌药,鸡,allowed_with_label,prohibited_in_laying_hens,7,,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载硫酸安普霉素可溶性粉鸡7日且产蛋期禁用。","v2.1.0","medium","2026-04-23","大肠杆菌等场景候选药需严格标签管理。"
DRUG-029,土霉素,土霉素;土霉素片;土霉素预混剂,oxytetracycline,四环素类抗菌药,鸡,allowed_with_label,prohibited_in_laying_hens,5,,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载土霉素禽5日、弃蛋期2日等停药规定。","v2.2.0","medium","2026-04-23","需按具体剂型区分片剂、预混剂和注射剂。"
DRUG-030,四环素,四环素;四环素片,tetracycline,四环素类抗菌药,鸡,allowed_with_label,prohibited_in_laying_hens,4,,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载四环素片鸡4日且产蛋期禁用。","v2.2.0","medium","2026-04-23","四环素类通用风险锚点。"
DRUG-031,甲砜霉素,甲砜霉素;甲砜霉素片;甲砜霉素散,thiamphenicol,酰胺醇类抗菌药,鸡,allowed_with_label,label_specific,28,,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载甲砜霉素相关品种28日。","v2.2.0","medium","2026-04-23","与氟苯尼考同类但需按具体标签核定。"
DRUG-032,吉他霉素,吉他霉素;酒石酸吉他霉素;吉他霉素预混剂;kitasamycin,kitasamycin,大环内酯类抗菌药,鸡,allowed_with_label,prohibited_in_laying_hens,7,,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载猪鸡7日且产蛋期禁用。","v2.2.0","medium","2026-04-23","呼吸道和支原体场景候选。"
DRUG-033,达氟沙星,达氟沙星;甲磺酸达氟沙星;甲磺酸达氟沙星粉;甲磺酸达氟沙星溶液,danofloxacin,氟喹诺酮类,鸡,allowed_with_label,prohibited_in_laying_hens,5,,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载甲磺酸达氟沙星粉/溶液鸡5日且产蛋鸡禁用。","v2.2.0","medium","2026-04-23","动物专用喹诺酮需严格标签管理。"
DRUG-034,环丙沙星,环丙沙星;盐酸环丙沙星;乳酸环丙沙星,ciprofloxacin,氟喹诺酮类,鸡,allowed_with_label,prohibited_in_laying_hens,28,,critical,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载多种环丙沙星制剂28日或禽8日且产蛋鸡禁用，需严格复核。","v2.2.0","medium","2026-04-23","人用重要抗菌药相关风险高，默认进入复核。"
DRUG-035,沙拉沙星,沙拉沙星;盐酸沙拉沙星;sarafloxacin,sarafloxacin,氟喹诺酮类,鸡,allowed_with_label,prohibited_in_laying_hens,0,,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载盐酸沙拉沙星鸡0日且产蛋期禁用。","v2.2.0","medium","2026-04-23","虽有0日项但产蛋期禁用仍需拦截。"
DRUG-036,二氟沙星,二氟沙星;盐酸二氟沙星;盐酸二氟沙星粉;盐酸二氟沙星溶液,difloxacin,氟喹诺酮类,鸡,allowed_with_label,label_specific,1,,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载盐酸二氟沙星鸡1日。","v2.2.0","medium","2026-04-23","需进一步补产蛋期标签。"
DRUG-037,硫酸新霉素,硫酸新霉素;新霉素;硫酸新霉素可溶性粉,neomycin sulfate,氨基糖苷类抗菌药,鸡,allowed_with_label,prohibited_in_laying_hens,5,,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载硫酸新霉素可溶性粉鸡5日且产蛋期禁用。","v2.2.0","medium","2026-04-23","肠道细菌病高频候选。"
DRUG-038,硫酸粘菌素,硫酸粘菌素;硫酸黏菌素;粘菌素;黏菌素;硫酸粘菌素可溶性粉,colistin sulfate,多肽类抗菌药,鸡,allowed_with_label,prohibited_in_laying_hens,7,,critical,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载硫酸粘菌素可溶性粉7日且产蛋期禁用。","v2.2.0","medium","2026-04-23","人医重要药物相关风险极高，默认进入复核。"
DRUG-039,硫氰酸红霉素,硫氰酸红霉素;红霉素;硫氰酸红霉素可溶性粉,erythromycin thiocyanate,大环内酯类抗菌药,鸡,allowed_with_label,prohibited_in_laying_hens,3,,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载硫氰酸红霉素可溶性粉鸡3日且产蛋期禁用。","v2.2.0","medium","2026-04-23","呼吸道/支原体场景候选。"
DRUG-040,盐霉素钠,盐霉素;盐霉素钠;盐霉素钠预混剂,salinomycin sodium,离子载体类抗球虫药,鸡,allowed_with_label,prohibited_in_laying_hens,5,,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载盐霉素钠预混剂鸡5日且产蛋期禁用。","v2.2.0","medium","2026-04-23","抗球虫药高频候选。"
DRUG-041,氯羟吡啶,氯羟吡啶;氯羟吡啶预混剂,clopidol,抗球虫药,鸡,allowed_with_label,prohibited_in_laying_hens,5,,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载氯羟吡啶预混剂鸡5日且产蛋期禁用。","v2.2.0","medium","2026-04-23","抗球虫药规则补齐。"
DRUG-042,盐酸氯苯胍,盐酸氯苯胍;氯苯胍;盐酸氯苯胍片;盐酸氯苯胍预混剂,robenidine hydrochloride,抗球虫药,鸡,allowed_with_label,prohibited_in_laying_hens,5,,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载盐酸氯苯胍鸡5日且产蛋期禁用。","v2.2.0","medium","2026-04-23","抗球虫药规则补齐。"
DRUG-043,氨丙啉复方,氨丙啉;盐酸氨丙啉;乙氧酰胺苯甲酯;磺胺喹恶啉;盐酸氨丙啉乙氧酰胺苯甲酯预混剂,amprolium combinations,抗球虫复方,鸡,allowed_with_label,prohibited_in_laying_hens,3,,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载氨丙啉复方预混剂鸡3日或10日且产蛋期禁用。","v2.2.0","medium","2026-04-23","需按复方组成选择更保守休药期。"
DRUG-044,磺胺喹噁啉钠,磺胺喹噁啉;磺胺喹恶啉;磺胺喹噁啉钠可溶性粉,sulfaquinoxaline sodium,磺胺类抗球虫药,鸡,allowed_with_label,prohibited_in_laying_hens,10,,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载磺胺喹噁啉钠可溶性粉鸡10日且产蛋期禁用。","v2.2.0","medium","2026-04-23","球虫病处方高频候选。"
DRUG-045,复方磺胺氯哒嗪钠,复方磺胺氯哒嗪钠;磺胺氯哒嗪钠,sulfaclozine compound,磺胺类抗菌/抗球虫药,鸡,allowed_with_label,prohibited_in_laying_hens,2,,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载复方磺胺氯哒嗪钠粉鸡2日且产蛋期禁用。","v2.2.0","medium","2026-04-23","需按产品标签复核。"
DRUG-046,磺胺二甲嘧啶,磺胺二甲嘧啶;磺胺二甲嘧啶片;sulfadimidine,sulfadimidine,磺胺类抗菌药,鸡,allowed_with_label,label_specific,10,,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载磺胺二甲嘧啶片禽10日。","v2.2.0","medium","2026-04-23","需进一步补蛋鸡标签。"
DRUG-047,阿苯达唑,阿苯达唑;阿苯达唑片,albendazole,苯并咪唑类驱虫药,鸡,allowed_with_label,label_specific,4,,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载阿苯达唑片禽4日。","v2.2.0","medium","2026-04-23","寄生虫病场景候选。"
DRUG-048,左旋咪唑,左旋咪唑;盐酸左旋咪唑;磷酸左旋咪唑,levamisole,驱虫药,鸡,allowed_with_label,label_specific,28,,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载左旋咪唑禽28日。","v2.2.0","medium","2026-04-23","寄生虫病场景候选。"
DRUG-049,枸橼酸哌嗪,枸橼酸哌嗪;哌嗪;驱蛔灵,piperazine citrate,驱虫药,鸡,allowed_with_label,label_specific,14,,medium,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载枸橼酸哌嗪禽14日。","v2.2.0","medium","2026-04-23","寄生虫病场景候选。"
DRUG-050,环丙氨嗪,环丙氨嗪;灭蝇胺;环丙氨嗪预混剂,cyromazine,昆虫生长调节剂,鸡,allowed_with_label,label_specific,3,,medium,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载环丙氨嗪预混剂鸡3日。","v2.2.0","medium","2026-04-23","环境虫害控制相关，不应替代疾病治疗。"
