rule_id,normalized_drug_name,restriction_type,species_scope,production_stage,route_or_form,withdrawal_days,egg_withdrawal_days,prohibited_for_layers,prohibited_for_food_animals,risk_flag,evidence_source,evidence_url,label_basis,rule_version,evidence_strength,verification_status,last_verified,notes
RULE-019,诺氟沙星,food_animal_ban,鸡,全阶段,任何途径,,,yes,yes,critical,"农业部公告第2292号","https://www.moa.gov.cn/xw/bmdt/201509/t20150907_4819267.htm","停止食品动物用诺氟沙星等4种兽药。","v2.1.0",high,official_verified,2026-04-23,"一旦命中即进入 review/剔除队列。"
RULE-020,氧氟沙星,food_animal_ban,鸡,全阶段,任何途径,,,yes,yes,critical,"农业部公告第2292号","https://www.moa.gov.cn/xw/bmdt/201509/t20150907_4819267.htm","停止食品动物用氧氟沙星等4种兽药。","v2.1.0",high,official_verified,2026-04-23,"一旦命中即进入 review/剔除队列。"
RULE-021,阿莫西林,withdrawal_days,鸡,肉鸡,饮水/可溶性粉,7,,yes,no,high,"农业农村部公告第190号","https://www.moa.gov.cn/nybgb/2019/201907/202001/t20200106_6334395.htm","公告标签样稿载明鸡7日。","v2.1.0",high,official_verified,2026-04-23,"需按批准产品说明书剂量使用。"
RULE-022,阿莫西林,egg_ban,鸡,产蛋期,饮水/可溶性粉,,,yes,no,high,"农业农村部公告第190号","https://www.moa.gov.cn/nybgb/2019/201907/202001/t20200106_6334395.htm","公告标签样稿载明蛋鸡产蛋期禁用。","v2.1.0",high,official_verified,2026-04-23,"蛋鸡场景直接拦截。"
RULE-023,复方氨苄西林,withdrawal_days,鸡,肉鸡,可溶性粉,7,,yes,no,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载复方氨苄西林粉鸡7日。","v2.1.0",medium,needs_label_verification,2026-04-23,"需按具体批准标签确认剂型。"
RULE-024,复方氨苄西林,egg_ban,鸡,产蛋期,可溶性粉,,,yes,no,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载复方氨苄西林粉产蛋期禁用。","v2.1.0",medium,needs_label_verification,2026-04-23,"蛋鸡场景直接拦截。"
RULE-025,恩诺沙星,withdrawal_days,鸡,肉鸡/禽,饮水/可溶性粉/溶液,8,,yes,no,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载恩诺沙星鸡或禽8日。","v2.1.0",medium,needs_label_verification,2026-04-23,"动物专用喹诺酮需严格标签管理。"
RULE-026,恩诺沙星,egg_ban,鸡,产蛋期,饮水/可溶性粉/溶液,,,yes,no,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载产蛋鸡禁用。","v2.1.0",medium,needs_label_verification,2026-04-23,"蛋鸡场景直接拦截。"
RULE-027,盐酸大观霉素,withdrawal_days,鸡,肉鸡,可溶性粉,5,,yes,no,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载盐酸大观霉素可溶性粉鸡5日。","v2.1.0",medium,needs_label_verification,2026-04-23,"需按具体批准标签确认剂型。"
RULE-028,盐酸大观霉素,egg_ban,鸡,产蛋期,可溶性粉,,,yes,no,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载盐酸大观霉素可溶性粉产蛋期禁用。","v2.1.0",medium,needs_label_verification,2026-04-23,"蛋鸡场景直接拦截。"
RULE-029,磺胺氯吡嗪钠,withdrawal_days,鸡,肉鸡,可溶性粉,1,,yes,no,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载肉鸡1日。","v2.1.0",medium,needs_label_verification,2026-04-23,"球虫病处方高频候选。"
RULE-030,磺胺氯吡嗪钠,egg_ban,鸡,产蛋期,可溶性粉,,,yes,no,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载产蛋期禁用。","v2.1.0",medium,needs_label_verification,2026-04-23,"蛋鸡场景直接拦截。"
RULE-031,酒石酸泰乐菌素,withdrawal_days,鸡,肉鸡,可溶性粉,1,,yes,no,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载酒石酸泰乐菌素可溶性粉鸡1日。","v2.1.0",medium,needs_label_verification,2026-04-23,"支原体相关场景高频候选。"
RULE-032,酒石酸泰乐菌素,egg_ban,鸡,产蛋期,可溶性粉,,,yes,no,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载产蛋期禁用。","v2.1.0",medium,needs_label_verification,2026-04-23,"蛋鸡场景直接拦截。"
RULE-033,马杜霉素铵,withdrawal_days,鸡,肉鸡,预混剂/拌料,5,,yes,no,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载鸡5日。","v2.1.0",medium,needs_label_verification,2026-04-23,"离子载体类抗球虫药需防过量。"
RULE-034,马杜霉素铵,egg_ban,鸡,产蛋期,预混剂/拌料,,,yes,no,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载产蛋期禁用。","v2.1.0",medium,needs_label_verification,2026-04-23,"蛋鸡场景直接拦截。"
RULE-035,二硝托胺,withdrawal_days,鸡,肉鸡,预混剂/拌料,3,,yes,no,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载鸡3日。","v2.1.0",medium,needs_label_verification,2026-04-23,"抗球虫药规则补齐。"
RULE-036,二硝托胺,egg_ban,鸡,产蛋期,预混剂/拌料,,,yes,no,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载产蛋期禁用。","v2.1.0",medium,needs_label_verification,2026-04-23,"蛋鸡场景直接拦截。"
RULE-037,海南霉素钠,withdrawal_days,鸡,肉鸡,预混剂/拌料,7,,yes,no,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载鸡7日。","v2.1.0",medium,needs_label_verification,2026-04-23,"抗球虫药规则补齐。"
RULE-038,海南霉素钠,egg_ban,鸡,产蛋期,预混剂/拌料,,,yes,no,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载产蛋期禁用。","v2.1.0",medium,needs_label_verification,2026-04-23,"蛋鸡场景直接拦截。"
RULE-039,硫酸安普霉素,withdrawal_days,鸡,肉鸡,可溶性粉,7,,yes,no,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载硫酸安普霉素可溶性粉鸡7日。","v2.1.0",medium,needs_label_verification,2026-04-23,"细菌病场景高频候选。"
RULE-040,硫酸安普霉素,egg_ban,鸡,产蛋期,可溶性粉,,,yes,no,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载产蛋期禁用。","v2.1.0",medium,needs_label_verification,2026-04-23,"蛋鸡场景直接拦截。"
RULE-041,土霉素,withdrawal_days,鸡,肉鸡/禽,片剂/预混剂,5,2,yes,no,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载土霉素禽5日及弃蛋期2日。","v2.2.0",medium,needs_label_verification,2026-04-23,"需按剂型进一步拆分。"
RULE-042,土霉素,egg_withdrawal_days,鸡,产蛋期,片剂/预混剂,,2,no,no,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载弃蛋期2日。","v2.2.0",medium,needs_label_verification,2026-04-23,"蛋品处置需明确弃蛋期。"
RULE-043,四环素,withdrawal_days,鸡,肉鸡,片剂,4,,yes,no,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载四环素片鸡4日。","v2.2.0",medium,needs_label_verification,2026-04-23,"四环素类规则补齐。"
RULE-044,四环素,egg_ban,鸡,产蛋期,片剂,,,yes,no,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载产蛋期禁用。","v2.2.0",medium,needs_label_verification,2026-04-23,"蛋鸡场景拦截。"
RULE-045,甲砜霉素,withdrawal_days,鸡,全阶段,片剂/散剂,28,,no,no,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载甲砜霉素相关品种28日。","v2.2.0",medium,needs_label_verification,2026-04-23,"需按批准标签复核。"
RULE-046,吉他霉素,withdrawal_days,鸡,肉鸡,预混剂,7,,yes,no,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载猪鸡7日。","v2.2.0",medium,needs_label_verification,2026-04-23,"呼吸道场景候选。"
RULE-047,吉他霉素,egg_ban,鸡,产蛋期,预混剂,,,yes,no,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载产蛋期禁用。","v2.2.0",medium,needs_label_verification,2026-04-23,"蛋鸡场景拦截。"
RULE-048,达氟沙星,withdrawal_days,鸡,肉鸡,粉剂/溶液,5,,yes,no,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载甲磺酸达氟沙星鸡5日。","v2.2.0",medium,needs_label_verification,2026-04-23,"氟喹诺酮类高风险。"
RULE-049,达氟沙星,egg_ban,鸡,产蛋期,粉剂/溶液,,,yes,no,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载产蛋鸡禁用。","v2.2.0",medium,needs_label_verification,2026-04-23,"蛋鸡场景拦截。"
RULE-050,环丙沙星,withdrawal_days,鸡,肉鸡/禽,粉剂/溶液/注射剂,28,,yes,no,critical,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载环丙沙星多剂型28日或禽8日，按保守28日处理。","v2.2.0",medium,needs_manual_review,2026-04-23,"人用重要抗菌药相关风险高。"
RULE-051,环丙沙星,egg_ban,鸡,产蛋期,粉剂/溶液/注射剂,,,yes,no,critical,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载产蛋鸡禁用。","v2.2.0",medium,needs_manual_review,2026-04-23,"蛋鸡场景拦截。"
RULE-052,沙拉沙星,withdrawal_days,鸡,肉鸡,可溶性粉,0,,yes,no,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载盐酸沙拉沙星鸡0日。","v2.2.0",medium,needs_label_verification,2026-04-23,"仍需检查产蛋期限制。"
RULE-053,沙拉沙星,egg_ban,鸡,产蛋期,可溶性粉,,,yes,no,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载产蛋期禁用。","v2.2.0",medium,needs_label_verification,2026-04-23,"蛋鸡场景拦截。"
RULE-054,二氟沙星,withdrawal_days,鸡,肉鸡,粉剂/溶液,1,,no,no,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载盐酸二氟沙星鸡1日。","v2.2.0",medium,needs_label_verification,2026-04-23,"需补产蛋期规则。"
RULE-055,硫酸新霉素,withdrawal_days,鸡,肉鸡,可溶性粉,5,,yes,no,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载硫酸新霉素可溶性粉鸡5日。","v2.2.0",medium,needs_label_verification,2026-04-23,"肠道细菌病高频候选。"
RULE-056,硫酸新霉素,egg_ban,鸡,产蛋期,可溶性粉,,,yes,no,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载产蛋期禁用。","v2.2.0",medium,needs_label_verification,2026-04-23,"蛋鸡场景拦截。"
RULE-057,硫酸粘菌素,withdrawal_days,鸡,肉鸡,可溶性粉,7,,yes,no,critical,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载硫酸粘菌素可溶性粉7日。","v2.2.0",medium,needs_manual_review,2026-04-23,"人医重要药物相关风险极高。"
RULE-058,硫酸粘菌素,egg_ban,鸡,产蛋期,可溶性粉,,,yes,no,critical,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载产蛋期禁用。","v2.2.0",medium,needs_manual_review,2026-04-23,"蛋鸡场景拦截。"
RULE-059,硫氰酸红霉素,withdrawal_days,鸡,肉鸡,可溶性粉,3,,yes,no,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载硫氰酸红霉素可溶性粉鸡3日。","v2.2.0",medium,needs_label_verification,2026-04-23,"呼吸道场景候选。"
RULE-060,硫氰酸红霉素,egg_ban,鸡,产蛋期,可溶性粉,,,yes,no,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载产蛋期禁用。","v2.2.0",medium,needs_label_verification,2026-04-23,"蛋鸡场景拦截。"
RULE-061,盐霉素钠,withdrawal_days,鸡,肉鸡,预混剂/拌料,5,,yes,no,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载盐霉素钠预混剂鸡5日。","v2.2.0",medium,needs_label_verification,2026-04-23,"抗球虫药高频候选。"
RULE-062,盐霉素钠,egg_ban,鸡,产蛋期,预混剂/拌料,,,yes,no,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载产蛋期禁用。","v2.2.0",medium,needs_label_verification,2026-04-23,"蛋鸡场景拦截。"
RULE-063,氯羟吡啶,withdrawal_days,鸡,肉鸡,预混剂/拌料,5,,yes,no,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载氯羟吡啶预混剂鸡5日。","v2.2.0",medium,needs_label_verification,2026-04-23,"抗球虫药规则补齐。"
RULE-064,氯羟吡啶,egg_ban,鸡,产蛋期,预混剂/拌料,,,yes,no,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载产蛋期禁用。","v2.2.0",medium,needs_label_verification,2026-04-23,"蛋鸡场景拦截。"
RULE-065,盐酸氯苯胍,withdrawal_days,鸡,肉鸡,片剂/预混剂,5,,yes,no,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载盐酸氯苯胍鸡5日。","v2.2.0",medium,needs_label_verification,2026-04-23,"抗球虫药规则补齐。"
RULE-066,盐酸氯苯胍,egg_ban,鸡,产蛋期,片剂/预混剂,,,yes,no,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载产蛋期禁用。","v2.2.0",medium,needs_label_verification,2026-04-23,"蛋鸡场景拦截。"
RULE-067,氨丙啉复方,withdrawal_days,鸡,肉鸡,预混剂/拌料,10,,yes,no,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载氨丙啉复方鸡3日或10日，按保守10日处理。","v2.2.0",medium,needs_label_verification,2026-04-23,"需按复方组成拆分。"
RULE-068,氨丙啉复方,egg_ban,鸡,产蛋期,预混剂/拌料,,,yes,no,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载产蛋期禁用。","v2.2.0",medium,needs_label_verification,2026-04-23,"蛋鸡场景拦截。"
RULE-069,磺胺喹噁啉钠,withdrawal_days,鸡,肉鸡,可溶性粉,10,,yes,no,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载磺胺喹噁啉钠可溶性粉鸡10日。","v2.2.0",medium,needs_label_verification,2026-04-23,"球虫病高频候选。"
RULE-070,磺胺喹噁啉钠,egg_ban,鸡,产蛋期,可溶性粉,,,yes,no,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载产蛋期禁用。","v2.2.0",medium,needs_label_verification,2026-04-23,"蛋鸡场景拦截。"
RULE-071,复方磺胺氯哒嗪钠,withdrawal_days,鸡,肉鸡,粉剂,2,,yes,no,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载复方磺胺氯哒嗪钠粉鸡2日。","v2.2.0",medium,needs_label_verification,2026-04-23,"需按具体标签复核。"
RULE-072,复方磺胺氯哒嗪钠,egg_ban,鸡,产蛋期,粉剂,,,yes,no,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载产蛋期禁用。","v2.2.0",medium,needs_label_verification,2026-04-23,"蛋鸡场景拦截。"
RULE-073,磺胺二甲嘧啶,withdrawal_days,鸡,肉鸡/禽,片剂,10,,no,no,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载磺胺二甲嘧啶片禽10日。","v2.2.0",medium,needs_label_verification,2026-04-23,"需补蛋鸡标签。"
RULE-074,阿苯达唑,withdrawal_days,鸡,肉鸡/禽,片剂,4,,no,no,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载阿苯达唑片禽4日。","v2.2.0",medium,needs_label_verification,2026-04-23,"寄生虫病场景候选。"
RULE-075,左旋咪唑,withdrawal_days,鸡,肉鸡/禽,片剂/注射剂,28,,no,no,high,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载左旋咪唑禽28日。","v2.2.0",medium,needs_label_verification,2026-04-23,"寄生虫病场景候选。"
RULE-076,枸橼酸哌嗪,withdrawal_days,鸡,肉鸡/禽,片剂,14,,no,no,medium,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载枸橼酸哌嗪禽14日。","v2.2.0",medium,needs_label_verification,2026-04-23,"寄生虫病场景候选。"
RULE-077,环丙氨嗪,withdrawal_days,鸡,肉鸡,预混剂/拌料,3,,no,no,medium,"农业部公告第278号","https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm","第278号收载环丙氨嗪预混剂鸡3日。","v2.2.0",medium,needs_label_verification,2026-04-23,"环境虫害控制相关。"
