drug_id,title,status,page_relpath,id,path,sources,updated
DRUG-026-spectinomycin,Spectinomycin / 壮观霉素,source_anchored_drug_evidence_page,wiki/drugs/DRUG-026-spectinomycin.md,,,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0069;SRC-0077;SRC-0088;SRC-0089,2026-05-08T23:59:00+08:00
DRUG-027-toltrazuril,Toltrazuril / 托曲珠利,source_anchored_drug_evidence_page,wiki/drugs/DRUG-027-toltrazuril.md,,,A0-MOA-BANNED-DRUG-250-NOTICE;A0-MOA-LABEL-INSTRUCTION-RULES-2002;A0-MOA-TOLTRAZURIL-SUSPENSION-216-2019;RC-DRUG-001;RC-WITHDRAWAL-MRL-001;SRC-0081;SRC-0088;SRC-0089;SRC-0090,2026-05-08T23:59:00+08:00
DRUG-028-iron-dextran,Iron dextran / 右旋糖酐铁,source_anchored_drug_evidence_page,wiki/drugs/DRUG-028-iron-dextran.md,,,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0069;SRC-0088;SRC-0092,2026-05-08T23:59:00+08:00
DRUG-029-nsaids,NSAIDs / 非甾体抗炎药,source_anchored_drug_evidence_page,wiki/drugs/DRUG-029-nsaids.md,,,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0066;SRC-0089;SRC-0090;SRC-0092,2026-05-08T23:59:00+08:00
DRUG-030-tetracyclines,Tetracyclines / 四环素类,source_anchored_drug_evidence_page,wiki/drugs/DRUG-030-tetracyclines.md,,,A0-MOA-WITHDRAWAL-278;SRC-0012;SRC-0062;SRC-0065;SRC-0067;SRC-0069;SRC-0070;SRC-0075;SRC-0089;SRC-0090,2026-05-08T23:59:00+08:00
DRUG-031-macrolides,Macrolides / 大环内酯类,source_anchored_drug_evidence_page,wiki/drugs/DRUG-031-macrolides.md,,,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0069;SRC-0071;SRC-0077;SRC-0091,2026-05-08T23:59:00+08:00
DRUG-032-pleuromutilins,Pleuromutilins / 截短侧耳素类,partial_drug_evidence_page,wiki/drugs/DRUG-032-pleuromutilins.md,,,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0069;SRC-0071;SRC-0077,2026-05-08T23:59:00+08:00
DRUG-033-aminoglycosides,Aminoglycosides / 氨基糖苷类,source_anchored_drug_evidence_page,wiki/drugs/DRUG-033-aminoglycosides.md,,,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0063;SRC-0075;SRC-0076;SRC-0091,2026-05-08T23:59:00+08:00
DRUG-034-sulfonamides,Sulfonamides / 磺胺类,source_anchored_drug_evidence_page,wiki/drugs/DRUG-034-sulfonamides.md,,,A0-MOA-ANNOUNCEMENT-183-SULFADIAZINE-2019;A0-MOA-BANNED-DRUG-250-NOTICE;A0-MOA-LABEL-INSTRUCTION-RULES-2002;A0-MOA-MRL-GB31650-2019;A0-MOA-PRESCRIPTION-2471-2016;A0-MOA-WITHDRAWAL-278;SRC-0012;SRC-0059;SRC-0063;SRC-0070;SRC-0074;SRC-0075;SRC-0087;SRC-0089;SRC-0090;SRC-0092,2026-05-08T23:59:00+08:00
DRUG-035-beta-lactams,Beta-lactams / β-内酰胺类,source_anchored_drug_evidence_page,wiki/drugs/DRUG-035-beta-lactams.md,,,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0065;SRC-0066;SRC-0069;SRC-0075;SRC-0091,2026-05-08T23:59:00+08:00
DRUG-036-lincosamides,Lincosamides / 林可酰胺类,source_anchored_drug_evidence_page,wiki/drugs/DRUG-036-lincosamides.md,,,A0-MOA-BANNED-DRUG-250-NOTICE;A0-MOA-LABEL-INSTRUCTION-RULES-2002;A0-MOA-WITHDRAWAL-278;SRC-0012;SRC-0069;SRC-0077;SRC-0091,2026-05-08T23:59:00+08:00
DRUG-037-sulfamethazine,Sulfamethazine / 磺胺二甲嘧啶,source_anchored_drug_evidence_page,wiki/drugs/DRUG-037-sulfamethazine.md,,,A0-MOA-BANNED-DRUG-250-NOTICE;A0-MOA-LABEL-INSTRUCTION-RULES-2002;A0-MOA-MRL-GB31650-2019;A0-MOA-PRESCRIPTION-2471-2016;A0-MOA-WITHDRAWAL-278;SRC-0012;SRC-0091,2026-05-08T23:59:00+08:00
DRUG-038-trimethoprim-sulfadiazine,Trimethoprim + sulfadiazine / 甲氧苄啶-磺胺嘧啶,source_anchored_drug_evidence_page,wiki/drugs/DRUG-038-trimethoprim-sulfadiazine.md,,,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0091,2026-05-08T23:59:00+08:00
DRUG-039-sulfadimethoxine,Sulfadimethoxine / 磺胺二甲氧嘧啶,source_anchored_drug_evidence_page,wiki/drugs/DRUG-039-sulfadimethoxine.md,,,A0-MOA-BANNED-DRUG-250-NOTICE;A0-MOA-LABEL-INSTRUCTION-RULES-2002;A0-MOA-MRL-GB31650-2019;A0-MOA-WITHDRAWAL-278;SRC-0012;SRC-0091,2026-05-08T23:59:00+08:00
DRUG-040-trimethoprim-sulfamethoxazole,Trimethoprim + sulfamethoxazole / 甲氧苄啶-磺胺甲噁唑,source_anchored_drug_evidence_page,wiki/drugs/DRUG-040-trimethoprim-sulfamethoxazole.md,,,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0091,2026-05-08T23:59:00+08:00
DRUG-041-sulfadimidine-sulfathiazole-combinations,Trimethoprim + sulfadimidine + sulfathiazole / 甲氧苄啶-磺胺二甲嘧啶-磺胺噻唑组合,partial_drug_evidence_page,wiki/drugs/DRUG-041-sulfadimidine-sulfathiazole-combinations.md,,,A0-MOA-BANNED-DRUG-250-NOTICE;A0-MOA-LABEL-INSTRUCTION-RULES-2002;A0-MOA-MRL-GB31650-2019;A0-MOA-PRESCRIPTION-2471-2016;A0-MOA-WITHDRAWAL-278;SRC-0012,2026-05-08T23:59:00+08:00
DRUG-042-ampicillin,Ampicillin / 氨苄西林,source_anchored_drug_evidence_page,wiki/drugs/DRUG-042-ampicillin.md,,,A0-MOA-BANNED-DRUG-250-NOTICE;A0-MOA-LABEL-INSTRUCTION-RULES-2002;A0-MOA-PRESCRIPTION-2471-2016;A0-MOA-WITHDRAWAL-278;SRC-0012;SRC-0089;SRC-0090,2026-05-08T23:59:00+08:00
DRUG-043-amoxicillin-clavulanic-acid,Amoxicillin/clavulanic acid / 阿莫西林克拉维酸,partial_drug_evidence_page,wiki/drugs/DRUG-043-amoxicillin-clavulanic-acid.md,,,A0-MOA-BANNED-DRUG-250-NOTICE;A0-MOA-LABEL-INSTRUCTION-RULES-2002;A0-MOA-PRESCRIPTION-2471-2016;A0-MOA-WITHDRAWAL-278;SRC-0012,2026-05-08T23:59:00+08:00
DRUG-044-cefquinome,Cefquinome / 头孢喹肟,source_anchored_drug_evidence_page,wiki/drugs/DRUG-044-cefquinome.md,,,A0-MOA-ANNOUNCEMENT-661-CEFQUINOME-2006;A0-MOA-BANNED-DRUG-250-NOTICE;A0-MOA-LABEL-INSTRUCTION-RULES-2002;A0-MOA-PRESCRIPTION-2471-2016;SRC-0012;SRC-0089;SRC-0090,2026-05-08T23:59:00+08:00
DRUG-045-tilmicosin,Tilmicosin / 替米考星,source_anchored_drug_evidence_page,wiki/drugs/DRUG-045-tilmicosin.md,,,A0-MOA-ANNOUNCEMENT-70-TILMICOSIN-2018;A0-MOA-BANNED-DRUG-250-NOTICE;A0-MOA-LABEL-INSTRUCTION-RULES-2002;SRC-0012;SRC-0089;SRC-0090,2026-05-08T23:59:00+08:00
DRUG-046-valnemulin,Valnemulin / 沃尼妙林,source_anchored_drug_evidence_page,wiki/drugs/DRUG-046-valnemulin.md,,,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0089,2026-05-08T23:59:00+08:00
DRUG-047-chloramphenicol,Chloramphenicol / 氯霉素,partial_drug_evidence_page,wiki/drugs/DRUG-047-chloramphenicol.md,,,A0-MOA-BANNED-DRUG-250-NOTICE;A0-MOA-ELIMINATED-DRUGS-839;A0-MOA-ILLEGAL-ADDITIVES-METHODS-2024;SRC-0012,2026-05-08T23:59:00+08:00
DRUG-048-carbadox,Carbadox / 卡巴氧,source_anchored_drug_evidence_page,wiki/drugs/DRUG-048-carbadox.md,,,A0-MOA-BANNED-DRUG-250-NOTICE;A0-MOA-CARBADOX-RESIDUE-2019;A0-MOA-ELIMINATED-DRUGS-839;SRC-0012;SRC-0091,2026-05-08T23:59:00+08:00
DRUG-049-olaquindox,Olaquindox / 喹乙醇,source_anchored_drug_evidence_page,wiki/drugs/DRUG-049-olaquindox.md,,,A0-MOA-BANNED-DRUG-250-NOTICE;A0-MOA-CARBADOX-RESIDUE-2019;A0-MOA-ELIMINATED-DRUGS-839;A0-MOA-STOP-OLAQUINDOX-2638;SRC-0012;SRC-0089,2026-05-08T23:59:00+08:00
DRUG-050-dimetridazole-ronidazole,Dimetridazole / Ronidazole / 二甲硝咪唑/罗硝唑,source_anchored_drug_evidence_page,wiki/drugs/DRUG-050-dimetridazole-ronidazole.md,,,A0-MOA-BANNED-DRUG-250-NOTICE;A0-MOA-ELIMINATED-DRUGS-839;A0-MOA-ILLEGAL-ADDITIVES-METHODS-2024;SRC-0012;SRC-0089;SRC-0090;SRC-0092,2026-05-08T23:59:00+08:00
DRUG-051-danofloxacin-marbofloxacin,Danofloxacin / Marbofloxacin / 达氟沙星/马波沙星,source_anchored_drug_evidence_page,wiki/drugs/DRUG-051-danofloxacin-marbofloxacin.md,,,A0-MOA-BANNED-DRUG-250-NOTICE;A0-MOA-STOP-FLUOROQUINOLONES-2292;SRC-0012;SRC-0089;SRC-0090,2026-05-08T23:59:00+08:00
DRUG-052-colistin,Colistin / 黏菌素,source_anchored_drug_evidence_page,wiki/drugs/DRUG-052-colistin.md,,,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0089;SRC-0090,2026-05-08T23:59:00+08:00
DRUG-053-bacitracin-methylene-disalicylate,Bacitracin methylene disalicylate / 亚甲基双水杨酸杆菌肽,source_anchored_drug_evidence_page,wiki/drugs/DRUG-053-bacitracin-methylene-disalicylate.md,,,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0091,2026-05-08T23:59:00+08:00
DRUG-054-virginiamycin,Virginiamycin / 维吉尼亚霉素,source_anchored_drug_evidence_page,wiki/drugs/DRUG-054-virginiamycin.md,,,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0091,2026-05-08T23:59:00+08:00
DRUG-055-moxidectin,Moxidectin / 莫昔克丁,source_anchored_drug_evidence_page,wiki/drugs/DRUG-055-moxidectin.md,,,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0091,2026-05-08T23:59:00+08:00
DRUG-056-levamisole,Levamisole / 左旋咪唑,source_anchored_drug_evidence_page,wiki/drugs/DRUG-056-levamisole.md,,,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0087,2026-05-08T23:59:00+08:00
DRUG-057-piperazine-pyrantel,Piperazine / Pyrantel tartrate / 哌嗪/酒石酸噻嘧啶,source_anchored_drug_evidence_page,wiki/drugs/DRUG-057-piperazine-pyrantel.md,,,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0091,2026-05-08T23:59:00+08:00
DRUG-058-amitraz,Amitraz / 双甲脒,source_anchored_drug_evidence_page,wiki/drugs/DRUG-058-amitraz.md,,,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0092,2026-05-08T23:59:00+08:00
DRUG-059-phosmet-coumaphos,Phosmet / Coumaphos / 伏杀硫磷/蝇毒磷,source_anchored_drug_evidence_page,wiki/drugs/DRUG-059-phosmet-coumaphos.md,,,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0091,2026-05-08T23:59:00+08:00
DRUG-060-permethrin-deltamethrin,Permethrin / Deltamethrin / 氯菊酯/溴氰菊酯,source_anchored_drug_evidence_page,wiki/drugs/DRUG-060-permethrin-deltamethrin.md,,,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0091;SRC-0092,2026-05-08T23:59:00+08:00
DRUG-061-ponazuril,Ponazuril / 泊那珠利,partial_drug_evidence_page,wiki/drugs/DRUG-061-ponazuril.md,,,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012,2026-05-08T23:59:00+08:00
DRUG-062-amprolium,Amprolium HCl / 盐酸氨丙啉,source_anchored_drug_evidence_page,wiki/drugs/DRUG-062-amprolium.md,,,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0091;SRC-0092,2026-05-08T23:59:00+08:00
DRUG-063-meloxicam,Meloxicam / 美洛昔康,source_anchored_drug_evidence_page,wiki/drugs/DRUG-063-meloxicam.md,,,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0004;SRC-0012;SRC-0088,2026-05-08T23:59:00+08:00
DRUG-064-flunixin-meglumine,Flunixin meglumine / 氟尼辛葡甲胺,source_anchored_drug_evidence_page,wiki/drugs/DRUG-064-flunixin-meglumine.md,,,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0004;SRC-0012;SRC-0088,2026-05-08T23:59:00+08:00
DRUG-065-ketoprofen-sodium-salicylate-indomethacin,Ketoprofen / Sodium salicylate / Indomethacin / 酮洛芬/水杨酸钠/吲哚美辛,source_anchored_drug_evidence_page,wiki/drugs/DRUG-065-ketoprofen-sodium-salicylate-indomethacin.md,,,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0088;SRC-0092,2026-05-08T23:59:00+08:00
DRUG-066-dexamethasone,Dexamethasone / 地塞米松,source_anchored_drug_evidence_page,wiki/drugs/DRUG-066-dexamethasone.md,,,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0087;SRC-0088;SRC-0089;SRC-0090;SRC-0092,2026-05-08T23:59:00+08:00
DRUG-067-oxytocin,Oxytocin / 缩宫素,source_anchored_drug_evidence_page,wiki/drugs/DRUG-067-oxytocin.md,,,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0088;SRC-0089;SRC-0090;SRC-0092,2026-05-08T23:59:00+08:00
DRUG-068-altrenogest,Altrenogest / 烯丙孕素,source_anchored_drug_evidence_page,wiki/drugs/DRUG-068-altrenogest.md,,,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0088;SRC-0092,2026-05-08T23:59:00+08:00
DRUG-069-triptorelin,Triptorelin / 曲普瑞林,source_anchored_drug_evidence_page,wiki/drugs/DRUG-069-triptorelin.md,,,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0012;SRC-0092,2026-05-08T23:59:00+08:00
DRUG-070-ractopamine,Ractopamine / 莱克多巴胺,partial_drug_evidence_page,wiki/drugs/DRUG-070-ractopamine.md,,,A0-MOA-BANNED-DRUG-250-NOTICE;A0-MOA-DRUG-RISK-MONITORING-2026;A0-MOA-ELIMINATED-DRUGS-839;SRC-0012,2026-05-08T23:59:00+08:00
DRUG-071-streptomycin,Streptomycin / 链霉素,source_anchored_drug_evidence_page,wiki/drugs/DRUG-071-streptomycin.md,,,A0-MOA-BANNED-DRUG-250-NOTICE;A0-MOA-MRL-GB31650-2019-RAW;SRC-0067;SRC-0068;SRC-0091,2026-05-08T23:59:00+08:00
DRUG-072-tildipirosin,Tildipirosin / 替地匹罗星,partial_drug_evidence_page,wiki/drugs/DRUG-072-tildipirosin.md,,,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0060;SRC-0061,2026-05-08T23:59:00+08:00
DRUG-073-erythromycin,Erythromycin / 红霉素,source_anchored_drug_evidence_page,wiki/drugs/DRUG-073-erythromycin.md,,,A0-MOA-BANNED-DRUG-250-NOTICE;SRC-0067;SRC-0068;SRC-0074;SRC-0089;SRC-0090,2026-05-08T23:59:00+08:00
DRUG-074-amikacin,Amikacin / 阿米卡星,source_anchored_drug_evidence_page,wiki/drugs/DRUG-074-amikacin.md,,,A0-MOA-BANNED-DRUG-250-NOTICE;A1-WOAH-SWINE-AMR-TRD-2025;SRC-0073;SRC-0091,2026-05-08T23:59:00+08:00
DRUG-075-praziquantel,Praziquantel / 吡喹酮,source_anchored_drug_evidence_page,wiki/drugs/DRUG-075-praziquantel.md,,,A1-WOAH-PORCINE-CYSTICERCOSIS;RC-DRUG-CLASS-001;RC-DRUG-GOLD-ROLE-001;RC-WITHDRAWAL-MRL-001;SRC-0082;SRC-0091;SRC-0092,2026-05-08T23:59:00+08:00
DRUG-076-dichlorvos,Dichlorvos / 敌敌畏,source_anchored_drug_evidence_page,wiki/drugs/DRUG-076-dichlorvos.md,,,A0-MOA-BANNED-DRUG-250-NOTICE;A0-MOA-ELIMINATED-DRUGS-839;SRC-0082;SRC-0087;SRC-0089;SRC-0090;SRC-0092,2026-05-08T23:59:00+08:00
DRUG-077-azaperone,Azaperone,source_anchored_drug_evidence_page,wiki/drugs/DRUG-077-azaperone.md,,,SRC-0088;SRC-0092,2026-05-08T23:59:00+08:00
DRUG-078-pentobarbital,Pentobarbital,source_anchored_drug_evidence_page,wiki/drugs/DRUG-078-pentobarbital.md,,,SRC-0088,2026-05-08T23:59:00+08:00
DRUG-079-atropine,Atropine / 阿托品,source_anchored_drug_evidence_page,wiki/drugs/DRUG-079-atropine.md,,,SRC-0089;SRC-0090;SRC-0092,2026-05-08T23:59:00+08:00
