source_id,title,pages,evidence_coverage,relpath
A0-MOA-ANNOUNCEMENT-183-SULFADIAZINE-2019,农业农村部公告第183号 复方磺胺嘧啶混悬液再注册和残留检测方法,https://www.moa.gov.cn/nybgb/2019/201907/202001/t20200106_6334358.htm,complete,wiki/sources/A0-MOA-ANNOUNCEMENT-183-SULFADIAZINE-2019.md
A0-MOA-ANNOUNCEMENT-55-ENROFLOXACIN-2018,农业农村部公告第55号：恩诺沙星溶液质量标准,https://www.moa.gov.cn/govpublic/SYJ/201809/P020180903588935138850.ceb,complete,wiki/sources/A0-MOA-ANNOUNCEMENT-55-ENROFLOXACIN-2018.md
A0-MOA-ANNOUNCEMENT-661-CEFQUINOME-2006,农业部公告第661号 硫酸头孢喹肟注射液进口注册,https://www.moa.gov.cn/gk/tzgg_1/gg/200607/t20060704_641878.htm,complete,wiki/sources/A0-MOA-ANNOUNCEMENT-661-CEFQUINOME-2006.md
A0-MOA-ANNOUNCEMENT-70-TILMICOSIN-2018,农业农村部公告第70号 替米考星预混剂进口再注册、质量标准、说明书和标签,https://www.moa.gov.cn/nybgb/2018/201811/201901/t20190102_6165919.htm,complete,wiki/sources/A0-MOA-ANNOUNCEMENT-70-TILMICOSIN-2018.md
A0-MOA-ANNOUNCEMENT-995-FLORFENICOL-2026,农业农村部公告第995号：氟苯尼考注射液变更注册,https://www.moa.gov.cn/govpublic/xmsyj/202602/P020260330510774656990.ofd,complete,wiki/sources/A0-MOA-ANNOUNCEMENT-995-FLORFENICOL-2026.md
A0-MOA-ASF-EMERGENCY-6TH,非洲猪瘟疫情应急实施方案（第六版）,https://www.moa.gov.cn/nybgb/2025/202502/202502/t20250218_6470101.htm,complete,wiki/sources/A0-MOA-ASF-EMERGENCY-6TH.md
A0-MOA-ASF-LOW-VIRULENCE-2024,MOA ASF low-virulence strain control guide,https://xmsyj.moa.gov.cn/zcjd/202401/t20240109_6445226.htm,complete,wiki/sources/A0-MOA-ASF-LOW-VIRULENCE-2024.md
A0-MOA-ASF-NORMALIZED-GUIDE,非洲猪瘟常态化防控技术指南（试行版）,2020-09-11,complete,wiki/sources/A0-MOA-ASF-NORMALIZED-GUIDE.md
A0-MOA-ASF-WINTER-SPRING-2022,MOA winter-spring ASF control key technologies,https://www.moa.gov.cn/gk/nszd_1/2022/202211/t20221107_6414855.htm,complete,wiki/sources/A0-MOA-ASF-WINTER-SPRING-2022.md
A0-MOA-AUTUMN-WINTER-SWINE-DISEASES-2022,MOA autumn-winter major swine disease prevention points,https://www.moa.gov.cn/gk/nszd_1/2022/202210/t20221011_6413064.htm,complete,wiki/sources/A0-MOA-AUTUMN-WINTER-SWINE-DISEASES-2022.md
A0-MOA-BANNED-DRUG-250-NOTICE,农业农村部公告第250号 食品动物中禁止使用的药品及其他化合物清单,2019-12-27,complete,wiki/sources/A0-MOA-BANNED-DRUG-250-NOTICE.md
A0-MOA-BANNED-DRUG-250-POLICY,农业农村部食品动物禁用药清单政策说明,2020-01-20,complete,wiki/sources/A0-MOA-BANNED-DRUG-250-POLICY.md
A0-MOA-BANNED-DRUG-250-RAW,MOA Notice No. 250 banned drugs and compounds for food animals,https://www.moa.gov.cn/govpublic/xmsyj/202001/t20200106_6334375.htm,complete,wiki/sources/A0-MOA-BANNED-DRUG-250-RAW.md
A0-MOA-BRUCELLOSIS-2022-2026,MOA animal brucellosis prevention and control action plan 2022-2026,https://www.moa.gov.cn/nybgb/2022/202204/202206/t20220607_6401740.htm,complete,wiki/sources/A0-MOA-BRUCELLOSIS-2022-2026.md
A0-MOA-BRUCELLOSIS-KEY-POINTS-2023,MOA brucellosis prevention and control key points,https://www.moa.gov.cn/gk/nszd_1/2022/202301/t20230109_6418477.htm,complete,wiki/sources/A0-MOA-BRUCELLOSIS-KEY-POINTS-2023.md
A0-MOA-CARBADOX-RESIDUE-2019,2019年畜禽及蜂产品兽药残留监控结果通报,https://www.moa.gov.cn/govpublic/xmsyj/202003/t20200331_6340273.htm,complete,wiki/sources/A0-MOA-CARBADOX-RESIDUE-2019.md
A0-MOA-CEFTIOFUR-SODIUM-INJECTION-2024,农业农村部公报附件 注射用头孢噻呋钠说明书,https://www.moa.gov.cn/nybgb/2024/202404/202404/P020240424369174817705.pdf,complete,wiki/sources/A0-MOA-CEFTIOFUR-SODIUM-INJECTION-2024.md
A0-MOA-DRUG-RISK-MONITORING-2026,2026年兽药质量监督抽检和风险监测等3个计划,https://www.moa.gov.cn/govpublic/xmsyj/202603/t20260318_6482396.htm,complete,wiki/sources/A0-MOA-DRUG-RISK-MONITORING-2026.md
A0-MOA-ELIMINATED-DRUGS-839,农业部公告第839号 淘汰兽药品种目录,2007-04-04,complete,wiki/sources/A0-MOA-ELIMINATED-DRUGS-839.md
A0-MOA-ENROFLOXACIN-SOLUTION-55-2018,农业农村部公告第55号 恩诺沙星溶液说明书,https://www.moa.gov.cn/nybgb/2018/201809/201810/t20181023_6161326.htm,complete,wiki/sources/A0-MOA-ENROFLOXACIN-SOLUTION-55-2018.md
A0-MOA-FEED-HYGIENE-GB13078-2017,GB 13078-2017 Hygienical standard for feeds as posted by MOA,https://www.moa.gov.cn/ztzl/sqxzjcgs/xzjcbz/202506/t20250630_6475267.htm,complete,wiki/sources/A0-MOA-FEED-HYGIENE-GB13078-2017.md
A0-MOA-FEED-QA-SAFETY-MANAGEMENT,MOA feed quality and safety management specification,https://www.moa.gov.cn/gk/nyncbgzk/gzk/202210/t20221013_6413273.htm,complete,wiki/sources/A0-MOA-FEED-QA-SAFETY-MANAGEMENT.md
A0-MOA-FLORFENICOL-INJECTION-219-2019,农业农村部公告第219号 氟苯尼考注射液说明书,https://www.moa.gov.cn/nybgb/2019/201910/202001/t20200109_6334688.htm,complete,wiki/sources/A0-MOA-FLORFENICOL-INJECTION-219-2019.md
A0-MOA-FMD-CONTROL-GUIDE-2024,家畜口蹄疫防控技术指南,https://xmsyj.moa.gov.cn/zcjd/202404/t20240423_6454217.htm,complete,wiki/sources/A0-MOA-FMD-CONTROL-GUIDE-2024.md
A0-MOA-FMD-EMERGENCY-DRAFT-2026,口蹄疫疫情应急实施方案（2026年版）（征求意见稿）,https://xmsyj.moa.gov.cn/gzdt/202605/P020260507566304703096.docx,complete,wiki/sources/A0-MOA-FMD-EMERGENCY-DRAFT-2026.md
A0-MOA-FMD-REFERENCE-LAB-APPLICATION-2024,国家兽医参考/专业实验室申请表,https://www.moa.gov.cn/govpublic/xmsyj/202412/P020241210336254873984.docx,complete,wiki/sources/A0-MOA-FMD-REFERENCE-LAB-APPLICATION-2024.md
A0-MOA-ILLEGAL-ADDITIVES-METHODS-2024,兽药非法添加物检测标准与方法汇总,https://xmsyj.moa.gov.cn/zcjd/202403/t20240321_6452006.htm,complete,wiki/sources/A0-MOA-ILLEGAL-ADDITIVES-METHODS-2024.md
A0-MOA-LABEL-INSTRUCTION-RULES-2002,兽药标签和说明书编写细则,https://www.moa.gov.cn/gk/tzgg_1/gg/200302/t20030208_52632.htm,complete,wiki/sources/A0-MOA-LABEL-INSTRUCTION-RULES-2002.md
A0-MOA-MRL-GB31650-1-2022,农业农村部公告第594号 GB 31650.1-2022 食品中41种兽药最大残留限量,https://www.moa.gov.cn/nybgb/2022/202210/202211/t20221114_6415337.htm,complete,wiki/sources/A0-MOA-MRL-GB31650-1-2022.md
A0-MOA-MRL-GB31650-2019,GB 31650-2019 食品中兽药最大残留限量官方入口,2019-09-06,complete,wiki/sources/A0-MOA-MRL-GB31650-2019.md
A0-MOA-MRL-GB31650-2019-RAW,MOA GB 31650-2019 veterinary drug maximum residue limits news entry,https://www.moa.gov.cn/xw/zwdt/201910/t20191008_6329518.htm,complete,wiki/sources/A0-MOA-MRL-GB31650-2019-RAW.md
A0-MOA-PRESCRIPTION-2471-2016,农业部公告第2471号 兽用处方药品种目录（第二批）,https://www.moa.gov.cn/govpublic/SYJ/201612/t20161201_5386856.htm,complete,wiki/sources/A0-MOA-PRESCRIPTION-2471-2016.md
A0-MOA-PRESCRIPTION-790-2024,农业农村部公告第790号 兽用处方药品种目录（第四批）,https://www.moa.gov.cn/govpublic/xmsyj/202406/t20240605_6456677.htm,complete,wiki/sources/A0-MOA-PRESCRIPTION-790-2024.md
A0-MOA-PRRS-CSF-GUIDANCE-2017,国家高致病性猪蓝耳病防治指导意见（2017-2020年）,https://www.moa.gov.cn/govpublic/SYJ/201703/P020170324587295840632.ceb,complete,wiki/sources/A0-MOA-PRRS-CSF-GUIDANCE-2017.md
A0-MOA-SPRING-SWINE-DISEASES-2021,MOA spring swine common disease prevention and control guide,https://xmsyj.moa.gov.cn/zcjd/202103/t20210304_6362923.htm,complete,wiki/sources/A0-MOA-SPRING-SWINE-DISEASES-2021.md
A0-MOA-STOP-FLUOROQUINOLONES-2292,农业部公告第2292号 洛美沙星等4种原料药及制剂停止用于食品动物,2015-09-01,complete,wiki/sources/A0-MOA-STOP-FLUOROQUINOLONES-2292.md
A0-MOA-STOP-FLUOROQUINOLONES-2292-RAW,MOA Notice No. 2292 stopping four fluoroquinolones for food animals,https://www.moa.gov.cn/govpublic/SYJ/201509/t20150907_4819267.htm,complete,wiki/sources/A0-MOA-STOP-FLUOROQUINOLONES-2292-RAW.md
A0-MOA-STOP-OLAQUINDOX-2638,农业农村部关于喹乙醇、氨苯胂酸、洛克沙胂等停止用于食品动物的政策入口,2018-01-19,complete,wiki/sources/A0-MOA-STOP-OLAQUINDOX-2638.md
A0-MOA-STOP-OLAQUINDOX-2638-RAW,"MOA policy entry on stopping olaquindox, arsanilic acid and roxarsone in food animals",https://www.moa.gov.cn/xw/zwdt/201801/t20180119_6135358.htm,complete,wiki/sources/A0-MOA-STOP-OLAQUINDOX-2638-RAW.md
A0-MOA-STREP-SUIS-CONTROL-2005,猪链球菌病防控官方动态（2005）,http://www.moa.gov.cn/xw/zwdt/200508/t20050804_430543.htm,complete,wiki/sources/A0-MOA-STREP-SUIS-CONTROL-2005.md
A0-MOA-SWINE-FLU-EMERGENCY-2009,农业部门人感染猪流感应急预案（试行）,https://www.moa.gov.cn/govpublic/SYJ/201006/t20100606_1535740.htm,complete,wiki/sources/A0-MOA-SWINE-FLU-EMERGENCY-2009.md
A0-MOA-THREE-CLASS-ANIMAL-DISEASE-SPECS,MOA notice on third-class animal disease prevention specifications,https://xmsyj.moa.gov.cn/gzdt/202206/t20220629_6403637.htm,complete,wiki/sources/A0-MOA-THREE-CLASS-ANIMAL-DISEASE-SPECS.md
A0-MOA-TOLTRAZURIL-SUSPENSION-216-2019,农业农村部公告第216号 5%托曲珠利混悬液说明书,https://www.moa.gov.cn/nybgb/2019/201910/202001/t20200109_6334685.htm,complete,wiki/sources/A0-MOA-TOLTRAZURIL-SUSPENSION-216-2019.md
A0-MOA-VET-DRUG-SUPERVISION-2026,2026年兽药质量监督抽检和风险监测等3个计划,https://www.moa.gov.cn/govpublic/xmsyj/202603/P020260318598272942969.ofd,complete,wiki/sources/A0-MOA-VET-DRUG-SUPERVISION-2026.md
A0-MOA-WITHDRAWAL-278,农业部公告第278号 兽药停药期规定,https://www.moa.gov.cn/gk/tzgg_1/gg/200306/t20030611_90514.htm,complete,wiki/sources/A0-MOA-WITHDRAWAL-278.md
A0-MOA-WITHDRAWAL-278-RAW,MOA Notice No. 278 withdrawal period provisions,https://www.moa.gov.cn/gk/tzgg_1/gg/200306/t20030611_90514.htm,complete,wiki/sources/A0-MOA-WITHDRAWAL-278-RAW.md
A0-SAMR-GBT-18645-2020-ANIMAL-TB-DIAGNOSIS,国家标准|GB/T 18645-2020,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=05248DA1409774CDD6057CDCF09B3F90,complete,wiki/sources/A0-SAMR-GBT-18645-2020-ANIMAL-TB-DIAGNOSIS.md
A0-USDA-APHIS-VS-2026,Vesicular Stomatitis Virus,https://www.aphis.usda.gov/livestock-poultry-disease/cattle/vesicular-stomatitis,complete,wiki/sources/A0-USDA-APHIS-VS-2026.md
A1-CDC-RABIES-LABORATORY-DIAGNOSIS-2024,CDC Rabies Diagnostic Testing,https://www.cdc.gov/rabies/php/laboratories/diagnostic.html,complete,wiki/sources/A1-CDC-RABIES-LABORATORY-DIAGNOSIS-2024.md
A1-CDC-RABIES-VETERINARIANS-2025,CDC Rabies Information for Veterinarians,https://www.cdc.gov/rabies/hcp/veterinarians/index.html,complete,wiki/sources/A1-CDC-RABIES-VETERINARIANS-2025.md
A1-DIS045-LEPTO-WEB-02-LEPTOSPIROSIS-WOAH-WORLD-ORGANISATION-FOR-ANIMAL,Leptospirosis - WOAH - World Organisation for Animal Health,https://www.woah.org/en/disease/leptospirosis/,complete,wiki/sources/A1-DIS045-LEPTO-WEB-02-LEPTOSPIROSIS-WOAH-WORLD-ORGANISATION-FOR-ANIMAL.md
A1-DIS045-LEPTO-WEB-03-WOAH-TERRESTRIAL-MANUAL-CHAPTER-LEPTOSPIROSIS,WOAH Terrestrial Manual chapter: Leptospirosis,https://www.woah.org/fileadmin/Home/eng/Health_standards/tahm/3.01.12_LEPTO.pdf,complete,wiki/sources/A1-DIS045-LEPTO-WEB-03-WOAH-TERRESTRIAL-MANUAL-CHAPTER-LEPTOSPIROSIS.md
A1-EMA-AMEG-ANTIBIOTIC-CATEGORISATION,EMA AMEG categorisation of antibiotics for use in animals,https://www.ema.europa.eu/system/files/documents/report/ameg-infographic-categorisation-antibiotics_en.pdf,complete,wiki/sources/A1-EMA-AMEG-ANTIBIOTIC-CATEGORISATION.md
A1-EMA-MRL-OVERVIEW,EMA establishing maximum residue limits for veterinary medicines,https://www.ema.europa.eu/en/veterinary-regulatory-overview/research-development-veterinary-medicines/maximum-residue-limits-mrl/establishing-maximum-residue-limits-veterinary-medicines,complete,wiki/sources/A1-EMA-MRL-OVERVIEW.md
A1-FAO-ASF,FAO African swine fever resources,https://www.fao.org/animal-health/situation-updates/african-swine-fever/,complete,wiki/sources/A1-FAO-ASF.md
A1-FAO-FMD-DISEASE-2026,FAO Foot-and-mouth disease official animal health page,https://www.fao.org/animal-health/animal-diseases/foot-and-mouth-disease/,complete,wiki/sources/A1-FAO-FMD-DISEASE-2026.md
A1-USDA-APHIS-ASF,USDA APHIS African swine fever information,https://www.aphis.usda.gov/livestock-poultry-disease/swine/african-swine-fever,complete,wiki/sources/A1-USDA-APHIS-ASF.md
A1-USDA-APHIS-FMD-DISEASE-2026,USDA APHIS Foot-and-Mouth Disease page,https://www.aphis.usda.gov/livestock-poultry-disease/cattle/foot-and-mouth,complete,wiki/sources/A1-USDA-APHIS-FMD-DISEASE-2026.md
A1-USDA-APHIS-FMD-NAHLN-2026,USDA APHIS NAHLN Surveillance and Preparedness FMD section,https://www.aphis.usda.gov/labs/nahln/surveillance-preparedness,complete,wiki/sources/A1-USDA-APHIS-FMD-NAHLN-2026.md
A1-USDA-APHIS-PED-TECH-NOTE-2023,Porcine Epidemic Diarrhea (PED) Technical Note,https://www.aphis.usda.gov/sites/default/files/ped_tech_note.pdf,complete,wiki/sources/A1-USDA-APHIS-PED-TECH-NOTE-2023.md
A1-USDA-APHIS-SWINE-BRUCELLOSIS,USDA APHIS swine brucellosis information,https://www.aphis.usda.gov/livestock-poultry-disease/swine/swine-brucellosis,complete,wiki/sources/A1-USDA-APHIS-SWINE-BRUCELLOSIS.md
A1-WOAH-ANTIMICROBIAL-VETERINARY-IMPORTANCE,WOAH list of antimicrobial agents of veterinary importance,https://www.woah.org/en/for-the-media/amr/oie-amr-standards/,complete,wiki/sources/A1-WOAH-ANTIMICROBIAL-VETERINARY-IMPORTANCE.md
A1-WOAH-ASF,WOAH African swine fever disease page,accessed 2026-05-07,complete,wiki/sources/A1-WOAH-ASF.md
A1-WOAH-ASF-CANONICAL,WOAH African swine fever disease page canonical/redirect registry,https://www.woah.org/en/animal-health-in-the-world/animal-diseases/african-swine-fever/,complete,wiki/sources/A1-WOAH-ASF-CANONICAL.md
A1-WOAH-ASF-DISEASE,WOAH African swine fever disease page,https://www.woah.org/en/disease/african-swine-fever/,complete,wiki/sources/A1-WOAH-ASF-DISEASE.md
A1-WOAH-AUJESZKY,WOAH Aujeszky's disease disease page,https://www.woah.org/en/disease/aujeszkys-disease/,complete,wiki/sources/A1-WOAH-AUJESZKY.md
A1-WOAH-AUJESZKY-DISEASE,WOAH Aujeszky's disease disease page,https://www.woah.org/en/disease/aujeszkys-disease/,complete,wiki/sources/A1-WOAH-AUJESZKY-DISEASE.md
A1-WOAH-BRUCELLOSIS,WOAH brucellosis disease page,https://www.woah.org/en/disease/brucellosis/,complete,wiki/sources/A1-WOAH-BRUCELLOSIS.md
A1-WOAH-CSF,WOAH classical swine fever disease page,https://www.woah.org/en/animal-health-in-the-world/animal-diseases/classical-swine-fever/,complete,wiki/sources/A1-WOAH-CSF.md
A1-WOAH-CSF-DISEASE,WOAH Classical swine fever disease page,https://www.woah.org/en/disease/classical-swine-fever/,complete,wiki/sources/A1-WOAH-CSF-DISEASE.md
A1-WOAH-CSF-MANUAL,WOAH Terrestrial Manual chapter on classical swine fever,https://www.woah.org/fileadmin/Home/eng/Health_standards/tahm/3.09.02_CSF.pdf,complete,wiki/sources/A1-WOAH-CSF-MANUAL.md
A1-WOAH-FMD,WOAH Foot and mouth disease disease page,accessed 2026-05-07,complete,wiki/sources/A1-WOAH-FMD.md
A1-WOAH-FMD-DISEASE,WOAH Foot and mouth disease disease page,https://www.woah.org/en/disease/foot-and-mouth-disease/,complete,wiki/sources/A1-WOAH-FMD-DISEASE.md
A1-WOAH-FMD-VESICULAR-DIFF,WOAH foot-and-mouth disease page for vesicular differential boundary,https://www.woah.org/en/disease/foot-and-mouth-disease/,complete,wiki/sources/A1-WOAH-FMD-VESICULAR-DIFF.md
A1-WOAH-PED,Porcine epidemic diarrhoea,https://www.woah.org/en/disease/porcine-epidemic-diarrhoea/,complete,wiki/sources/A1-WOAH-PED.md
A1-WOAH-PORCINE-CYSTICERCOSIS,WOAH Terrestrial Code chapter on Taenia solium,https://www.woah.org/fileadmin/Home/eng/Health_standards/tahc/2024/en_chapitre_taenia_solium.htm,complete,wiki/sources/A1-WOAH-PORCINE-CYSTICERCOSIS.md
A1-WOAH-PRRS,WOAH porcine reproductive and respiratory syndrome disease page,https://www.woah.org/en/disease/porcine-reproductive-and-respiratory-syndrome/,complete,wiki/sources/A1-WOAH-PRRS.md
A1-WOAH-PRRS-DISEASE,WOAH Porcine reproductive and respiratory syndrome disease page,https://www.woah.org/en/disease/porcine-reproductive-and-respiratory-syndrome/,complete,wiki/sources/A1-WOAH-PRRS-DISEASE.md
A1-WOAH-PRRS-MANUAL,WOAH Terrestrial Manual chapter on PRRS,https://www.woah.org/fileadmin/Home/eng/Health_standards/tahm/3.09.06_PRRS.pdf,complete,wiki/sources/A1-WOAH-PRRS-MANUAL.md
A1-WOAH-SALMONELLA-PIGS-CODE,WOAH Terrestrial Code chapter on Salmonella in pigs,https://www.woah.org/fileadmin/Home/eng/Health_standards/tahc/current/chapitre_salmonella_pig.pdf,complete,wiki/sources/A1-WOAH-SALMONELLA-PIGS-CODE.md
A1-WOAH-SWINE-AMR-TRD-2025,WOAH Technical Reference Document listing antimicrobial agents of veterinary importance for swine,https://www.woah.org/app/uploads/2025/04/trd-swine.pdf,complete,wiki/sources/A1-WOAH-SWINE-AMR-TRD-2025.md
A1-WOAH-SWINE-INFLUENZA,WOAH swine influenza disease page,https://www.woah.org/en/disease/swine-influenza/,complete,wiki/sources/A1-WOAH-SWINE-INFLUENZA.md
A1-WOAH-TGE,WOAH transmissible gastroenteritis disease page,https://www.woah.org/en/disease/transmissible-gastroenteritis/,complete,wiki/sources/A1-WOAH-TGE.md
A1-WOAH-TRICHINELLOSIS,WOAH trichinellosis disease page,https://www.woah.org/en/disease/trichinellosis/,complete,wiki/sources/A1-WOAH-TRICHINELLOSIS.md
A2-CDC-BRUCELLOSIS,CDC brucellosis public-health page,https://www.cdc.gov/brucellosis/about/index.html,complete,wiki/sources/A2-CDC-BRUCELLOSIS.md
A2-CDC-CYSTICERCOSIS,CDC cysticercosis public-health page,https://www.cdc.gov/cysticercosis/index.html,complete,wiki/sources/A2-CDC-CYSTICERCOSIS.md
A2-CDC-SWINE-FLU-PUBLIC-HEALTH,CDC swine influenza public-health resources,https://www.cdc.gov/flu/swineflu/index.htm,complete,wiki/sources/A2-CDC-SWINE-FLU-PUBLIC-HEALTH.md
A2-CDC-TRICHINELLOSIS,CDC trichinellosis public-health page,https://www.cdc.gov/trichinellosis/index.html,complete,wiki/sources/A2-CDC-TRICHINELLOSIS.md
A2-CFSPH-BRUCELLA-SUIS-FACTSHEET-2026,Iowa State CFSPH Brucella suis factsheet,https://www.cfsph.iastate.edu/Factsheets/pdfs/brucellosis_suis.pdf,,wiki/sources/A2-CFSPH-BRUCELLA-SUIS-FACTSHEET-2026.md
A2-EFSA-PED-PDCOV-OPINION,EFSA opinion on PED and emerging porcine deltacoronavirus,https://www.efsa.europa.eu/en/efsajournal/pub/3877,complete,wiki/sources/A2-EFSA-PED-PDCOV-OPINION.md
A2-FDA-ANIMAL-FEED-CONTAMINANTS,FDA chemical contaminants in animal food,https://www.fda.gov/animal-veterinary/animal-food-feeds/chemical-contaminants-animal-food,complete,wiki/sources/A2-FDA-ANIMAL-FEED-CONTAMINANTS.md
A2-FDA-CHEMICAL-CONTAMINANTS-ANIMAL-FOOD-2026,FDA: Chemical Contaminants in Animal Food,https://www.fda.gov/animal-veterinary/biological-chemical-and-physical-contaminants-animal-food/chemical-contaminants,complete,wiki/sources/A2-FDA-CHEMICAL-CONTAMINANTS-ANIMAL-FOOD-2026.md
A2-FDA-GREEN-BOOK,FDA Approved Animal Drug Products Green Book,https://www.fda.gov/animal-veterinary/products/approved-animal-drug-products-green-book,complete,wiki/sources/A2-FDA-GREEN-BOOK.md
A2-FDA-LEGAL-ANIMAL-DRUGS,FDA how to tell if a drug is legally marketed for animals,https://www.fda.gov/animal-veterinary/unapproved-animal-drugs/how-can-i-tell-if-drug-legally-marketed-animals,complete,wiki/sources/A2-FDA-LEGAL-ANIMAL-DRUGS.md
A2-GOVUK-STREPTOCOCCUS-SUIS,GOV.UK Streptococcus suis infection guidance,https://www.gov.uk/government/publications/streptococcus-suis-infection,complete,wiki/sources/A2-GOVUK-STREPTOCOCCUS-SUIS.md
A2-ISU-SWINE-TOXICOSES-2026,Iowa State Swine Disease Manual: Toxicoses,https://webhost-dev.cvm.iastate.edu/swine-disease-manual/index-of-diseases/toxicoses/,complete,wiki/sources/A2-ISU-SWINE-TOXICOSES-2026.md
A2-MERCK-ABORTION-PIGS-2026,Merck Veterinary Manual: Abortion in Pigs,https://www.merckvetmanual.com/reproductive-system/abortion-in-large-animals/abortion-in-pigs,complete,wiki/sources/A2-MERCK-ABORTION-PIGS-2026.md
A2-MERCK-ACTINOBACILLOSIS-PIGS-2025,Merck Veterinary Manual: Actinobacillosis in Animals,https://www.merckvetmanual.com/infectious-diseases/actinobacillosis/actinobacillosis,complete,wiki/sources/A2-MERCK-ACTINOBACILLOSIS-PIGS-2025.md
A2-MERCK-AFLATOXICOSIS-ANIMALS-2025,Merck Veterinary Manual: Aflatoxicosis in Animals,https://www.merckvetmanual.com/toxicology/mycotoxicoses/aflatoxicosis-in-animals,complete,wiki/sources/A2-MERCK-AFLATOXICOSIS-ANIMALS-2025.md
A2-MERCK-ASCARIS-SUUM-PIGS-2024,Merck Veterinary Manual: Ascaris suum in Pigs,https://www.merckvetmanual.com/digestive-system/gastrointestinal-parasites-of-pigs/ascaris-suum-in-pigs,complete,wiki/sources/A2-MERCK-ASCARIS-SUUM-PIGS-2024.md
A2-MERCK-ATROPHIC-RHINITIS-PIGS-2026,Merck Veterinary Manual: Atrophic Rhinitis in Pigs,https://www.merckvetmanual.com/respiratory-system/respiratory-diseases-of-pigs/atrophic-rhinitis-in-pigs,complete,wiki/sources/A2-MERCK-ATROPHIC-RHINITIS-PIGS-2026.md
A2-MERCK-CLASSICAL-SWINE-FEVER-2026,Merck Veterinary Manual: Classical Swine Fever,https://www.merckvetmanual.com/generalized-conditions/classical-swine-fever/classical-swine-fever,complete,wiki/sources/A2-MERCK-CLASSICAL-SWINE-FEVER-2026.md
A2-MERCK-COCCIDIOSIS-PIGS,Merck Veterinary Manual coccidiosis of pigs,https://www.merckvetmanual.com/digestive-system/coccidiosis/coccidiosis-of-pigs,complete,wiki/sources/A2-MERCK-COCCIDIOSIS-PIGS.md
A2-MERCK-COCCIDIOSIS-PIGS-2024,Merck Veterinary Manual: Coccidiosis of Pigs,https://www.merckvetmanual.com/digestive-system/coccidiosis/coccidiosis-of-pigs,complete,wiki/sources/A2-MERCK-COCCIDIOSIS-PIGS-2024.md
A2-MERCK-CORONAVIRAL-ENTERITIS-PIGS-2026,Merck Veterinary Manual: Coronaviral Enteritis in Pigs,https://www.merckvetmanual.com/digestive-system/enteric-viral-diseases-in-pigs/coronaviral-enteritis-in-pigs,complete,wiki/sources/A2-MERCK-CORONAVIRAL-ENTERITIS-PIGS-2026.md
