drug_mention,fact_id,source_id,page,line_start,line_end,drug_page,disease_page,chapter,heading
红霉素,SFDUT1-TX-0029,SRC-0089,13,589,589,DRUG-073-erythromycin.md,DIS-051-streptococcosis-streptococcus-suis.md,第一章,5. 合理搭配用药，注意配伍禁忌
黏菌素,SFDUT1-TX-0029,SRC-0089,13,589,589,DRUG-052-colistin.md,DIS-051-streptococcosis-streptococcus-suis.md,第一章,5. 合理搭配用药，注意配伍禁忌
多黏菌素,SFDUT1-TX-0029,SRC-0089,13,589,589,DRUG-052-colistin.md,DIS-051-streptococcosis-streptococcus-suis.md,第一章,5. 合理搭配用药，注意配伍禁忌
磺胺,SFDUT1-TX-0029,SRC-0089,13,589,589,DRUG-034-sulfonamides.md,DIS-051-streptococcosis-streptococcus-suis.md,第一章,5. 合理搭配用药，注意配伍禁忌
阿托品,SFDUT1-TX-0029,SRC-0089,13,589,589,DRUG-079-atropine.md,DIS-051-streptococcosis-streptococcus-suis.md,第一章,5. 合理搭配用药，注意配伍禁忌
土霉素,SFDUT1-TX-0030,SRC-0089,13,590,590,DRUG-019-oxytetracycline.md,,第一章,5. 合理搭配用药，注意配伍禁忌
四环素,SFDUT1-TX-0030,SRC-0089,13,590,590,DRUG-030-tetracyclines.md,,第一章,5. 合理搭配用药，注意配伍禁忌
泰乐菌素,SFDUT1-TX-0030,SRC-0089,13,590,590,DRUG-015-tylosin.md,,第一章,5. 合理搭配用药，注意配伍禁忌
泰妙菌素,SFDUT1-TX-0030,SRC-0089,13,590,590,DRUG-013-tiamulin.md,,第一章,5. 合理搭配用药，注意配伍禁忌
喹乙醇,SFDUT1-TX-0030,SRC-0089,13,590,590,DRUG-049-olaquindox.md,,第一章,5. 合理搭配用药，注意配伍禁忌
红霉素,SFDUT1-TX-0031,SRC-0089,13,591,591,DRUG-073-erythromycin.md,,第一章,5. 合理搭配用药，注意配伍禁忌
泰乐菌素,SFDUT1-TX-0031,SRC-0089,13,591,591,DRUG-015-tylosin.md,,第一章,5. 合理搭配用药，注意配伍禁忌
林可霉素,SFDUT1-TX-0031,SRC-0089,13,591,591,DRUG-014-lincomycin.md,,第一章,5. 合理搭配用药，注意配伍禁忌
磺胺,SFDUT1-TX-0031,SRC-0089,13,591,591,DRUG-034-sulfonamides.md,,第一章,5. 合理搭配用药，注意配伍禁忌
新霉素,SFDUT1-TX-0032,SRC-0089,13,596,596,DRUG-024-neomycin.md,,第一章,5. 合理搭配用药，注意配伍禁忌
四环素,SFDUT1-TX-0032,SRC-0089,13,596,596,DRUG-030-tetracyclines.md,,第一章,5. 合理搭配用药，注意配伍禁忌
林可霉素,SFDUT1-TX-0032,SRC-0089,13,596,596,DRUG-014-lincomycin.md,,第一章,5. 合理搭配用药，注意配伍禁忌
恩诺沙星,SFDUT1-TX-0032,SRC-0089,13,596,596,DRUG-018-enrofloxacin.md,,第一章,5. 合理搭配用药，注意配伍禁忌
青霉素,SFDUT1-TX-0033,SRC-0089,13,599,599,DRUG-009-penicillin-g.md,,第一章,5. 合理搭配用药，注意配伍禁忌
红霉素,SFDUT1-TX-0033,SRC-0089,13,599,599,DRUG-073-erythromycin.md,,第一章,5. 合理搭配用药，注意配伍禁忌
林可霉素,SFDUT1-TX-0033,SRC-0089,13,599,599,DRUG-014-lincomycin.md,,第一章,5. 合理搭配用药，注意配伍禁忌
磺胺,SFDUT1-TX-0033,SRC-0089,13,599,599,DRUG-034-sulfonamides.md,,第一章,5. 合理搭配用药，注意配伍禁忌
磺胺,SFDUT1-TX-0034,SRC-0089,14,605,605,DRUG-034-sulfonamides.md,,第一章,1. 充分考虑药物的特性
维生素,SFDUT1-TX-0039,SRC-0089,16,643,643,,,第二章,1. 药物的剂量单位
卡那霉素,SFDUT1-TX-0040,SRC-0089,16,647,647,,,第二章,2. 药物的含量表示
卡那霉素,SFDUT1-TX-0043,SRC-0089,17,655,655,,,第二章,3. 怎样计算个体给药剂量
卡那霉素,SFDUT1-TX-0044,SRC-0089,17,657,657,,,第二章,3. 怎样计算个体给药剂量
安乃近,SFDUT1-TX-0048,SRC-0089,17,669,669,DRUG-029-nsaids.md,,第二章,4. 使用说明书上没标明每千克体重用量是多少怎么办
阿托品,SFDUT1-TX-0048,SRC-0089,17,669,669,DRUG-079-atropine.md,,第二章,4. 使用说明书上没标明每千克体重用量是多少怎么办
肾上腺素,SFDUT1-TX-0048,SRC-0089,17,669,669,,,第二章,4. 使用说明书上没标明每千克体重用量是多少怎么办
安钠咖,SFDUT1-TX-0048,SRC-0089,17,669,669,,,第二章,4. 使用说明书上没标明每千克体重用量是多少怎么办
安乃近,SFDUT1-TX-0049,SRC-0089,17,671,671,DRUG-029-nsaids.md,,第二章,4. 使用说明书上没标明每千克体重用量是多少怎么办
青霉素,SFDUT1-TX-0056,SRC-0089,19,709,709,DRUG-009-penicillin-g.md,,第二章,第三节 治疗猪病要选择最适宜的给药方法
肾上腺素,SFDUT1-TX-0056,SRC-0089,19,709,709,,,第二章,第三节 治疗猪病要选择最适宜的给药方法
庆大霉素,SFDUT1-TX-0057,SRC-0089,19,713,713,DRUG-023-gentamicin.md,DIS-044-gl-sser-s-disease.md,第二章,1. 口服给药
新霉素,SFDUT1-TX-0057,SRC-0089,19,713,713,DRUG-024-neomycin.md,DIS-044-gl-sser-s-disease.md,第二章,1. 口服给药
磺胺,SFDUT1-TX-0057,SRC-0089,19,713,713,DRUG-034-sulfonamides.md,DIS-044-gl-sser-s-disease.md,第二章,1. 口服给药
吡哌酸,SFDUT1-TX-0057,SRC-0089,19,713,713,,DIS-044-gl-sser-s-disease.md,第二章,1. 口服给药
伊维菌素,SFDUT1-TX-0060,SRC-0089,20,721,721,DRUG-002-ivermectin.md,,第二章,2. 注射给药
喹乙醇,SFDUT1-TX-0063,SRC-0089,20,728,728,DRUG-049-olaquindox.md,,第二章,3.混饲与饮水给药
泰乐菌素,SFDUT1-TX-0066,SRC-0089,21,746,746,DRUG-015-tylosin.md,,第二章,1. 对因治疗
林可霉素,SFDUT1-TX-0066,SRC-0089,21,746,746,DRUG-014-lincomycin.md,,第二章,1. 对因治疗
恩诺沙星,SFDUT1-TX-0066,SRC-0089,21,746,746,DRUG-018-enrofloxacin.md,,第二章,1. 对因治疗
安乃近,SFDUT1-TX-0068,SRC-0089,21,754,754,DRUG-029-nsaids.md,,第二章,3. 标本兼治
地塞米松,SFDUT1-TX-0068,SRC-0089,21,754,754,DRUG-066-dexamethasone.md,,第二章,3. 标本兼治
维生素,SFDUT1-TX-0068,SRC-0089,21,754,754,,,第二章,3. 标本兼治
磺胺,SFDUT1-TX-0070,SRC-0089,22,762,762,DRUG-034-sulfonamides.md,DIS-042-edema-disease-e-coli.md,第二章,1. 要分析使用药物治疗的利弊
磺胺,SFDUT1-TX-0071,SRC-0089,22,764,764,DRUG-034-sulfonamides.md,,第二章,1. 要分析使用药物治疗的利弊
碳酸氢钠,SFDUT1-TX-0071,SRC-0089,22,764,764,,,第二章,1. 要分析使用药物治疗的利弊
氨苄西林,SFDUT1-TX-0073,SRC-0089,22,772,772,DRUG-042-ampicillin.md,,第二章,3. 要掌握药物的药动学特征
阿莫西林,SFDUT1-TX-0073,SRC-0089,22,772,772,DRUG-010-amoxicillin.md,,第二章,3. 要掌握药物的药动学特征
地塞米松,SFDUT1-TX-0076,SRC-0089,24,794,794,DRUG-066-dexamethasone.md,,第二章,4. 禁用糖皮质激素（皮质甾体类激素）
敌百虫,SFDUT1-TX-0080,SRC-0089,24,808,808,DRUG-076-dichlorvos.md,,第二章,7. 禁用峻泻药
多西环素,SFDUT1-TX-0087,SRC-0089,25,824,824,DRUG-021-doxycycline.md,,第二章,7. 禁用峻泻药
强力霉素,SFDUT1-TX-0087,SRC-0089,25,824,824,DRUG-021-doxycycline.md,,第二章,7. 禁用峻泻药
阿散酸,SFDUT1-TX-0088,SRC-0089,25,830,830,,,第二章,7. 禁用峻泻药
伊维菌素,SFDUT1-TX-0089,SRC-0089,25,833,833,DRUG-002-ivermectin.md,,第二章,7. 禁用峻泻药
青霉素,SFDUT1-TX-0090,SRC-0089,25,841,841,DRUG-009-penicillin-g.md,,第三章,第一节 肆霉素类
青霉素,SFDUT1-TX-0091,SRC-0089,26,845,845,DRUG-009-penicillin-g.md,,第三章,一、分类
青霉素,SFDUT1-TX-0092,SRC-0089,27,853,853,DRUG-009-penicillin-g.md,DIS-046-mycoplasmosis-enzootic-pneumonia.md,第三章,1. 属杀菌性抗生素
卡那霉素,SFDUT1-TX-0092,SRC-0089,27,853,853,,DIS-046-mycoplasmosis-enzootic-pneumonia.md,第三章,1. 属杀菌性抗生素
四环素,SFDUT1-TX-0092,SRC-0089,27,853,853,DRUG-030-tetracyclines.md,DIS-046-mycoplasmosis-enzootic-pneumonia.md,第三章,1. 属杀菌性抗生素
红霉素,SFDUT1-TX-0092,SRC-0089,27,853,853,DRUG-073-erythromycin.md,DIS-046-mycoplasmosis-enzootic-pneumonia.md,第三章,1. 属杀菌性抗生素
泰乐菌素,SFDUT1-TX-0092,SRC-0089,27,853,853,DRUG-015-tylosin.md,DIS-046-mycoplasmosis-enzootic-pneumonia.md,第三章,1. 属杀菌性抗生素
氟苯尼考,SFDUT1-TX-0092,SRC-0089,27,853,853,DRUG-012-florfenicol.md,DIS-046-mycoplasmosis-enzootic-pneumonia.md,第三章,1. 属杀菌性抗生素
林可霉素,SFDUT1-TX-0092,SRC-0089,27,853,853,DRUG-014-lincomycin.md,DIS-046-mycoplasmosis-enzootic-pneumonia.md,第三章,1. 属杀菌性抗生素
泰妙菌素,SFDUT1-TX-0092,SRC-0089,27,853,853,DRUG-013-tiamulin.md,DIS-046-mycoplasmosis-enzootic-pneumonia.md,第三章,1. 属杀菌性抗生素
青霉素,SFDUT1-TX-0093,SRC-0089,27,863,863,DRUG-009-penicillin-g.md,,第三章,3. 属时间依赖性抗生素
青霉素,SFDUT1-TX-0094,SRC-0089,27,867,867,DRUG-009-penicillin-g.md,,第三章,4. 容易产生耐药性
舒巴坦,SFDUT1-TX-0094,SRC-0089,27,867,867,,,第三章,4. 容易产生耐药性
克拉维酸,SFDUT1-TX-0094,SRC-0089,27,867,867,,,第三章,4. 容易产生耐药性
青霉素,SFDUT1-TX-0095,SRC-0089,28,871,871,DRUG-009-penicillin-g.md,,第三章,三、药物相互作用
青霉素,SFDUT1-TX-0096,SRC-0089,28,877,877,DRUG-009-penicillin-g.md,,第三章,三、药物相互作用
四环素,SFDUT1-TX-0096,SRC-0089,28,877,877,DRUG-030-tetracyclines.md,,第三章,三、药物相互作用
葡萄糖,SFDUT1-TX-0096,SRC-0089,28,877,877,,,第三章,三、药物相互作用
肾上腺素,SFDUT1-TX-0097,SRC-0089,29,884,884,,,第三章,四、不良反应
青霉素,SFDUT1-TX-0098,SRC-0089,29,893,893,DRUG-009-penicillin-g.md,,第三章,1. 注射用青霉素钠（钾）
青霉素,SFDUT1-TX-0099,SRC-0089,29,895,895,DRUG-009-penicillin-g.md,,第三章,1. 注射用青霉素钠（钾）
青霉素,SFDUT1-TX-0100,SRC-0089,29,897,897,DRUG-009-penicillin-g.md,,第三章,1. 注射用青霉素钠（钾）
葡萄糖,SFDUT1-TX-0100,SRC-0089,29,897,897,,,第三章,1. 注射用青霉素钠（钾）
碳酸氢钠,SFDUT1-TX-0100,SRC-0089,29,897,897,,,第三章,1. 注射用青霉素钠（钾）
青霉素,SFDUT1-TX-0101,SRC-0089,30,903,903,DRUG-009-penicillin-g.md,,第三章,（3）注意事项
青霉素,SFDUT1-TX-0102,SRC-0089,30,904,904,DRUG-009-penicillin-g.md,,第三章,（3）注意事项
土霉素,SFDUT1-TX-0105,SRC-0089,31,916,916,DRUG-019-oxytetracycline.md,,第三章,2. 注射用氨苄西林钠（氨苄青霉素、氨苄西林）
金霉素,SFDUT1-TX-0105,SRC-0089,31,916,916,DRUG-020-chlortetracycline.md,,第三章,2. 注射用氨苄西林钠（氨苄青霉素、氨苄西林）
四环素,SFDUT1-TX-0105,SRC-0089,31,916,916,DRUG-030-tetracyclines.md,,第三章,2. 注射用氨苄西林钠（氨苄青霉素、氨苄西林）
红霉素,SFDUT1-TX-0105,SRC-0089,31,916,916,DRUG-073-erythromycin.md,,第三章,2. 注射用氨苄西林钠（氨苄青霉素、氨苄西林）
氟苯尼考,SFDUT1-TX-0105,SRC-0089,31,916,916,DRUG-012-florfenicol.md,,第三章,2. 注射用氨苄西林钠（氨苄青霉素、氨苄西林）
林可霉素,SFDUT1-TX-0105,SRC-0089,31,916,916,DRUG-014-lincomycin.md,,第三章,2. 注射用氨苄西林钠（氨苄青霉素、氨苄西林）
黏菌素,SFDUT1-TX-0105,SRC-0089,31,916,916,DRUG-052-colistin.md,,第三章,2. 注射用氨苄西林钠（氨苄青霉素、氨苄西林）
多黏菌素,SFDUT1-TX-0105,SRC-0089,31,916,916,DRUG-052-colistin.md,,第三章,2. 注射用氨苄西林钠（氨苄青霉素、氨苄西林）
泰妙菌素,SFDUT1-TX-0105,SRC-0089,31,916,916,DRUG-013-tiamulin.md,,第三章,2. 注射用氨苄西林钠（氨苄青霉素、氨苄西林）
磺胺,SFDUT1-TX-0105,SRC-0089,31,916,916,DRUG-034-sulfonamides.md,,第三章,2. 注射用氨苄西林钠（氨苄青霉素、氨苄西林）
葡萄糖,SFDUT1-TX-0105,SRC-0089,31,916,916,,,第三章,2. 注射用氨苄西林钠（氨苄青霉素、氨苄西林）
碳酸氢钠,SFDUT1-TX-0105,SRC-0089,31,916,916,,,第三章,2. 注射用氨苄西林钠（氨苄青霉素、氨苄西林）
维生素,SFDUT1-TX-0105,SRC-0089,31,916,916,,,第三章,2. 注射用氨苄西林钠（氨苄青霉素、氨苄西林）
氯丙嗪,SFDUT1-TX-0105,SRC-0089,31,916,916,,,第三章,2. 注射用氨苄西林钠（氨苄青霉素、氨苄西林）
氨苄西林,SFDUT1-TX-0106,SRC-0089,31,921,921,DRUG-042-ampicillin.md,,第三章,3. 注射用舒巴坦钠-氨苄西林钠
氨苄西林,SFDUT1-TX-0108,SRC-0089,31,923,923,DRUG-042-ampicillin.md,,第三章,3. 注射用舒巴坦钠-氨苄西林钠
阿莫西林,SFDUT1-TX-0110,SRC-0089,31,928,928,DRUG-010-amoxicillin.md,,第三章,4. 阿莫西林可溶性粉（羟氨苄青霉素）
青霉素,SFDUT1-TX-0111,SRC-0089,31,932,932,DRUG-009-penicillin-g.md,DIS-044-gl-sser-s-disease.md,第三章,5. 注射用阿莫西林钠（羟氨苄青霉素）
地塞米松,SFDUT1-TX-0111,SRC-0089,31,932,932,DRUG-066-dexamethasone.md,DIS-044-gl-sser-s-disease.md,第三章,5. 注射用阿莫西林钠（羟氨苄青霉素）
氨苄西林,SFDUT1-TX-0114,SRC-0089,31,938,938,DRUG-042-ampicillin.md,,第三章,5. 注射用阿莫西林钠（羟氨苄青霉素）
阿莫西林,SFDUT1-TX-0114,SRC-0089,31,938,938,DRUG-010-amoxicillin.md,,第三章,5. 注射用阿莫西林钠（羟氨苄青霉素）
四环素,SFDUT1-TX-0114,SRC-0089,31,938,938,DRUG-030-tetracyclines.md,,第三章,5. 注射用阿莫西林钠（羟氨苄青霉素）
氟苯尼考,SFDUT1-TX-0114,SRC-0089,31,938,938,DRUG-012-florfenicol.md,,第三章,5. 注射用阿莫西林钠（羟氨苄青霉素）
林可霉素,SFDUT1-TX-0114,SRC-0089,31,938,938,DRUG-014-lincomycin.md,,第三章,5. 注射用阿莫西林钠（羟氨苄青霉素）
青霉素,SFDUT1-TX-0115,SRC-0089,32,942,942,DRUG-009-penicillin-g.md,,第三章,第二节 头孢菌素类
青霉素,SFDUT1-TX-0116,SRC-0089,28,948,948,DRUG-009-penicillin-g.md,,第三章,一、分类
氨苄西林,SFDUT1-TX-0116,SRC-0089,28,948,948,DRUG-042-ampicillin.md,,第三章,一、分类
阿莫西林,SFDUT1-TX-0116,SRC-0089,28,948,948,DRUG-010-amoxicillin.md,,第三章,一、分类
头孢喹肟,SFDUT1-TX-0118,SRC-0089,31,958,958,DRUG-044-cefquinome.md,,第三章,一、分类
氨苄西林,SFDUT1-TX-0119,SRC-0089,34,974,974,DRUG-042-ampicillin.md,DIS-044-gl-sser-s-disease.md,第三章,1. 注射用头孢噻呋
阿莫西林,SFDUT1-TX-0119,SRC-0089,34,974,974,DRUG-010-amoxicillin.md,DIS-044-gl-sser-s-disease.md,第三章,1. 注射用头孢噻呋
头孢噻呋,SFDUT1-TX-0119,SRC-0089,34,974,974,DRUG-011-ceftiofur.md,DIS-044-gl-sser-s-disease.md,第三章,1. 注射用头孢噻呋
大观霉素,SFDUT1-TX-0119,SRC-0089,34,974,974,DRUG-026-spectinomycin.md,DIS-044-gl-sser-s-disease.md,第三章,1. 注射用头孢噻呋
林可霉素,SFDUT1-TX-0119,SRC-0089,34,974,974,DRUG-014-lincomycin.md,DIS-044-gl-sser-s-disease.md,第三章,1. 注射用头孢噻呋
头孢噻呋,SFDUT1-TX-0124,SRC-0089,35,993,993,DRUG-011-ceftiofur.md,,第三章,2. $5\%$ 盐酸头孢噻呋混悬注射液（商品名：辉瑞“速解灵”）
头孢喹肟,SFDUT1-TX-0132,SRC-0089,36,1043,1043,DRUG-044-cefquinome.md,,第三章,（1）作用与用途
头孢噻呋,SFDUT1-TX-0133,SRC-0089,36,1044,1044,DRUG-011-ceftiofur.md,,第三章,（1）作用与用途
头孢喹肟,SFDUT1-TX-0134,SRC-0089,36,1045,1045,DRUG-044-cefquinome.md,,第三章,（1）作用与用途
氨苄西林,SFDUT1-TX-0135,SRC-0089,36,1046,1046,DRUG-042-ampicillin.md,,第三章,（1）作用与用途
头孢噻呋,SFDUT1-TX-0135,SRC-0089,36,1046,1046,DRUG-011-ceftiofur.md,,第三章,（1）作用与用途
链霉素,SFDUT1-TX-0136,SRC-0089,37,1050,1050,,,第三章,第三节 氨基糖苷类
卡那霉素,SFDUT1-TX-0136,SRC-0089,37,1050,1050,,,第三章,第三节 氨基糖苷类
庆大霉素,SFDUT1-TX-0136,SRC-0089,37,1050,1050,DRUG-023-gentamicin.md,,第三章,第三节 氨基糖苷类
新霉素,SFDUT1-TX-0136,SRC-0089,37,1050,1050,DRUG-024-neomycin.md,,第三章,第三节 氨基糖苷类
阿米卡星,SFDUT1-TX-0136,SRC-0089,37,1050,1050,,,第三章,第三节 氨基糖苷类
青霉素,SFDUT1-TX-0137,SRC-0089,38,1066,1066,DRUG-009-penicillin-g.md,,第三章,1. 属杀菌性抗生素
庆大霉素,SFDUT1-TX-0141,SRC-0089,39,1092,1092,DRUG-023-gentamicin.md,DIS-041-neonatal-post-weaning-colibacillosis.md,第三章,7. 内服极少吸收，只可作为肠道感染用药
新霉素,SFDUT1-TX-0141,SRC-0089,39,1092,1092,DRUG-024-neomycin.md,DIS-041-neonatal-post-weaning-colibacillosis.md,第三章,7. 内服极少吸收，只可作为肠道感染用药
阿托品,SFDUT1-TX-0141,SRC-0089,39,1092,1092,DRUG-079-atropine.md,DIS-041-neonatal-post-weaning-colibacillosis.md,第三章,7. 内服极少吸收，只可作为肠道感染用药
链霉素,SFDUT1-TX-0144,SRC-0089,40,1116,1116,,,第三章,1. 肾毒性
卡那霉素,SFDUT1-TX-0144,SRC-0089,40,1116,1116,,,第三章,1. 肾毒性
庆大霉素,SFDUT1-TX-0144,SRC-0089,40,1116,1116,DRUG-023-gentamicin.md,,第三章,1. 肾毒性
新霉素,SFDUT1-TX-0144,SRC-0089,40,1116,1116,DRUG-024-neomycin.md,,第三章,1. 肾毒性
阿米卡星,SFDUT1-TX-0144,SRC-0089,40,1116,1116,,,第三章,1. 肾毒性
黏菌素,SFDUT1-TX-0144,SRC-0089,40,1116,1116,DRUG-052-colistin.md,,第三章,1. 肾毒性
多黏菌素,SFDUT1-TX-0144,SRC-0089,40,1116,1116,DRUG-052-colistin.md,,第三章,1. 肾毒性
杆菌肽,SFDUT1-TX-0144,SRC-0089,40,1116,1116,,,第三章,1. 肾毒性
链霉素,SFDUT1-TX-0145,SRC-0089,40,1126,1126,,,第三章,3. 神经肌肉阻滞作用
卡那霉素,SFDUT1-TX-0145,SRC-0089,40,1126,1126,,,第三章,3. 神经肌肉阻滞作用
新霉素,SFDUT1-TX-0145,SRC-0089,40,1126,1126,DRUG-024-neomycin.md,,第三章,3. 神经肌肉阻滞作用
链霉素,SFDUT1-TX-0146,SRC-0089,40,1130,1130,,,第三章,4. 过敏反应
地塞米松,SFDUT1-TX-0146,SRC-0089,40,1130,1130,DRUG-066-dexamethasone.md,,第三章,4. 过敏反应
肾上腺素,SFDUT1-TX-0146,SRC-0089,40,1130,1130,,,第三章,4. 过敏反应
青霉素,SFDUT1-TX-0147,SRC-0089,41,1144,1144,DRUG-009-penicillin-g.md,DIS-051-streptococcosis-streptococcus-suis.md,第三章,1. 本类药物与 $\beta$ -内酰胺类抗生素联用有较好协同作用但不能混合注射
氨苄西林,SFDUT1-TX-0147,SRC-0089,41,1144,1144,DRUG-042-ampicillin.md,DIS-051-streptococcosis-streptococcus-suis.md,第三章,1. 本类药物与 $\beta$ -内酰胺类抗生素联用有较好协同作用但不能混合注射
阿莫西林,SFDUT1-TX-0147,SRC-0089,41,1144,1144,DRUG-010-amoxicillin.md,DIS-051-streptococcosis-streptococcus-suis.md,第三章,1. 本类药物与 $\beta$ -内酰胺类抗生素联用有较好协同作用但不能混合注射
头孢噻呋,SFDUT1-TX-0147,SRC-0089,41,1144,1144,DRUG-011-ceftiofur.md,DIS-051-streptococcosis-streptococcus-suis.md,第三章,1. 本类药物与 $\beta$ -内酰胺类抗生素联用有较好协同作用但不能混合注射
头孢喹肟,SFDUT1-TX-0147,SRC-0089,41,1144,1144,DRUG-044-cefquinome.md,DIS-051-streptococcosis-streptococcus-suis.md,第三章,1. 本类药物与 $\beta$ -内酰胺类抗生素联用有较好协同作用但不能混合注射
链霉素,SFDUT1-TX-0147,SRC-0089,41,1144,1144,,DIS-051-streptococcosis-streptococcus-suis.md,第三章,1. 本类药物与 $\beta$ -内酰胺类抗生素联用有较好协同作用但不能混合注射
卡那霉素,SFDUT1-TX-0147,SRC-0089,41,1144,1144,,DIS-051-streptococcosis-streptococcus-suis.md,第三章,1. 本类药物与 $\beta$ -内酰胺类抗生素联用有较好协同作用但不能混合注射
庆大霉素,SFDUT1-TX-0147,SRC-0089,41,1144,1144,DRUG-023-gentamicin.md,DIS-051-streptococcosis-streptococcus-suis.md,第三章,1. 本类药物与 $\beta$ -内酰胺类抗生素联用有较好协同作用但不能混合注射
