fact_id,source_id,fact_type,table,medicine,active_substance,dose,meat_withhold_days,page,page_method,line_start,line_end,drug_mentions
VTOP-MED-0011,SRC-0088,veterinary_medicine_table,Table A.1 includes the only licensed products which are available in the UK at the time of writing.,Pracetam,200 mg paracetamol/ml solution or 200 mg paracetamol/g powder,1.5 mg/10 kg daily for 5 days (unlicensed in the UK),28,151,appendix_interpolated,4067,4067,
VTOP-MED-0012,SRC-0088,veterinary_medicine_table,Table A.1 includes the only licensed products which are available in the UK at the time of writing.,Rapidexon,2 mg dexamethasone/ml,1.5 ml/50 kg iv or im once and repeated in 48 h,2,151,appendix_interpolated,4067,4067,dexamethasone
VTOP-MED-0013,SRC-0088,veterinary_medicine_table,Table A.1 includes the only licensed products which are available in the UK at the time of writing.,"Rheumocam 20 mg/ml Injection for Cattle, Pigs and Horses",20 mg meloxicam/ml,2 ml/100 kg im,5,51,index,4067,4067,meloxicam
VTOP-MED-0014,SRC-0088,veterinary_medicine_table,Table A.1 includes the only licensed products which are available in the UK at the time of writing.,Sodium Salicyl 80% WSP Powder for Oral for Cattle (Calves) and Pigs,800 mg sodium salicylate/g,35 mg sodium salicylate/kg for 3-5 days,0,151,appendix_interpolated,4067,4067,salicylate; sodium salicylate
VTOP-MED-0015,SRC-0088,veterinary_medicine_table,Table A.1 includes the only licensed products which are available in the UK at the time of writing.,Solacyl Oral Powder,1000 mg sodium salicylate/g,35 mg/kg orally in drinking water for 3-5 days,0,151,appendix_interpolated,4067,4067,salicylate; sodium salicylate
VTOP-MED-0016,SRC-0088,veterinary_medicine_table,Table A.1 includes the only licensed products which are available in the UK at the time of writing.,Tolfine,4 mg tofenamic acid/ml,1 ml/20 kg im as a single injection,3,151,appendix_interpolated,4067,4067,
VTOP-MED-0017,SRC-0088,veterinary_medicine_table,Table A.1 includes the only licensed products which are available in the UK at the time of writing.,"Voren Suspension for Injection, 1 mg/ml",1 mg dexamethazone/ml,2 ml/100 kg im in growing pigs and adults; 1 ml/10 kg im in piglets,55,151,appendix_interpolated,4067,4067,dexamethazone
VTOP-MED-0018,SRC-0088,veterinary_medicine_table,Table A.2.,Advocin 2.5% Solution for Injection,25 mg danofloxacin/ml,1 ml/20 kg im daily,3,153,appendix_interpolated,4085,4085,
VTOP-MED-0019,SRC-0088,veterinary_medicine_table,Table A.2.,Alamycin 10,100 mg oxytetracycline/ml,1 ml/11–50 kg im daily,20,152,index,4085,4085,oxytetracycline
VTOP-MED-0020,SRC-0088,veterinary_medicine_table,Table A.2.,Alamycin LA,200 mg oxytetracycline/ml,1 ml/10 kg im as a single injection,18,152,index,4085,4085,oxytetracycline
VTOP-MED-0021,SRC-0088,veterinary_medicine_table,Table A.2.,Alamycin LA 300,300 mg oxytetracycline/ml,1 ml/10–15 kg im as a single injection,14–28 (depending on dosage),152,index,4085,4085,oxytetracycline
VTOP-MED-0022,SRC-0088,veterinary_medicine_table,Table A.2.,Amfipen LA,100 mg ampicillin/ml,1 ml/4 kg im every 2 days,60,152,index,4085,4085,
VTOP-MED-0023,SRC-0088,veterinary_medicine_table,Table A.2.,Aloxycare Injection,150 mg amoxicillin/ml,1 ml/21 kg im daily,16,154,index,4085,4085,amoxicillin
VTOP-MED-0024,SRC-0088,veterinary_medicine_table,Table A.2.,Aloxycare LA Injection,150 mg amoxicillin/ml,1 ml/10 kg im every 2 days,16,154,index,4085,4085,amoxicillin
VTOP-MED-0025,SRC-0088,veterinary_medicine_table,Table A.2.,Aloxypen Injection,150 mg amoxicillin/ml,1 ml/20 kg im daily,16,153,appendix_interpolated,4085,4085,amoxicillin
VTOP-MED-0026,SRC-0088,veterinary_medicine_table,Table A.2.,Aloxypen LA,150 mg amoxicillin/ml,1 ml/10 kg im daily,16,153,appendix_interpolated,4085,4085,amoxicillin
VTOP-MED-0027,SRC-0088,veterinary_medicine_table,Table A.2.,Baytril 5% Solution for Injection,50 mg enrofloxacin/ml,2.5 ml/100 kg im daily (this dose rate may be doubled for treating salmonellosis and complicated respiratory disease),10,153,appendix_interpolated,4085,4085,enrofloxacin
VTOP-MED-0028,SRC-0088,veterinary_medicine_table,Table A.2.,Baytril 10% Solution for Injection,100 mg enrofloxacin/ml,0.5 ml/10 kg im daily (this dose rate may be doubled for treating salmonellosis and complicated respiratory disease),10,153,appendix_interpolated,4085,4085,enrofloxacin
VTOP-MED-0029,SRC-0088,veterinary_medicine_table,Table A.2.,Baytril Max,100 mg enrofloxacin/ml,0.75 ml/10 kg im as a single dose,,152,index,4085,4085,enrofloxacin
VTOP-MED-0030,SRC-0088,veterinary_medicine_table,Table A.2.,Betamox Injection,150 mg amoxicillin/ml,1 ml/21 kg im daily,16,152,index,4085,4085,amoxicillin
VTOP-MED-0031,SRC-0088,veterinary_medicine_table,Table A.2.,Betamox LA,150 mg amoxicillin/ml,1 ml/10 kg im every 2 days,16,152,index,4085,4085,amoxicillin
VTOP-MED-0032,SRC-0088,veterinary_medicine_table,Table A.2.,Cefenil Powder and Solvent Solution for Injection,1 g ceftiofur/20 ml,1 ml/50 kg im daily,2 (milk withhold 0),152,index,4085,4085,ceftiofur
VTOP-MED-0033,SRC-0088,veterinary_medicine_table,Table A.2.,Ceftiocyl 50 mg/ml,50 mg ceftiofur/ml,1 ml/16 kg im daily,6,152,index,4085,4085,ceftiofur
VTOP-MED-0034,SRC-0088,veterinary_medicine_table,Table A.2.,Cevaxel,50 mg ceftiofur/ml,1 ml/16 kg im daily,5,152,index,4085,4085,ceftiofur
VTOP-MED-0035,SRC-0088,veterinary_medicine_table,Table A.2.,Clamoxyl Ready-to-Use Injection,150 mg amoxicillin/ml,1 ml/20 kg im daily,47,153,appendix_interpolated,4085,4085,amoxicillin
VTOP-MED-0036,SRC-0088,veterinary_medicine_table,Table A.2.,Cobactan 2.5%,25 mg cefquinome/ml,2 ml/25 kg im daily,3,152,index,4085,4085,
VTOP-MED-0037,SRC-0088,veterinary_medicine_table,Table A.2.,Cobactan 7.5%,75 mg cefquinome/ml,1 ml/25 kg im every 48 h,7,152,index,4085,4085,
VTOP-MED-0038,SRC-0088,veterinary_medicine_table,Table A.2.,Cyclosol LA,200 mg oxytetracycline/ml,1 ml/10 kg im every 3 days,28,152,index,4085,4085,oxytetracycline
VTOP-MED-0039,SRC-0088,veterinary_medicine_table,Table A.2.,Denagard 200 Solution for Injection,200 mg tiamulin/ml,3 ml/40 kg im daily,14,152,index,4085,4085,tiamulin
VTOP-MED-0040,SRC-0088,veterinary_medicine_table,Table A.2.,Depocillin,300 mg procaine benzylpenicillin/ml,1 ml/20 kg im daily,5,152,index,4085,4085,
VTOP-MED-0041,SRC-0088,veterinary_medicine_table,Table A.2.,Draxxin 100 mg/ml Solution for Injection for Cattle and Pigs,100 mg sulathromycin/ml,1 ml/40 kg im as a single injection,33,153,appendix_interpolated,4085,4085,sulathromycin
VTOP-MED-0042,SRC-0088,veterinary_medicine_table,Table A.2.,Duphacillin,150 mg ampicillin/ml,1 ml/20 kg im daily,18,152,index,4085,4085,
VTOP-MED-0043,SRC-0088,veterinary_medicine_table,Table A.2.,Duphacycline 10%,100 mg oxytetracycline/ml,1 ml/11–50 kg im daily,20,152,index,4085,4085,oxytetracycline
VTOP-MED-0044,SRC-0088,veterinary_medicine_table,Table A.2.,Duphacycline LA 20% Solution for Injection,200 mg oxytetracycline/ml,1 ml/10 kg im as a single injection,18,152,index,4085,4085,oxytetracycline
VTOP-MED-0045,SRC-0088,veterinary_medicine_table,Table A.2.,Duphamox,150 mg amoxicillin/ml,1 ml/21 kg im daily,16,153,index,4089,4089,amoxicillin
VTOP-MED-0046,SRC-0088,veterinary_medicine_table,Table A.2.,Duphamox LA,150 mg amoxicillin/ml,1 ml/10 kg im as a single injection,21,153,index,4089,4089,amoxicillin
VTOP-MED-0047,SRC-0088,veterinary_medicine_table,Table A.2.,Dupapen,300 mg procaine penicillin/ml,1 ml/30 kg im daily,7,136,index,4089,4089,
VTOP-MED-0048,SRC-0088,veterinary_medicine_table,Table A.2.,Dupapen Fort,300 mg procaine benzylpenicillin/ml,1 ml/15 kg im every 72 h,10,136,index,4089,4089,
VTOP-MED-0049,SRC-0088,veterinary_medicine_table,Table A.2.,Dupapen+Strep,200 mg procaine benzylpenicillin + 250 mg dihydrostreptomycin per ml,1 ml/25 kg im daily,18,136,index,4089,4089,
VTOP-MED-0050,SRC-0088,veterinary_medicine_table,Table A.2.,Duphatrim IS Injectable Solution,40 mg trimethoprim + 200 mg sulfadiazine per ml,1 ml/16 kg im daily,20,154,appendix_interpolated,4089,4089,trimethoprim
VTOP-MED-0051,SRC-0088,veterinary_medicine_table,Table A.2.,Eficur,50 mg ceftiofur/ml,1 ml/16 kg im daily,5,153,index,4089,4089,ceftiofur
VTOP-MED-0052,SRC-0088,veterinary_medicine_table,Table A.2.,Engemycin 10% (DD),100 mg oxytetracycline/ml,1 ml/12.5 kg im daily or 1 ml/5 kg im every 60 h,14 (with daily dose)10 (with 60 h dose),153,index,4089,4089,oxytetracycline
VTOP-MED-0053,SRC-0088,veterinary_medicine_table,Table A.2.,Engemycin 10% Farm Pack,100 mg oxytetracycline/ml,1 ml/12.5 kg im daily or 1 ml/5 kg im every 60 h,14 (with daily dose)10 (with 60 h dose),153,index,4089,4089,oxytetracycline
VTOP-MED-0054,SRC-0088,veterinary_medicine_table,Table A.2.,Engemycin LA,200 mg oxytetracycline/ml,1 ml/10 kg im as a single injection,18,153,index,4089,4089,oxytetracycline
VTOP-MED-0055,SRC-0088,veterinary_medicine_table,Table A.2.,Enrocare 5%,50 mg enrofloxacin/ml,1 ml/20 kg im daily (this dose may be doubled when treating salmonellosis and complicated respiratory disease),10,153,index,4089,4089,enrofloxacin
VTOP-MED-0056,SRC-0088,veterinary_medicine_table,Table A.2.,Enrocare 10%,100 mg enrofloxacin/ml,1 ml/40 kg im daily (this dose may be doubled when treating salmonellosis and complicated respiratory disease),10,153,index,4089,4089,enrofloxacin
VTOP-MED-0057,SRC-0088,veterinary_medicine_table,Table A.2.,"Enroxil Solution for Injection 50 mg/ml for Calves, Pigs and Dogs",50 mg enrofloxacin/ml,1 ml/20 kg im daily (this dose may be doubled when treating salmonellosis and complicated respiratory disease),10,153,index,4089,4089,enrofloxacin
VTOP-MED-0058,SRC-0088,veterinary_medicine_table,Table A.2.,Enroxil Solution for Injection 100 mg/ml for Calves and Pigs,100 mg enrofloxacin/ml,1 ml/40 kg im daily (this dose may be doubled when treating salmonellosis and complicated respiratory disease),10,153,index,4089,4089,enrofloxacin
VTOP-MED-0059,SRC-0088,veterinary_medicine_table,Table A.2.,Excenel RTU 50 mg/ml Suspension for Injection for Pigs and Cattle,50 mg ceftiofur/ml,1 ml/16 kg im daily,5,153,index,4089,4089,ceftiofur
VTOP-MED-0060,SRC-0088,veterinary_medicine_table,Table A.2.,Excenel Sterile Powder for Solution for Injection,50 mg ceftiofur/ml,1 ml/16 kg im daily,2,153,index,4089,4089,ceftiofur
VTOP-MED-0061,SRC-0088,veterinary_medicine_table,Table A.2.,Fenflor 300 mg/ml Solution for Injection for Pigs,300 mg florfenicol/ml,1 ml/20 kg im every 48 h,18,154,appendix_interpolated,4089,4089,florfenicol
VTOP-MED-0062,SRC-0088,veterinary_medicine_table,Table A.2.,Fenoflox 50 mg/ml Injection,50 mg enrofloxacin/ml,1 ml/20 kg im daily (this dose may be doubled when treating complicated respiratory disease),10,154,appendix_interpolated,4095,4095,enrofloxacin
VTOP-MED-0063,SRC-0088,veterinary_medicine_table,Table A.2.,Fenoflox 100 mg/ml Injection,100 mg enrofloxacin/ml,1 ml/40 kg im daily (this dose may be doubled when treating complicated respiratory disease),10,154,appendix_interpolated,4095,4095,enrofloxacin
VTOP-MED-0064,SRC-0088,veterinary_medicine_table,Table A.2.,Florkem Fosfomycin,300 mg florfenicol/ml This antibiotic is not licensed for use in pigs in the UK. However in other countries it has been found to be a useful antibiotic in respiratory disease,1 ml/20 kg im every 48 h The dose of calcium fosfomycin is 30 mg/kg,18 42,154,index,4095,4095,florfenicol
VTOP-MED-0065,SRC-0088,veterinary_medicine_table,Table A.2.,Intradine,308.9 mg sulfadimidine/ml,1 ml/1.5 kg sc initially followed by 1 ml/3 kg daily,28,154,index,4095,4095,
VTOP-MED-0066,SRC-0088,veterinary_medicine_table,Table A.2.,Kefloril 300 mg/ml Lincocin Sterile Solution Lincojet 10%,300 mg florfenicol/ml 100 mg lincomycin/ml 100 mg lincomycin/ml,1 ml/20 kg im every 48 h 1 ml/9–22 kg im daily 1 ml/9–22 kg im daily,18 3 3,154,index,4095,4095,florfenicol; lincomycin
VTOP-MED-0067,SRC-0088,veterinary_medicine_table,Table A.2.,Marbiflox 100 mg/ml Solution for Cattle and Pigs,100 mg marbofloxacin/ml,1 ml/50 kg im daily for 3 days,4,154,appendix_interpolated,4095,4095,
VTOP-MED-0068,SRC-0088,veterinary_medicine_table,Table A.2.,Marbocyl 2% Solution for Injection,2 mg marbofloxacin/ml,1 ml/10 kg im daily,2,154,appendix_interpolated,4095,4095,
VTOP-MED-0069,SRC-0088,veterinary_medicine_table,Table A.2.,Marbocyl 10% Solution for Injection,10 mg marbofloxacin/ml,1 ml/50 kg im daily,2,154,appendix_interpolated,4095,4095,
VTOP-MED-0070,SRC-0088,veterinary_medicine_table,Table A.2.,Marbox 100 mg/ml Solution for Injection for Cattle and Pigs,100 mg marbofloxacin/ml,1 ml/50 kg im daily for 3 days,4,154,appendix_interpolated,4095,4095,
VTOP-MED-0071,SRC-0088,veterinary_medicine_table,Table A.2.,Naxcel 100 mg/ml Suspension for Injection for Pigs,100 mg ceftiofur/ml,1 ml/20 kg im as a single injection,71,154,appendix_interpolated,4095,4095,ceftiofur
VTOP-MED-0072,SRC-0088,veterinary_medicine_table,Table A.2.,Neopen,100 mg neomycin + 200 mg procaine benzylpenicillin per ml,1 ml/20 kg im daily,60,154,index,4095,4095,neomycin
VTOP-MED-0073,SRC-0088,veterinary_medicine_table,Table A.2.,Norobrittin 15%,150 mg ampicillin/ml,1 ml/20 kg im daily,18,154,index,4095,4095,
VTOP-MED-0074,SRC-0088,veterinary_medicine_table,Table A.2.,Norocillin 30%,300 mg procaine penicillin/ml,1 ml/30 kg im daily,7,154,index,4095,4095,
VTOP-MED-0075,SRC-0088,veterinary_medicine_table,Table A.2.,Norodine 24,200 mg sulfadiazine + 40 mg trimethoprim per ml,1 ml/16 kg im daily,20,154,index,4095,4095,trimethoprim
VTOP-MED-0076,SRC-0088,veterinary_medicine_table,Table A.2.,Norotyl LA 15%,150 mg tylosin/ml,1 ml/7.5 kg im as a single injection,7,154,index,4095,4095,tylosin
VTOP-MED-0077,SRC-0088,veterinary_medicine_table,Table A.2.,Nuflor Swine 300 mg/ml Solution for Injection,300 mg florfenicol/ml,1 ml/20 kg im every 48 h,18,154,appendix_interpolated,4095,4095,florfenicol
VTOP-MED-0078,SRC-0088,veterinary_medicine_table,Table A.2.,Oxycare 10%,100 mg oxytetracycline/ml,1 ml/11–50 kg im daily,20,154,index,4095,4095,oxytetracycline
VTOP-MED-0079,SRC-0088,veterinary_medicine_table,Table A.2.,Oxycare 20% LA,200 mg oxytetracycline/ml,1 ml/10 kg im as a single injection,18,154,index,4095,4095,oxytetracycline
VTOP-MED-0080,SRC-0088,veterinary_medicine_table,Table A.2.,Oxytetrin 20 LA,200 mg oxytetracycline/ml,1 ml/10 kg im as a single injection,70,155,index,4101,4101,oxytetracycline
VTOP-MED-0081,SRC-0088,veterinary_medicine_table,Table A.2.,Pen & Strep,200 mg procaine penicillin + 250 mg dihydrostreptomycin per ml,1 ml/25 kg im daily,18,153,index,4101,4101,
VTOP-MED-0082,SRC-0088,veterinary_medicine_table,Table A.2.,Penacare,300 mg procaine benzylpenicillin/ml,1 ml/30 kg im daily,7,155,index,4101,4101,
VTOP-MED-0083,SRC-0088,veterinary_medicine_table,Table A.2.,Powerflox 50 mg/ml Injection,50 mg enrofloxacin/ml,1 ml/20 kg im daily (this rate may be doubled when treating complicated respiratory disease),10,155,appendix_interpolated,4101,4101,enrofloxacin
VTOP-MED-0084,SRC-0088,veterinary_medicine_table,Table A.2.,Powerflox 100 mg/ml Injection,100 mg enrofloxacin/ml,1 ml/40 kg im daily (this rate may be doubled when treating complicated respiratory disease),10,155,appendix_interpolated,4101,4101,enrofloxacin
VTOP-MED-0085,SRC-0088,veterinary_medicine_table,Table A.2.,Readycef Injection,50 mg ceftiofur/ml,1 ml/16 kg im daily,5,155,index,4101,4101,ceftiofur
VTOP-MED-0086,SRC-0088,veterinary_medicine_table,Table A.2.,Selectan,300 mg florfenicol/ml,1 ml/20 kg im every 48 h,18,155,index,4101,4101,florfenicol
VTOP-MED-0087,SRC-0088,veterinary_medicine_table,Table A.2.,Streptacare,200 mg procaine penicillin + 250 mg dihydrostreptomycin per ml,1 ml/25 kg im daily,18,155,index,4101,4101,
VTOP-MED-0088,SRC-0088,veterinary_medicine_table,Table A.2.,Synulox Ready-To-Use Suspension for Injection,35 mg clavulanic acid + 140 mg amoxicillin per ml,1 ml/20 kg im daily,31,155,appendix_interpolated,4101,4101,amoxicillin
VTOP-MED-0089,SRC-0088,veterinary_medicine_table,Table A.2.,Terramycin Q-100 mg/ml Solution for Injection,100 mg oxytetracycline/ml,1 ml/10 kg im daily,21,155,appendix_interpolated,4101,4101,oxytetracycline
VTOP-MED-0090,SRC-0088,veterinary_medicine_table,Table A.2.,Terramycin/LA 200 mg/ml Solution for Injection,200 mg oxytetracycline/ml,1 ml/10 kg im as a single injection,36,155,appendix_interpolated,4101,4101,oxytetracycline
VTOP-MED-0091,SRC-0088,veterinary_medicine_table,Table A.2.,Tiamutin 200 Injection,200 mg tiamulin/ml,3 ml/40 kg im daily,14,155,index,4101,4101,tiamulin
VTOP-MED-0092,SRC-0088,veterinary_medicine_table,Table A.2.,Tribrissen Injection 48%,80 mg trimethoprim + 80 mg sulfadiazine per ml,1 ml/32 kg im daily,28,155,index,4101,4101,trimethoprim
VTOP-MED-0093,SRC-0088,veterinary_medicine_table,Table A.2.,Trimacare 24% Injection,40 mg trimethoprim + 200 mg sulfadiazine per ml,1 ml/16 kg im daily,20,155,appendix_interpolated,4101,4101,trimethoprim
VTOP-MED-0094,SRC-0088,veterinary_medicine_table,Table A.2.,Trinacol Injection Solution for Injection,40 mg trimethoprim + 200 mg sulfadiazine per ml,1 ml/16 kg im daily,20,155,index,4101,4101,trimethoprim
VTOP-MED-0095,SRC-0088,veterinary_medicine_table,Table A.2.,Tylan 200,200 mg tylosin/ml,1 ml/20–100 kg im daily,9,155,index,4101,4101,tylosin
VTOP-MED-0096,SRC-0088,veterinary_medicine_table,Table A.2.,"Tyluvet 20% w/v, Solution for Injection",200 mg tylosin/ml,1 ml/20 kg im daily,46,155,appendix_interpolated,4101,4101,tylosin
VTOP-MED-0097,SRC-0088,veterinary_medicine_table,Table A.2.,Ultrapen LA,300 mg procaine benzylpenicillin/ml,1 ml/15 kg im as a single injection,10,155,index,4101,4101,
VTOP-MED-0098,SRC-0088,veterinary_medicine_table,Table A.2.,Vetmulin 162 mg/ml Solution for Injection for Pigs,162 mg tiamulin/ml,1 ml/20 kg im daily,5,136,index,4101,4101,tiamulin
VTOP-MED-0099,SRC-0088,veterinary_medicine_table,Table A.3.,Aivlosin 625 mg/g Granules for Use in Drinking Water,8.5 mg tylvalosin/g,2.125 mg/kg orally in feed for 7 days for treatment of enzootic pneumonia; 4.25 mg/kg orally in feed for 7 days for treatment of porcine proliferative enteropathy (PE) and swine dysentery,2,26,index,4105,4105,
VTOP-MED-0100,SRC-0088,veterinary_medicine_table,Table A.3.,Amoxinsol 50,50% w/w amoxicillin trihydrate,20 mg/kg in drinking water for 5 days,2,156,index,4105,4105,amoxicillin
VTOP-MED-0101,SRC-0088,veterinary_medicine_table,Table A.3.,Apralan Soluble Powder,1 g apramycin/sachet or 50 g apramycin/220 ml powder,7.5–12.5 mg/kg in drinking water daily for 7 days,14,156,index,4105,4105,
VTOP-MED-0102,SRC-0088,veterinary_medicine_table,Table A.3.,Chlorsol,50% w/w chlortetracycline,20 mg/kg in drinking water for 5 days,6,156,index,4105,4105,chlortetracycline
VTOP-MED-0103,SRC-0088,veterinary_medicine_table,Table A.3.,Coliscour Solution,2 MIU colistin/ml,0.25 ml/10 kg orally direct into the mouth or in drinking water,1,156,index,4105,4105,
VTOP-MED-0104,SRC-0088,veterinary_medicine_table,Table A.3.,Denagard 12.5% Oral Solution,125 mg tiamulin/ml,8.8 mg/kg daily in drinking water for 3–5 days,2,136,index,4105,4105,tiamulin
VTOP-MED-0105,SRC-0088,veterinary_medicine_table,Table A.3.,HydroDoxx,500 mg doxycycline/g,10 mg doxycycline/kg in drinking water for 5 days,6,156,index,4105,4105,doxycycline
VTOP-MED-0106,SRC-0088,veterinary_medicine_table,Table A.3.,Linco-Spectin 100 Soluble Powder,33.3 g lincomycin + 66.7 g spectinomycin per pack,10 mg/kg in drinking water for 7 days,0,156,index,4105,4105,lincomycin; spectinomycin
VTOP-MED-0107,SRC-0088,veterinary_medicine_table,Table A.3.,Lincocin Soluble Powder,400 g lincomycin/g,4.5 mg/kg in drinking water for a minimum of 5 days,0,156,index,4105,4105,lincomycin
VTOP-MED-0108,SRC-0088,veterinary_medicine_table,Table A.3.,Nuflor Drinking Water Concentrate for Swine,23 mg florfenicol/ml,10 mg/kg in drinking water for 5 days,20,26,index,4105,4105,florfenicol
VTOP-MED-0109,SRC-0088,veterinary_medicine_table,Table A.3.,Octacillin 697 mg/g Powder for Use in Pigs,697 mg amoxicillin/g,14 mg/kg in drinking water for 3–5 days,2,155,appendix_interpolated,4105,4105,amoxicillin
VTOP-MED-0110,SRC-0088,veterinary_medicine_table,Table A.3.,Pharmasin 100% w/w Water Soluble Granules,110 g tylosin/pot,20 mg/kg for enzootic pneumonia; 5–10 mg/kg for ileitis or porcine intestinal adenomatosis complex (PIA),1,26,index,4105,4105,tylosin
VTOP-MED-0111,SRC-0088,veterinary_medicine_table,Table A.3.,Pulmodox Granules for Oral Solution,500 mg doxycycline/g,12.5 mg/kg in drinking water for 4 days,4,156,index,4105,4105,doxycycline
VTOP-MED-0112,SRC-0088,veterinary_medicine_table,Table A.3.,Selectan Oral,23 mg florfenicol/g,10 mg/kg daily for 5 days,20,156,index,4105,4105,florfenicol
VTOP-MED-0113,SRC-0088,veterinary_medicine_table,Table A.3.,Soludox 500 mg/g Water Soluble Powder for Pigs,500 mg doxycycline/g,20 mg/kg in drinking water for 5 days,4,26,index,4105,4105,doxycycline
VTOP-MED-0114,SRC-0088,veterinary_medicine_table,Table A.3.,Soludox 500 mg/g Water Soluble Powder for Pigs and Chickens,500 mg doxycycline/g,20 mg/kg in drinking water for 5 days,4,26,index,4105,4105,doxycycline
VTOP-MED-0115,SRC-0088,veterinary_medicine_table,Table A.3.,Stabox 50% Oral Soluble Powder for Pigs,500 mg amoxicillin/g,20 mg/kg in liquid feed for 5 days,14,155,appendix_interpolated,4105,4105,amoxicillin
VTOP-MED-0116,SRC-0088,veterinary_medicine_table,Table A.3.,Terramycin Soluble Powder Concentrated 20%,200 g oxytetracycline/kg,10–30 mg/kg in drinking water daily for 3–5 days,7,156,index,4105,4105,oxytetracycline
VTOP-MED-0117,SRC-0088,veterinary_medicine_table,Table A.3.,Tetsol 800,800 g tetracycline hydrochloride/kg,40 mg/kg in drinking water for 5 days,6,156,index,4105,4105,
VTOP-MED-0118,SRC-0088,veterinary_medicine_table,Table A.3.,Tiamutin 12.5% Solution,125 mg tiamulin/ml,8.8 mg/kg daily in drinking water for 3–5 days,2,136,index,4105,4105,tiamulin
VTOP-MED-0119,SRC-0088,veterinary_medicine_table,Table A.3.,Tiamvet 12.5% Solution,125 mg tiamulin/ml,8.8 mg/kg daily in drinking water for 3–5 days,2,136,index,4105,4105,tiamulin
VTOP-MED-0120,SRC-0088,veterinary_medicine_table,Table A.3.,Tilmovet 100 mg/g Granules for Pigs,100 mg tilmicosin/g,160 mg/kg daily mixed in individual feed for 15 days,21,156,appendix_interpolated,4109,4109,
VTOP-MED-0121,SRC-0088,veterinary_medicine_table,Table A.3.,Tilmovet 250 mg/ml Concentrate for Oral Solution,250 mg tilmicosin/ml,6–8 ml/100 kg in water daily for 5 days,14,156,appendix_interpolated,4109,4109,
VTOP-MED-0122,SRC-0088,veterinary_medicine_table,Table A.3.,Tylan Soluble,100 g tylosine tartrate/bottle,25 mg/kg in drinking water for 3–10 days,0,157,index,4109,4109,
VTOP-MED-0123,SRC-0088,veterinary_medicine_table,Table A.3.,Vetmulin 125 mg/ml Oral Solution,125 mg tiamulin/ml,7 ml/100 kg daily for 5 days for the treatment of swine dysentery; 12–16 ml/110 kg daily for 5 days for the treatment of enzootic pneumonia,5,136,index,4109,4109,tiamulin
VTOP-MED-0124,SRC-0088,veterinary_medicine_table,Table A.3.,Vetmulin 450 mg/g Granules for Use in Drinking Water for Pigs,450 mg tiamulin hydrogen fumarate/g,8.8 mg/kg daily for 5 days to treat swine dysentery; 15–20 mg/kg daily for 5 days to treat enzootic pneumonia,5,26,index,4109,4109,tiamulin
