canonical_id,canonical_name,alias,language,alias_type,page_relpath
DIS-004,猪星状病毒感染,猪星状病毒,zh,synonym,wiki/diseases/DIS-004-astroviruses.md
DIS-004,猪星状病毒感染,星状病毒,zh,synonym,wiki/diseases/DIS-004-astroviruses.md
DIS-004,猪星状病毒感染,PoAstV,en,synonym,wiki/diseases/DIS-004-astroviruses.md
DIS-004,猪星状病毒感染,porcine astrovirus,en,synonym,wiki/diseases/DIS-004-astroviruses.md
DIS-004,猪星状病毒感染,astrovirus,en,synonym,wiki/diseases/DIS-004-astroviruses.md
DIS-005,猪布尼亚病毒相关感染,猪布尼亚病毒相关感染,zh,canonical,wiki/diseases/DIS-005-bunyaviruses-akabane-lumbo-oya-tahyna.md
DIS-005,猪布尼亚病毒相关感染,bunyaviruses akabane lumbo oya tahyna,en,synonym,wiki/diseases/DIS-005-bunyaviruses-akabane-lumbo-oya-tahyna.md
DIS-006,猪杯状病毒感染,猪杯状病毒感染,zh,canonical,wiki/diseases/DIS-006-caliciviruses-norovirus-sapovirus-vesicular-exanthema-virus.md
DIS-006,猪杯状病毒感染,caliciviruses norovirus sapovirus vesicular exanthema virus,en,synonym,wiki/diseases/DIS-006-caliciviruses-norovirus-sapovirus-vesicular-exanthema-virus.md
DIS-007,猪圆环病毒相关疾病,猪圆环病毒相关疾病,zh,canonical,wiki/diseases/DIS-007-circoviruses-pcvad.md
DIS-007,猪圆环病毒相关疾病,circoviruses pcvad,en,synonym,wiki/diseases/DIS-007-circoviruses-pcvad.md
DIS-008,猪流行性腹泻,猪流行性腹泻,zh,canonical,wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md
DIS-008,猪流行性腹泻,porcine epidemic diarrhea virus,en,synonym,wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md
DIS-008,猪流行性腹泻,PED,en,synonym,wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md
DIS-008,猪流行性腹泻,PEDV,en,synonym,wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md
DIS-008,猪流行性腹泻,porcine epidemic diarrhea,en,synonym,wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md
DIS-009,猪传染性胃肠炎,猪传染性胃肠炎,zh,canonical,wiki/diseases/DIS-009-transmissible-gastroenteritis-virus.md
DIS-009,猪传染性胃肠炎,transmissible gastroenteritis virus,en,synonym,wiki/diseases/DIS-009-transmissible-gastroenteritis-virus.md
DIS-009,猪传染性胃肠炎,TGE,en,synonym,wiki/diseases/DIS-009-transmissible-gastroenteritis-virus.md
DIS-009,猪传染性胃肠炎,TGEV,en,synonym,wiki/diseases/DIS-009-transmissible-gastroenteritis-virus.md
DIS-009,猪传染性胃肠炎,transmissible gastroenteritis,en,synonym,wiki/diseases/DIS-009-transmissible-gastroenteritis-virus.md
DIS-010,猪δ冠状病毒感染,猪δ冠状病毒感染,zh,canonical,wiki/diseases/DIS-010-porcine-deltacoronavirus.md
DIS-010,猪δ冠状病毒感染,porcine deltacoronavirus,en,synonym,wiki/diseases/DIS-010-porcine-deltacoronavirus.md
DIS-011,猪血凝性脑脊髓炎,猪血凝性脑脊髓炎,zh,canonical,wiki/diseases/DIS-011-hemagglutinating-encephalomyelitis-virus.md
DIS-011,猪血凝性脑脊髓炎,hemagglutinating encephalomyelitis virus,en,synonym,wiki/diseases/DIS-011-hemagglutinating-encephalomyelitis-virus.md
DIS-012,猪呼吸道冠状病毒感染,猪呼吸道冠状病毒感染,zh,canonical,wiki/diseases/DIS-012-porcine-respiratory-coronavirus.md
DIS-012,猪呼吸道冠状病毒感染,porcine respiratory coronavirus,en,synonym,wiki/diseases/DIS-012-porcine-respiratory-coronavirus.md
DIS-013,猪托罗病毒感染,猪托罗病毒感染,zh,canonical,wiki/diseases/DIS-013-porcine-torovirus.md
DIS-013,猪托罗病毒感染,porcine torovirus,en,synonym,wiki/diseases/DIS-013-porcine-torovirus.md
DIS-014,猪丝状病毒相关感染,猪丝状病毒相关感染,zh,canonical,wiki/diseases/DIS-014-filoviruses-reston-ebolavirus-zaire-ebolavirus.md
DIS-014,猪丝状病毒相关感染,filoviruses reston ebolavirus zaire ebolavirus,en,synonym,wiki/diseases/DIS-014-filoviruses-reston-ebolavirus-zaire-ebolavirus.md
DIS-015,猪乙型脑炎,猪乙型脑炎,zh,canonical,wiki/diseases/DIS-015-japanese-encephalitis-virus.md
DIS-015,猪乙型脑炎,japanese encephalitis virus,en,synonym,wiki/diseases/DIS-015-japanese-encephalitis-virus.md
DIS-016,猪西尼罗病毒相关感染,猪西尼罗病毒相关感染,zh,canonical,wiki/diseases/DIS-016-west-nile-virus-and-other-flaviviruses.md
DIS-016,猪西尼罗病毒相关感染,west nile virus and other flaviviruses,en,synonym,wiki/diseases/DIS-016-west-nile-virus-and-other-flaviviruses.md
DIS-017,猪戊型肝炎,猪戊型肝炎,zh,canonical,wiki/diseases/DIS-017-hepatitis-e-virus.md
DIS-017,猪戊型肝炎,hepatitis e virus,en,synonym,wiki/diseases/DIS-017-hepatitis-e-virus.md
DIS-018,猪伪狂犬病,猪伪狂犬病,zh,canonical,wiki/diseases/DIS-018-pseudorabies-aujeszky-disease.md
DIS-018,猪伪狂犬病,pseudorabies aujeszky disease,en,synonym,wiki/diseases/DIS-018-pseudorabies-aujeszky-disease.md
DIS-018,猪伪狂犬病,伪狂犬病,zh,synonym,wiki/diseases/DIS-018-pseudorabies-aujeszky-disease.md
DIS-018,猪伪狂犬病,奥耶斯基病,zh,synonym,wiki/diseases/DIS-018-pseudorabies-aujeszky-disease.md
DIS-018,猪伪狂犬病,Aujeszky's disease,en,synonym,wiki/diseases/DIS-018-pseudorabies-aujeszky-disease.md
DIS-018,猪伪狂犬病,pseudorabies,en,synonym,wiki/diseases/DIS-018-pseudorabies-aujeszky-disease.md
DIS-018,猪伪狂犬病,PRV,en,synonym,wiki/diseases/DIS-018-pseudorabies-aujeszky-disease.md
DIS-019,猪巨细胞病毒感染,猪巨细胞病毒感染,zh,canonical,wiki/diseases/DIS-019-porcine-cytomegalovirus.md
DIS-019,猪巨细胞病毒感染,porcine cytomegalovirus,en,synonym,wiki/diseases/DIS-019-porcine-cytomegalovirus.md
DIS-020,猪恶性卡他热相关感染,猪恶性卡他热相关感染,zh,canonical,wiki/diseases/DIS-020-malignant-catarrhal-fever-ovine-herpesvirus-2.md
DIS-020,猪恶性卡他热相关感染,malignant catarrhal fever ovine herpesvirus 2,en,synonym,wiki/diseases/DIS-020-malignant-catarrhal-fever-ovine-herpesvirus-2.md
DIS-021,猪流感,猪流感,zh,canonical,wiki/diseases/DIS-021-influenza-viruses.md
DIS-021,猪流感,influenza viruses,en,synonym,wiki/diseases/DIS-021-influenza-viruses.md
DIS-022,猪副黏病毒相关感染,猪副黏病毒相关感染,zh,canonical,wiki/diseases/DIS-022-paramyxoviruses.md
DIS-022,猪副黏病毒相关感染,paramyxoviruses,en,synonym,wiki/diseases/DIS-022-paramyxoviruses.md
DIS-023,猪细小病毒病,猪细小病毒病,zh,canonical,wiki/diseases/DIS-023-parvoviruses.md
DIS-023,猪细小病毒病,parvoviruses,en,synonym,wiki/diseases/DIS-023-parvoviruses.md
DIS-024,猪瘟,猪瘟,zh,canonical,wiki/diseases/DIS-024-classical-swine-fever-pestiviruses.md
DIS-024,猪瘟,classical swine fever pestiviruses,en,synonym,wiki/diseases/DIS-024-classical-swine-fever-pestiviruses.md
DIS-024,猪瘟,经典猪瘟,zh,synonym,wiki/diseases/DIS-024-classical-swine-fever-pestiviruses.md
DIS-024,猪瘟,CSF,en,synonym,wiki/diseases/DIS-024-classical-swine-fever-pestiviruses.md
DIS-024,猪瘟,classical swine fever,en,synonym,wiki/diseases/DIS-024-classical-swine-fever-pestiviruses.md
DIS-025,非典型猪瘟病毒感染,非典型猪瘟病毒感染,zh,canonical,wiki/diseases/DIS-025-atypical-porcine-pestivirus-pestivirus-infections.md
DIS-025,非典型猪瘟病毒感染,atypical porcine pestivirus pestivirus infections,en,synonym,wiki/diseases/DIS-025-atypical-porcine-pestivirus-pestivirus-infections.md
DIS-026,猪口蹄疫,猪口蹄疫,zh,canonical,wiki/diseases/DIS-026-foot-and-mouth-disease-picornaviruses.md
DIS-026,猪口蹄疫,foot and mouth disease picornaviruses,en,synonym,wiki/diseases/DIS-026-foot-and-mouth-disease-picornaviruses.md
DIS-026,猪口蹄疫,口蹄疫,zh,synonym,wiki/diseases/DIS-026-foot-and-mouth-disease-picornaviruses.md
DIS-026,猪口蹄疫,FMD,en,synonym,wiki/diseases/DIS-026-foot-and-mouth-disease-picornaviruses.md
DIS-026,猪口蹄疫,foot and mouth disease,en,synonym,wiki/diseases/DIS-026-foot-and-mouth-disease-picornaviruses.md
DIS-027,塞内卡病毒A感染,塞内卡病毒A感染,zh,canonical,wiki/diseases/DIS-027-senecavirus-a-picornaviruses.md
DIS-027,塞内卡病毒A感染,senecavirus a picornaviruses,en,synonym,wiki/diseases/DIS-027-senecavirus-a-picornaviruses.md
DIS-028,猪繁殖与呼吸综合征,猪繁殖与呼吸综合征,zh,canonical,wiki/diseases/DIS-028-porcine-reproductive-and-respiratory-syndrome-viruses.md
DIS-028,猪繁殖与呼吸综合征,porcine reproductive and respiratory syndrome viruses,en,synonym,wiki/diseases/DIS-028-porcine-reproductive-and-respiratory-syndrome-viruses.md
DIS-028,猪繁殖与呼吸综合征,PRRS,en,synonym,wiki/diseases/DIS-028-porcine-reproductive-and-respiratory-syndrome-viruses.md
DIS-028,猪繁殖与呼吸综合征,PRRSV,en,synonym,wiki/diseases/DIS-028-porcine-reproductive-and-respiratory-syndrome-viruses.md
DIS-028,猪繁殖与呼吸综合征,蓝耳病,zh,synonym,wiki/diseases/DIS-028-porcine-reproductive-and-respiratory-syndrome-viruses.md
DIS-029,猪痘,猪痘,zh,canonical,wiki/diseases/DIS-029-swinepox-virus.md
DIS-029,猪痘,swinepox virus,en,synonym,wiki/diseases/DIS-029-swinepox-virus.md
DIS-030,猪轮状病毒病,猪轮状病毒病,zh,canonical,wiki/diseases/DIS-030-rotaviruses-and-reoviruses.md
DIS-030,猪轮状病毒病,rotaviruses and reoviruses,en,synonym,wiki/diseases/DIS-030-rotaviruses-and-reoviruses.md
DIS-031,猪反转录病毒相关感染,猪反转录病毒相关感染,zh,canonical,wiki/diseases/DIS-031-retroviruses.md
DIS-031,猪反转录病毒相关感染,retroviruses,en,synonym,wiki/diseases/DIS-031-retroviruses.md
DIS-032,猪狂犬病风险,猪狂犬病风险,zh,canonical,wiki/diseases/DIS-032-rabies-virus.md
DIS-032,猪狂犬病风险,rabies virus,en,synonym,wiki/diseases/DIS-032-rabies-virus.md
DIS-033,猪水疱性口炎,猪水疱性口炎,zh,canonical,wiki/diseases/DIS-033-vesicular-stomatitis-viruses.md
DIS-033,猪水疱性口炎,vesicular stomatitis viruses,en,synonym,wiki/diseases/DIS-033-vesicular-stomatitis-viruses.md
DIS-034,猪甲病毒相关感染,猪甲病毒相关感染,zh,canonical,wiki/diseases/DIS-034-togaviruses-getah-sagiyama-ross-river-eee.md
DIS-034,猪甲病毒相关感染,togaviruses getah sagiyama ross river eee,en,synonym,wiki/diseases/DIS-034-togaviruses-getah-sagiyama-ross-river-eee.md
DIS-035,猪胸膜肺炎,猪胸膜肺炎,zh,canonical,wiki/diseases/DIS-035-actinobacillus-pleuropneumoniae-pleuropneumonia.md
DIS-035,猪胸膜肺炎,actinobacillus pleuropneumoniae pleuropneumonia,en,synonym,wiki/diseases/DIS-035-actinobacillus-pleuropneumoniae-pleuropneumonia.md
DIS-036,猪放线杆菌败血症,猪放线杆菌败血症,zh,canonical,wiki/diseases/DIS-036-actinobacillus-suis-septicemia-pleuropneumonia.md
DIS-036,猪放线杆菌败血症,actinobacillus suis septicemia pleuropneumonia,en,synonym,wiki/diseases/DIS-036-actinobacillus-suis-septicemia-pleuropneumonia.md
DIS-037,猪萎缩性鼻炎,猪萎缩性鼻炎,zh,canonical,wiki/diseases/DIS-037-bordetella-bronchiseptica-nonprogressive-atrophic-rhinitis.md
DIS-037,猪萎缩性鼻炎,bordetella bronchiseptica nonprogressive atrophic rhinitis,en,synonym,wiki/diseases/DIS-037-bordetella-bronchiseptica-nonprogressive-atrophic-rhinitis.md
DIS-038,猪布鲁氏菌病,猪布鲁氏菌病,zh,canonical,wiki/diseases/DIS-038-brucella-suis-brucellosis.md
DIS-038,猪布鲁氏菌病,brucella suis brucellosis,en,synonym,wiki/diseases/DIS-038-brucella-suis-brucellosis.md
DIS-038,猪布鲁氏菌病,布鲁氏菌病,zh,synonym,wiki/diseases/DIS-038-brucella-suis-brucellosis.md
DIS-038,猪布鲁氏菌病,Brucella suis,en,synonym,wiki/diseases/DIS-038-brucella-suis-brucellosis.md
DIS-038,猪布鲁氏菌病,swine brucellosis,en,synonym,wiki/diseases/DIS-038-brucella-suis-brucellosis.md
DIS-039,仔猪梭菌性肠炎,仔猪梭菌性肠炎,zh,canonical,wiki/diseases/DIS-039-clostridial-diseases.md
DIS-039,仔猪梭菌性肠炎,clostridial diseases,en,synonym,wiki/diseases/DIS-039-clostridial-diseases.md
DIS-040,猪大肠杆菌病,猪大肠杆菌病,zh,canonical,wiki/diseases/DIS-040-colibacillosis.md
DIS-040,猪大肠杆菌病,colibacillosis,en,synonym,wiki/diseases/DIS-040-colibacillosis.md
DIS-041,仔猪黄白痢,仔猪黄白痢,zh,canonical,wiki/diseases/DIS-041-neonatal-post-weaning-colibacillosis.md
DIS-041,仔猪黄白痢,neonatal post weaning colibacillosis,en,synonym,wiki/diseases/DIS-041-neonatal-post-weaning-colibacillosis.md
DIS-042,仔猪水肿病,仔猪水肿病,zh,canonical,wiki/diseases/DIS-042-edema-disease-e-coli.md
DIS-042,仔猪水肿病,edema disease e coli,en,synonym,wiki/diseases/DIS-042-edema-disease-e-coli.md
DIS-043,猪丹毒,猪丹毒,zh,canonical,wiki/diseases/DIS-043-erysipelas.md
DIS-043,猪丹毒,erysipelas,en,synonym,wiki/diseases/DIS-043-erysipelas.md
DIS-044,副猪嗜血杆菌病,副猪嗜血杆菌病,zh,canonical,wiki/diseases/DIS-044-gl-sser-s-disease.md
DIS-044,副猪嗜血杆菌病,gl sser s disease,en,synonym,wiki/diseases/DIS-044-gl-sser-s-disease.md
DIS-045,猪钩端螺旋体病,猪钩端螺旋体病,zh,canonical,wiki/diseases/DIS-045-leptospirosis.md
DIS-045,猪钩端螺旋体病,leptospirosis,en,synonym,wiki/diseases/DIS-045-leptospirosis.md
DIS-046,猪支原体肺炎,猪支原体肺炎,zh,canonical,wiki/diseases/DIS-046-mycoplasmosis-enzootic-pneumonia.md
DIS-046,猪支原体肺炎,mycoplasmosis enzootic pneumonia,en,synonym,wiki/diseases/DIS-046-mycoplasmosis-enzootic-pneumonia.md
DIS-047,猪多杀性巴氏杆菌病,猪多杀性巴氏杆菌病,zh,canonical,wiki/diseases/DIS-047-pasteurellosis.md
DIS-047,猪多杀性巴氏杆菌病,pasteurellosis,en,synonym,wiki/diseases/DIS-047-pasteurellosis.md
DIS-048,猪增生性肠炎,猪增生性肠炎,zh,canonical,wiki/diseases/DIS-048-proliferative-enteropathy-lawsonia-intracellularis.md
DIS-048,猪增生性肠炎,proliferative enteropathy lawsonia intracellularis,en,synonym,wiki/diseases/DIS-048-proliferative-enteropathy-lawsonia-intracellularis.md
DIS-049,猪沙门氏菌病,猪沙门氏菌病,zh,canonical,wiki/diseases/DIS-049-salmonellosis.md
DIS-049,猪沙门氏菌病,salmonellosis,en,synonym,wiki/diseases/DIS-049-salmonellosis.md
DIS-050,猪葡萄球菌病,猪葡萄球菌病,zh,canonical,wiki/diseases/DIS-050-staphylococcosis-exudative-epidermitis.md
DIS-050,猪葡萄球菌病,staphylococcosis exudative epidermitis,en,synonym,wiki/diseases/DIS-050-staphylococcosis-exudative-epidermitis.md
DIS-051,猪链球菌病,猪链球菌病,zh,canonical,wiki/diseases/DIS-051-streptococcosis-streptococcus-suis.md
DIS-051,猪链球菌病,streptococcosis streptococcus suis,en,synonym,wiki/diseases/DIS-051-streptococcosis-streptococcus-suis.md
DIS-052,猪痢疾,猪痢疾,zh,canonical,wiki/diseases/DIS-052-swine-dysentery-brachyspira-hyodysenteriae.md
DIS-052,猪痢疾,swine dysentery brachyspira hyodysenteriae,en,synonym,wiki/diseases/DIS-052-swine-dysentery-brachyspira-hyodysenteriae.md
DIS-052,猪痢疾,swine dysentery,en,synonym,wiki/diseases/DIS-052-swine-dysentery-brachyspira-hyodysenteriae.md
DIS-052,猪痢疾,Brachyspira hyodysenteriae,en,synonym,wiki/diseases/DIS-052-swine-dysentery-brachyspira-hyodysenteriae.md
DIS-053,猪结核病,猪结核病,zh,canonical,wiki/diseases/DIS-053-tuberculosis.md
DIS-053,猪结核病,tuberculosis,en,synonym,wiki/diseases/DIS-053-tuberculosis.md
DIS-054,猪杂项细菌感染,猪杂项细菌感染,zh,canonical,wiki/diseases/DIS-054-miscellaneous-bacterial-infections.md
DIS-054,猪杂项细菌感染,miscellaneous bacterial infections,en,synonym,wiki/diseases/DIS-054-miscellaneous-bacterial-infections.md
DIS-055,猪疥螨病,猪疥螨病,zh,canonical,wiki/diseases/DIS-055-external-parasites-mange.md
DIS-055,猪疥螨病,external parasites mange,en,synonym,wiki/diseases/DIS-055-external-parasites-mange.md
DIS-056,猪虱病,猪虱病,zh,canonical,wiki/diseases/DIS-056-external-parasites-lice.md
DIS-056,猪虱病,external parasites lice,en,synonym,wiki/diseases/DIS-056-external-parasites-lice.md
DIS-057,猪球虫病,猪球虫病,zh,canonical,wiki/diseases/DIS-057-coccidia-and-other-protozoa.md
DIS-057,猪球虫病,coccidia and other protozoa,en,synonym,wiki/diseases/DIS-057-coccidia-and-other-protozoa.md
DIS-058,猪弓形虫病,猪弓形虫病,zh,canonical,wiki/diseases/DIS-058-toxoplasmosis-protozoa.md
DIS-058,猪弓形虫病,toxoplasmosis protozoa,en,synonym,wiki/diseases/DIS-058-toxoplasmosis-protozoa.md
DIS-059,猪隐孢子虫病,猪隐孢子虫病,zh,canonical,wiki/diseases/DIS-059-cryptosporidiosis-protozoa.md
DIS-059,猪隐孢子虫病,cryptosporidiosis protozoa,en,synonym,wiki/diseases/DIS-059-cryptosporidiosis-protozoa.md
DIS-060,猪蛔虫病,猪蛔虫病,zh,canonical,wiki/diseases/DIS-060-ascaris-suum-internal-parasites.md
DIS-060,猪蛔虫病,ascaris suum internal parasites,en,synonym,wiki/diseases/DIS-060-ascaris-suum-internal-parasites.md
DIS-061,猪鞭虫病,猪鞭虫病,zh,canonical,wiki/diseases/DIS-061-trichuris-suis-internal-parasites.md
DIS-061,猪鞭虫病,trichuris suis internal parasites,en,synonym,wiki/diseases/DIS-061-trichuris-suis-internal-parasites.md
DIS-062,猪类圆线虫病,猪类圆线虫病,zh,canonical,wiki/diseases/DIS-062-strongyloides-internal-parasites.md
DIS-062,猪类圆线虫病,strongyloides internal parasites,en,synonym,wiki/diseases/DIS-062-strongyloides-internal-parasites.md
DIS-063,猪后圆线虫病,猪后圆线虫病,zh,canonical,wiki/diseases/DIS-063-metastrongylus-lungworms.md
DIS-063,猪后圆线虫病,metastrongylus lungworms,en,synonym,wiki/diseases/DIS-063-metastrongylus-lungworms.md
DIS-064,猪肾虫病,猪肾虫病,zh,canonical,wiki/diseases/DIS-064-stephanurus-dentatus-kidney-worm.md
DIS-064,猪肾虫病,stephanurus dentatus kidney worm,en,synonym,wiki/diseases/DIS-064-stephanurus-dentatus-kidney-worm.md
DIS-065,猪营养缺乏与过量综合征,猪营养缺乏与过量综合征,zh,canonical,wiki/diseases/DIS-065-nutrient-deficiencies-and-excesses.md
DIS-065,猪营养缺乏与过量综合征,nutrient deficiencies and excesses,en,synonym,wiki/diseases/DIS-065-nutrient-deficiencies-and-excesses.md
DIS-066,猪霉菌毒素中毒,猪霉菌毒素中毒,zh,canonical,wiki/diseases/DIS-066-mycotoxins-in-grains-and-feeds.md
DIS-066,猪霉菌毒素中毒,mycotoxins in grains and feeds,en,synonym,wiki/diseases/DIS-066-mycotoxins-in-grains-and-feeds.md
DIS-067,猪黄曲霉毒素中毒,猪黄曲霉毒素中毒,zh,canonical,wiki/diseases/DIS-067-aflatoxin-toxicosis.md
DIS-067,猪黄曲霉毒素中毒,aflatoxin toxicosis,en,synonym,wiki/diseases/DIS-067-aflatoxin-toxicosis.md
DIS-068,猪呕吐毒素/DON中毒,猪呕吐毒素/DON中毒,zh,canonical,wiki/diseases/DIS-068-don-trichothecene-toxicosis.md
DIS-068,猪呕吐毒素/DON中毒,don trichothecene toxicosis,en,synonym,wiki/diseases/DIS-068-don-trichothecene-toxicosis.md
DIS-069,猪玉米赤霉烯酮中毒,猪玉米赤霉烯酮中毒,zh,canonical,wiki/diseases/DIS-069-zearalenone-toxicosis.md
DIS-069,猪玉米赤霉烯酮中毒,zearalenone toxicosis,en,synonym,wiki/diseases/DIS-069-zearalenone-toxicosis.md
DIS-070,猪富马毒素中毒,猪富马毒素中毒,zh,canonical,wiki/diseases/DIS-070-fumonisin-toxicosis.md
DIS-070,猪富马毒素中毒,fumonisin toxicosis,en,synonym,wiki/diseases/DIS-070-fumonisin-toxicosis.md
DIS-071,猪矿物质与化学物中毒,猪矿物质与化学物中毒,zh,canonical,wiki/diseases/DIS-071-toxic-minerals-chemicals-plants-and-gases.md
DIS-071,猪矿物质与化学物中毒,toxic minerals chemicals plants and gases,en,synonym,wiki/diseases/DIS-071-toxic-minerals-chemicals-plants-and-gases.md
DIS-072,猪亚硝酸盐中毒,猪亚硝酸盐中毒,zh,canonical,wiki/diseases/DIS-072-nitrite-toxicosis.md
DIS-072,猪亚硝酸盐中毒,nitrite toxicosis,en,synonym,wiki/diseases/DIS-072-nitrite-toxicosis.md
DIS-073,猪有毒气体与通风失败损伤,猪有毒气体与通风失败损伤,zh,canonical,wiki/diseases/DIS-073-toxic-gases-ventilation-failure.md
DIS-073,猪有毒气体与通风失败损伤,toxic gases ventilation failure,en,synonym,wiki/diseases/DIS-073-toxic-gases-ventilation-failure.md
DIS-035,猪传染性胸膜肺炎,猪传染性胸膜肺炎,zh,manual_synonym_SRC-0091_recovered,wiki/diseases/DIS-035-actinobacillus-pleuropneumoniae-pleuropneumonia.md
DIS-035,猪传染性胸膜肺炎,胸膜肺炎,zh,manual_synonym_SRC-0091_recovered,wiki/diseases/DIS-035-actinobacillus-pleuropneumoniae-pleuropneumonia.md
DIS-037,猪萎缩性鼻炎,猪萎缩性鼻炎,zh,manual_synonym_SRC-0091_recovered,wiki/diseases/DIS-037-bordetella-bronchiseptica-nonprogressive-atrophic-rhinitis.md
DIS-037,猪萎缩性鼻炎,传染性萎缩性鼻炎,zh,manual_synonym_SRC-0091_recovered,wiki/diseases/DIS-037-bordetella-bronchiseptica-nonprogressive-atrophic-rhinitis.md
DIS-037,猪萎缩性鼻炎,支气管败血波氏杆菌病,zh,manual_synonym_SRC-0091_recovered,wiki/diseases/DIS-037-bordetella-bronchiseptica-nonprogressive-atrophic-rhinitis.md
DIS-040,猪大肠杆菌病,猪大肠杆菌病,zh,manual_synonym_SRC-0091_recovered,wiki/diseases/DIS-040-colibacillosis.md
DIS-040,猪大肠杆菌病,仔猪大肠杆菌病,zh,manual_synonym_SRC-0091_recovered,wiki/diseases/DIS-040-colibacillosis.md
DIS-040,猪大肠杆菌病,肠毒素性大肠杆菌病,zh,manual_synonym_SRC-0091_recovered,wiki/diseases/DIS-040-colibacillosis.md
DIS-041,仔猪黄白痢,仔猪黄白痢,zh,manual_synonym_SRC-0091_recovered,wiki/diseases/DIS-041-neonatal-post-weaning-colibacillosis.md
DIS-041,仔猪黄白痢,黄痢,zh,manual_synonym_SRC-0091_recovered,wiki/diseases/DIS-041-neonatal-post-weaning-colibacillosis.md
DIS-042,猪水肿病,猪水肿病,zh,manual_synonym_SRC-0091_recovered,wiki/diseases/DIS-042-edema-disease-e-coli.md
DIS-042,猪水肿病,水肿病,zh,manual_synonym_SRC-0091_recovered,wiki/diseases/DIS-042-edema-disease-e-coli.md
DIS-042,猪水肿病,断奶仔猪水肿病,zh,manual_synonym_SRC-0091_recovered,wiki/diseases/DIS-042-edema-disease-e-coli.md
DIS-043,猪丹毒,猪丹毒,zh,manual_synonym_SRC-0091_recovered,wiki/diseases/DIS-043-erysipelas.md
DIS-043,猪丹毒,丹毒,zh,manual_synonym_SRC-0091_recovered,wiki/diseases/DIS-043-erysipelas.md
DIS-043,猪丹毒,猪丹毒杆菌病,zh,manual_synonym_SRC-0091_recovered,wiki/diseases/DIS-043-erysipelas.md
DIS-045,猪钩端螺旋体病,猪钩端螺旋体病,zh,manual_synonym_SRC-0091_recovered,wiki/diseases/DIS-045-leptospirosis.md
DIS-045,猪钩端螺旋体病,钩端螺旋体病,zh,manual_synonym_SRC-0091_recovered,wiki/diseases/DIS-045-leptospirosis.md
DIS-045,猪钩端螺旋体病,钩体病,zh,manual_synonym_SRC-0091_recovered,wiki/diseases/DIS-045-leptospirosis.md
DIS-049,猪沙门氏菌病,猪沙门氏菌病,zh,manual_synonym_SRC-0091_recovered,wiki/diseases/DIS-049-salmonellosis.md
DIS-049,猪沙门氏菌病,仔猪副伤寒,zh,manual_synonym_SRC-0091_recovered,wiki/diseases/DIS-049-salmonellosis.md
DIS-049,猪沙门氏菌病,沙门菌病,zh,manual_synonym_SRC-0091_recovered,wiki/diseases/DIS-049-salmonellosis.md
DIS-051,猪链球菌病,猪链球菌病,zh,manual_synonym_SRC-0091_recovered,wiki/diseases/DIS-051-streptococcosis-streptococcus-suis.md
