drug_mention,fact_id,source_id,page,line_start,line_end,drug_page,disease_page,chapter,heading
地塞米松,SFDUT2-TX-0043,SRC-0090,201,169,169,DRUG-066-dexamethasone.md,DIS-044-gl-sser-s-disease.md,第八章 猪细菌性传染病,6. 治疗
维生素,SFDUT2-TX-0043,SRC-0090,201,169,169,,DIS-044-gl-sser-s-disease.md,第八章 猪细菌性传染病,6. 治疗
头孢噻呋,SFDUT2-TX-0044,SRC-0090,201,170,170,DRUG-011-ceftiofur.md,DIS-044-gl-sser-s-disease.md,第八章 猪细菌性传染病,6. 治疗
庆大霉素,SFDUT2-TX-0045,SRC-0090,201,171,171,DRUG-023-gentamicin.md,DIS-044-gl-sser-s-disease.md,第八章 猪细菌性传染病,6. 治疗
氧氟沙星,SFDUT2-TX-0045,SRC-0090,201,171,171,,DIS-044-gl-sser-s-disease.md,第八章 猪细菌性传染病,6. 治疗
达氟沙星,SFDUT2-TX-0045,SRC-0090,201,171,171,DRUG-051-danofloxacin-marbofloxacin.md,DIS-044-gl-sser-s-disease.md,第八章 猪细菌性传染病,6. 治疗
青霉素,SFDUT2-TX-0046,SRC-0090,201,172,172,DRUG-009-penicillin-g.md,DIS-044-gl-sser-s-disease.md,第八章 猪细菌性传染病,6. 治疗
氨苄西林,SFDUT2-TX-0046,SRC-0090,201,172,172,DRUG-042-ampicillin.md,DIS-044-gl-sser-s-disease.md,第八章 猪细菌性传染病,6. 治疗
阿莫西林,SFDUT2-TX-0046,SRC-0090,201,172,172,DRUG-010-amoxicillin.md,DIS-044-gl-sser-s-disease.md,第八章 猪细菌性传染病,6. 治疗
舒巴坦,SFDUT2-TX-0046,SRC-0090,201,172,172,,DIS-044-gl-sser-s-disease.md,第八章 猪细菌性传染病,6. 治疗
氟苯尼考,SFDUT2-TX-0048,SRC-0090,201,175,175,DRUG-012-florfenicol.md,DIS-044-gl-sser-s-disease.md,第八章 猪细菌性传染病,6. 治疗
磺胺,SFDUT2-TX-0049,SRC-0090,201,176,176,DRUG-034-sulfonamides.md,DIS-044-gl-sser-s-disease.md,第八章 猪细菌性传染病,6. 治疗
阿莫西林,SFDUT2-TX-0054,SRC-0090,202,191,191,DRUG-010-amoxicillin.md,DIS-044-gl-sser-s-disease.md,第八章 猪细菌性传染病,7. 综合防控措施
强力霉素,SFDUT2-TX-0054,SRC-0090,202,191,191,DRUG-021-doxycycline.md,DIS-044-gl-sser-s-disease.md,第八章 猪细菌性传染病,7. 综合防控措施
替米考星,SFDUT2-TX-0055,SRC-0090,202,196,196,DRUG-045-tilmicosin.md,DIS-044-gl-sser-s-disease.md,第八章 猪细菌性传染病,7. 综合防控措施
氟苯尼考,SFDUT2-TX-0055,SRC-0090,202,196,196,DRUG-012-florfenicol.md,DIS-044-gl-sser-s-disease.md,第八章 猪细菌性传染病,7. 综合防控措施
青霉素,SFDUT2-TX-0066,SRC-0090,209,287,287,DRUG-009-penicillin-g.md,DIS-051-streptococcosis-streptococcus-suis.md,第八章 猪细菌性传染病,（1）治疗原则
磺胺,SFDUT2-TX-0066,SRC-0090,209,287,287,DRUG-034-sulfonamides.md,DIS-051-streptococcosis-streptococcus-suis.md,第八章 猪细菌性传染病,（1）治疗原则
地塞米松,SFDUT2-TX-0067,SRC-0090,209,290,290,DRUG-066-dexamethasone.md,DIS-051-streptococcosis-streptococcus-suis.md,第八章 猪细菌性传染病,（1）治疗原则
安乃近,SFDUT2-TX-0068,SRC-0090,209,292,292,DRUG-029-nsaids.md,DIS-051-streptococcosis-streptococcus-suis.md,第八章 猪细菌性传染病,（1）治疗原则
青霉素,SFDUT2-TX-0070,SRC-0090,210,298,298,DRUG-009-penicillin-g.md,DIS-051-streptococcosis-streptococcus-suis.md,第八章 猪细菌性传染病,（1）治疗原则
氨苄西林,SFDUT2-TX-0070,SRC-0090,210,298,298,DRUG-042-ampicillin.md,DIS-051-streptococcosis-streptococcus-suis.md,第八章 猪细菌性传染病,（1）治疗原则
阿莫西林,SFDUT2-TX-0070,SRC-0090,210,298,298,DRUG-010-amoxicillin.md,DIS-051-streptococcosis-streptococcus-suis.md,第八章 猪细菌性传染病,（1）治疗原则
卡那霉素,SFDUT2-TX-0070,SRC-0090,210,298,298,,DIS-051-streptococcosis-streptococcus-suis.md,第八章 猪细菌性传染病,（1）治疗原则
庆大霉素,SFDUT2-TX-0070,SRC-0090,210,298,298,DRUG-023-gentamicin.md,DIS-051-streptococcosis-streptococcus-suis.md,第八章 猪细菌性传染病,（1）治疗原则
阿米卡星,SFDUT2-TX-0070,SRC-0090,210,298,298,,DIS-051-streptococcosis-streptococcus-suis.md,第八章 猪细菌性传染病,（1）治疗原则
头孢噻呋,SFDUT2-TX-0071,SRC-0090,210,299,299,DRUG-011-ceftiofur.md,DIS-051-streptococcosis-streptococcus-suis.md,第八章 猪细菌性传染病,（1）治疗原则
氟苯尼考,SFDUT2-TX-0072,SRC-0090,210,300,300,DRUG-012-florfenicol.md,DIS-051-streptococcosis-streptococcus-suis.md,第八章 猪细菌性传染病,（1）治疗原则
氧氟沙星,SFDUT2-TX-0073,SRC-0090,210,301,301,,DIS-051-streptococcosis-streptococcus-suis.md,第八章 猪细菌性传染病,（1）治疗原则
环丙沙星,SFDUT2-TX-0073,SRC-0090,210,301,301,,DIS-051-streptococcosis-streptococcus-suis.md,第八章 猪细菌性传染病,（1）治疗原则
恩诺沙星,SFDUT2-TX-0073,SRC-0090,210,301,301,DRUG-018-enrofloxacin.md,DIS-051-streptococcosis-streptococcus-suis.md,第八章 猪细菌性传染病,（1）治疗原则
沙拉沙星,SFDUT2-TX-0073,SRC-0090,210,301,301,,DIS-051-streptococcosis-streptococcus-suis.md,第八章 猪细菌性传染病,（1）治疗原则
达氟沙星,SFDUT2-TX-0073,SRC-0090,210,301,301,DRUG-051-danofloxacin-marbofloxacin.md,DIS-051-streptococcosis-streptococcus-suis.md,第八章 猪细菌性传染病,（1）治疗原则
二氟沙星,SFDUT2-TX-0073,SRC-0090,210,301,301,DRUG-051-danofloxacin-marbofloxacin.md,DIS-051-streptococcosis-streptococcus-suis.md,第八章 猪细菌性传染病,（1）治疗原则
地塞米松,SFDUT2-TX-0074,SRC-0090,210,303,303,DRUG-066-dexamethasone.md,DIS-051-streptococcosis-streptococcus-suis.md,第八章 猪细菌性传染病,（1）治疗原则
链霉素,SFDUT2-TX-0075,SRC-0090,210,309,309,,DIS-051-streptococcosis-streptococcus-suis.md,第八章 猪细菌性传染病,（1）治疗原则
卡那霉素,SFDUT2-TX-0075,SRC-0090,210,309,309,,DIS-051-streptococcosis-streptococcus-suis.md,第八章 猪细菌性传染病,（1）治疗原则
四环素,SFDUT2-TX-0075,SRC-0090,210,309,309,DRUG-030-tetracyclines.md,DIS-051-streptococcosis-streptococcus-suis.md,第八章 猪细菌性传染病,（1）治疗原则
林可霉素,SFDUT2-TX-0075,SRC-0090,210,309,309,DRUG-014-lincomycin.md,DIS-051-streptococcosis-streptococcus-suis.md,第八章 猪细菌性传染病,（1）治疗原则
阿莫西林,SFDUT2-TX-0077,SRC-0090,210,316,316,DRUG-010-amoxicillin.md,DIS-051-streptococcosis-streptococcus-suis.md,第八章 猪细菌性传染病,8. 防制
阿莫西林,SFDUT2-TX-0084,SRC-0090,216,379,379,DRUG-010-amoxicillin.md,DIS-035-actinobacillus-pleuropneumoniae-pleuropneumonia.md,第八章 猪细菌性传染病,6. 治疗
头孢噻呋,SFDUT2-TX-0084,SRC-0090,216,379,379,DRUG-011-ceftiofur.md,DIS-035-actinobacillus-pleuropneumoniae-pleuropneumonia.md,第八章 猪细菌性传染病,6. 治疗
庆大霉素,SFDUT2-TX-0084,SRC-0090,216,379,379,DRUG-023-gentamicin.md,DIS-035-actinobacillus-pleuropneumoniae-pleuropneumonia.md,第八章 猪细菌性传染病,6. 治疗
强力霉素,SFDUT2-TX-0084,SRC-0090,216,379,379,DRUG-021-doxycycline.md,DIS-035-actinobacillus-pleuropneumoniae-pleuropneumonia.md,第八章 猪细菌性传染病,6. 治疗
氟苯尼考,SFDUT2-TX-0084,SRC-0090,216,379,379,DRUG-012-florfenicol.md,DIS-035-actinobacillus-pleuropneumoniae-pleuropneumonia.md,第八章 猪细菌性传染病,6. 治疗
泰妙菌素,SFDUT2-TX-0084,SRC-0090,216,379,379,DRUG-013-tiamulin.md,DIS-035-actinobacillus-pleuropneumoniae-pleuropneumonia.md,第八章 猪细菌性传染病,6. 治疗
磺胺,SFDUT2-TX-0084,SRC-0090,216,379,379,DRUG-034-sulfonamides.md,DIS-035-actinobacillus-pleuropneumoniae-pleuropneumonia.md,第八章 猪细菌性传染病,6. 治疗
恩诺沙星,SFDUT2-TX-0084,SRC-0090,216,379,379,DRUG-018-enrofloxacin.md,DIS-035-actinobacillus-pleuropneumoniae-pleuropneumonia.md,第八章 猪细菌性传染病,6. 治疗
头孢噻呋,SFDUT2-TX-0085,SRC-0090,216,380,380,DRUG-011-ceftiofur.md,DIS-035-actinobacillus-pleuropneumoniae-pleuropneumonia.md,第八章 猪细菌性传染病,6. 治疗
氟苯尼考,SFDUT2-TX-0086,SRC-0090,216,381,381,DRUG-012-florfenicol.md,DIS-035-actinobacillus-pleuropneumoniae-pleuropneumonia.md,第八章 猪细菌性传染病,6. 治疗
多西环素,SFDUT2-TX-0087,SRC-0090,216,382,382,DRUG-021-doxycycline.md,DIS-035-actinobacillus-pleuropneumoniae-pleuropneumonia.md,第八章 猪细菌性传染病,6. 治疗
强力霉素,SFDUT2-TX-0087,SRC-0090,216,382,382,DRUG-021-doxycycline.md,DIS-035-actinobacillus-pleuropneumoniae-pleuropneumonia.md,第八章 猪细菌性传染病,6. 治疗
阿莫西林,SFDUT2-TX-0088,SRC-0090,216,383,383,DRUG-010-amoxicillin.md,DIS-035-actinobacillus-pleuropneumoniae-pleuropneumonia.md,第八章 猪细菌性传染病,6. 治疗
克拉维酸,SFDUT2-TX-0088,SRC-0090,216,383,383,,DIS-035-actinobacillus-pleuropneumoniae-pleuropneumonia.md,第八章 猪细菌性传染病,6. 治疗
庆大霉素,SFDUT2-TX-0088,SRC-0090,216,383,383,DRUG-023-gentamicin.md,DIS-035-actinobacillus-pleuropneumoniae-pleuropneumonia.md,第八章 猪细菌性传染病,6. 治疗
恩诺沙星,SFDUT2-TX-0089,SRC-0090,216,384,384,DRUG-018-enrofloxacin.md,DIS-035-actinobacillus-pleuropneumoniae-pleuropneumonia.md,第八章 猪细菌性传染病,6. 治疗
替米考星,SFDUT2-TX-0090,SRC-0090,216,388,388,DRUG-045-tilmicosin.md,DIS-035-actinobacillus-pleuropneumoniae-pleuropneumonia.md,第八章 猪细菌性传染病,6. 治疗
氨苄西林,SFDUT2-TX-0091,SRC-0090,217,390,390,DRUG-042-ampicillin.md,DIS-035-actinobacillus-pleuropneumoniae-pleuropneumonia.md,第八章 猪细菌性传染病,6. 治疗
链霉素,SFDUT2-TX-0091,SRC-0090,217,390,390,,DIS-035-actinobacillus-pleuropneumoniae-pleuropneumonia.md,第八章 猪细菌性传染病,6. 治疗
四环素,SFDUT2-TX-0091,SRC-0090,217,390,390,DRUG-030-tetracyclines.md,DIS-035-actinobacillus-pleuropneumoniae-pleuropneumonia.md,第八章 猪细菌性传染病,6. 治疗
安乃近,SFDUT2-TX-0091,SRC-0090,217,390,390,DRUG-029-nsaids.md,DIS-035-actinobacillus-pleuropneumoniae-pleuropneumonia.md,第八章 猪细菌性传染病,6. 治疗
地塞米松,SFDUT2-TX-0091,SRC-0090,217,390,390,DRUG-066-dexamethasone.md,DIS-035-actinobacillus-pleuropneumoniae-pleuropneumonia.md,第八章 猪细菌性传染病,6. 治疗
安钠咖,SFDUT2-TX-0091,SRC-0090,217,390,390,,DIS-035-actinobacillus-pleuropneumoniae-pleuropneumonia.md,第八章 猪细菌性传染病,6. 治疗
氟苯尼考,SFDUT2-TX-0093,SRC-0090,217,394,394,DRUG-012-florfenicol.md,DIS-035-actinobacillus-pleuropneumoniae-pleuropneumonia.md,第八章 猪细菌性传染病,6. 治疗
头孢噻呋,SFDUT2-TX-0094,SRC-0090,217,395,395,DRUG-011-ceftiofur.md,DIS-035-actinobacillus-pleuropneumoniae-pleuropneumonia.md,第八章 猪细菌性传染病,6. 治疗
阿莫西林,SFDUT2-TX-0095,SRC-0090,217,396,396,DRUG-010-amoxicillin.md,DIS-035-actinobacillus-pleuropneumoniae-pleuropneumonia.md,第八章 猪细菌性传染病,6. 治疗
强力霉素,SFDUT2-TX-0096,SRC-0090,217,398,398,DRUG-021-doxycycline.md,DIS-035-actinobacillus-pleuropneumoniae-pleuropneumonia.md,第八章 猪细菌性传染病,6. 治疗
替米考星,SFDUT2-TX-0097,SRC-0090,217,399,399,DRUG-045-tilmicosin.md,DIS-035-actinobacillus-pleuropneumoniae-pleuropneumonia.md,第八章 猪细菌性传染病,6. 治疗
金霉素,SFDUT2-TX-0098,SRC-0090,217,400,400,DRUG-020-chlortetracycline.md,DIS-035-actinobacillus-pleuropneumoniae-pleuropneumonia.md,第八章 猪细菌性传染病,6. 治疗
泰乐菌素,SFDUT2-TX-0098,SRC-0090,217,400,400,DRUG-015-tylosin.md,DIS-035-actinobacillus-pleuropneumoniae-pleuropneumonia.md,第八章 猪细菌性传染病,6. 治疗
泰妙菌素,SFDUT2-TX-0098,SRC-0090,217,400,400,DRUG-013-tiamulin.md,DIS-035-actinobacillus-pleuropneumoniae-pleuropneumonia.md,第八章 猪细菌性传染病,6. 治疗
强力霉素,SFDUT2-TX-0100,SRC-0090,218,404,404,DRUG-021-doxycycline.md,DIS-035-actinobacillus-pleuropneumoniae-pleuropneumonia.md,第八章 猪细菌性传染病,6. 治疗
阿莫西林,SFDUT2-TX-0101,SRC-0090,218,405,405,DRUG-010-amoxicillin.md,DIS-035-actinobacillus-pleuropneumoniae-pleuropneumonia.md,第八章 猪细菌性传染病,6. 治疗
替米考星,SFDUT2-TX-0102,SRC-0090,218,406,406,DRUG-045-tilmicosin.md,DIS-035-actinobacillus-pleuropneumoniae-pleuropneumonia.md,第八章 猪细菌性传染病,6. 治疗
青霉素,SFDUT2-TX-0107,SRC-0090,222,464,464,DRUG-009-penicillin-g.md,DIS-037-bordetella-bronchiseptica-nonprogressive-atrophic-rhinitis.md,第八章 猪细菌性传染病,(1) 治疗
链霉素,SFDUT2-TX-0107,SRC-0090,222,464,464,,DIS-037-bordetella-bronchiseptica-nonprogressive-atrophic-rhinitis.md,第八章 猪细菌性传染病,(1) 治疗
土霉素,SFDUT2-TX-0107,SRC-0090,222,464,464,DRUG-019-oxytetracycline.md,DIS-037-bordetella-bronchiseptica-nonprogressive-atrophic-rhinitis.md,第八章 猪细菌性传染病,(1) 治疗
强力霉素,SFDUT2-TX-0107,SRC-0090,222,464,464,DRUG-021-doxycycline.md,DIS-037-bordetella-bronchiseptica-nonprogressive-atrophic-rhinitis.md,第八章 猪细菌性传染病,(1) 治疗
磺胺,SFDUT2-TX-0107,SRC-0090,222,464,464,DRUG-034-sulfonamides.md,DIS-037-bordetella-bronchiseptica-nonprogressive-atrophic-rhinitis.md,第八章 猪细菌性传染病,(1) 治疗
土霉素,SFDUT2-TX-0109,SRC-0090,222,468,468,DRUG-019-oxytetracycline.md,DIS-037-bordetella-bronchiseptica-nonprogressive-atrophic-rhinitis.md,第八章 猪细菌性传染病,(1) 治疗
四环素,SFDUT2-TX-0109,SRC-0090,222,468,468,DRUG-030-tetracyclines.md,DIS-037-bordetella-bronchiseptica-nonprogressive-atrophic-rhinitis.md,第八章 猪细菌性传染病,(1) 治疗
磺胺,SFDUT2-TX-0109,SRC-0090,222,468,468,DRUG-034-sulfonamides.md,DIS-037-bordetella-bronchiseptica-nonprogressive-atrophic-rhinitis.md,第八章 猪细菌性传染病,(1) 治疗
青霉素,SFDUT2-TX-0110,SRC-0090,222,470,470,DRUG-009-penicillin-g.md,DIS-037-bordetella-bronchiseptica-nonprogressive-atrophic-rhinitis.md,第八章 猪细菌性传染病,(1) 治疗
氨苄西林,SFDUT2-TX-0110,SRC-0090,222,470,470,DRUG-042-ampicillin.md,DIS-037-bordetella-bronchiseptica-nonprogressive-atrophic-rhinitis.md,第八章 猪细菌性传染病,(1) 治疗
阿莫西林,SFDUT2-TX-0110,SRC-0090,222,470,470,DRUG-010-amoxicillin.md,DIS-037-bordetella-bronchiseptica-nonprogressive-atrophic-rhinitis.md,第八章 猪细菌性传染病,(1) 治疗
头孢噻呋,SFDUT2-TX-0110,SRC-0090,222,470,470,DRUG-011-ceftiofur.md,DIS-037-bordetella-bronchiseptica-nonprogressive-atrophic-rhinitis.md,第八章 猪细菌性传染病,(1) 治疗
卡那霉素,SFDUT2-TX-0110,SRC-0090,222,470,470,,DIS-037-bordetella-bronchiseptica-nonprogressive-atrophic-rhinitis.md,第八章 猪细菌性传染病,(1) 治疗
土霉素,SFDUT2-TX-0110,SRC-0090,222,470,470,DRUG-019-oxytetracycline.md,DIS-037-bordetella-bronchiseptica-nonprogressive-atrophic-rhinitis.md,第八章 猪细菌性传染病,(1) 治疗
磺胺,SFDUT2-TX-0110,SRC-0090,222,470,470,DRUG-034-sulfonamides.md,DIS-037-bordetella-bronchiseptica-nonprogressive-atrophic-rhinitis.md,第八章 猪细菌性传染病,(1) 治疗
强力霉素,SFDUT2-TX-0111,SRC-0090,222,472,472,DRUG-021-doxycycline.md,DIS-037-bordetella-bronchiseptica-nonprogressive-atrophic-rhinitis.md,第八章 猪细菌性传染病,(1) 治疗
泰乐菌素,SFDUT2-TX-0111,SRC-0090,222,472,472,DRUG-015-tylosin.md,DIS-037-bordetella-bronchiseptica-nonprogressive-atrophic-rhinitis.md,第八章 猪细菌性传染病,(1) 治疗
磺胺,SFDUT2-TX-0111,SRC-0090,222,472,472,DRUG-034-sulfonamides.md,DIS-037-bordetella-bronchiseptica-nonprogressive-atrophic-rhinitis.md,第八章 猪细菌性传染病,(1) 治疗
头孢噻呋,SFDUT2-TX-0121,SRC-0090,226,535,535,DRUG-011-ceftiofur.md,DIS-040-colibacillosis.md,第八章 猪细菌性传染病,（6）综合防治
卡那霉素,SFDUT2-TX-0121,SRC-0090,226,535,535,,DIS-040-colibacillosis.md,第八章 猪细菌性传染病,（6）综合防治
庆大霉素,SFDUT2-TX-0121,SRC-0090,226,535,535,DRUG-023-gentamicin.md,DIS-040-colibacillosis.md,第八章 猪细菌性传染病,（6）综合防治
新霉素,SFDUT2-TX-0121,SRC-0090,226,535,535,DRUG-024-neomycin.md,DIS-040-colibacillosis.md,第八章 猪细菌性传染病,（6）综合防治
安普霉素,SFDUT2-TX-0121,SRC-0090,226,535,535,,DIS-040-colibacillosis.md,第八章 猪细菌性传染病,（6）综合防治
磺胺,SFDUT2-TX-0121,SRC-0090,226,535,535,DRUG-034-sulfonamides.md,DIS-040-colibacillosis.md,第八章 猪细菌性传染病,（6）综合防治
吡哌酸,SFDUT2-TX-0121,SRC-0090,226,535,535,,DIS-040-colibacillosis.md,第八章 猪细菌性传染病,（6）综合防治
恩诺沙星,SFDUT2-TX-0121,SRC-0090,226,535,535,DRUG-018-enrofloxacin.md,DIS-040-colibacillosis.md,第八章 猪细菌性传染病,（6）综合防治
口服补液盐,SFDUT2-TX-0122,SRC-0090,226,536,536,,DIS-040-colibacillosis.md,第八章 猪细菌性传染病,（6）综合防治
葡萄糖,SFDUT2-TX-0122,SRC-0090,226,536,536,,DIS-040-colibacillosis.md,第八章 猪细菌性传染病,（6）综合防治
口服补液盐,SFDUT2-TX-0123,SRC-0090,227,538,538,,DIS-040-colibacillosis.md,第八章 猪细菌性传染病,（6）综合防治
葡萄糖,SFDUT2-TX-0123,SRC-0090,227,538,538,,DIS-040-colibacillosis.md,第八章 猪细菌性传染病,（6）综合防治
氯化钠,SFDUT2-TX-0123,SRC-0090,227,538,538,,DIS-040-colibacillosis.md,第八章 猪细菌性传染病,（6）综合防治
碳酸氢钠,SFDUT2-TX-0123,SRC-0090,227,538,538,,DIS-040-colibacillosis.md,第八章 猪细菌性传染病,（6）综合防治
维生素,SFDUT2-TX-0126,SRC-0090,228,562,562,,DIS-040-colibacillosis.md,第八章 猪细菌性传染病,（1）流行病学
新霉素,SFDUT2-TX-0127,SRC-0090,229,574,574,DRUG-024-neomycin.md,DIS-040-colibacillosis.md,第八章 猪细菌性传染病,(6) 防治
土霉素,SFDUT2-TX-0127,SRC-0090,229,574,574,DRUG-019-oxytetracycline.md,DIS-040-colibacillosis.md,第八章 猪细菌性传染病,(6) 防治
葡萄糖,SFDUT2-TX-0128,SRC-0090,229,575,575,,DIS-040-colibacillosis.md,第八章 猪细菌性传染病,(6) 防治
维生素,SFDUT2-TX-0128,SRC-0090,229,575,575,,DIS-040-colibacillosis.md,第八章 猪细菌性传染病,(6) 防治
安钠咖,SFDUT2-TX-0128,SRC-0090,229,575,575,,DIS-040-colibacillosis.md,第八章 猪细菌性传染病,(6) 防治
