disease_id,disease_name,category,official_china_status,coverage_target,china_standard_required,clinical_page_required,regulatory_anchor_required,evidence_coverage,primary_source_id,page_relpath,standard_count
DIS-014,猪丝状病毒相关感染,病毒病/人兽共患风险,待中国官方来源复核,review,yes,yes,yes,partial,SRC-0008,wiki/diseases/DIS-014-filoviruses-reston-ebolavirus-zaire-ebolavirus.md,0
DIS-015,猪乙型脑炎,病毒病/繁殖障碍,待中国官方来源复核,core,yes,yes,yes,complete,SRC-0008,wiki/diseases/DIS-015-japanese-encephalitis-virus.md,0
DIS-016,猪西尼罗病毒相关感染,病毒病,未在本轮目录级处理中确认,extended,review,yes,review,partial,SRC-0008,wiki/diseases/DIS-016-west-nile-virus-and-other-flaviviruses.md,0
DIS-017,猪戊型肝炎,病毒病/人兽共患风险,未在本轮目录级处理中确认,extended,review,yes,review,partial,SRC-0008,wiki/diseases/DIS-017-hepatitis-e-virus.md,0
DIS-018,猪伪狂犬病,病毒病,待中国官方来源复核,core,yes,yes,yes,complete,SRC-0008,wiki/diseases/DIS-018-pseudorabies-aujeszky-disease.md,0
DIS-019,猪巨细胞病毒感染,病毒病,未在本轮目录级处理中确认,extended,review,yes,review,partial,SRC-0041,wiki/diseases/DIS-019-porcine-cytomegalovirus.md,0
DIS-020,猪恶性卡他热相关感染,病毒病,未在本轮目录级处理中确认,extended,review,yes,review,partial,SRC-0041,wiki/diseases/DIS-020-malignant-catarrhal-fever-ovine-herpesvirus-2.md,0
DIS-021,猪流感,病毒病/呼吸道病,未在本轮目录级处理中确认,core,review,yes,review,complete,SRC-0009,wiki/diseases/DIS-021-influenza-viruses.md,0
DIS-022,猪副黏病毒相关感染,病毒病,未在本轮目录级处理中确认,extended,review,yes,review,partial,SRC-0044,wiki/diseases/DIS-022-paramyxoviruses.md,0
DIS-023,猪细小病毒病,病毒病/繁殖障碍,未在本轮目录级处理中确认,core,review,yes,review,complete,SRC-0045,wiki/diseases/DIS-023-parvoviruses.md,0
DIS-024,猪瘟,病毒病,待中国官方来源复核,core,yes,yes,yes,complete,SRC-0046,wiki/diseases/DIS-024-classical-swine-fever-pestiviruses.md,0
DIS-025,非典型猪瘟病毒感染,病毒病,未在本轮目录级处理中确认,extended,review,yes,review,partial,SRC-0046,wiki/diseases/DIS-025-atypical-porcine-pestivirus-pestivirus-infections.md,0
DIS-026,猪口蹄疫,病毒病,待中国官方来源复核,core,yes,yes,yes,complete,SRC-0047,wiki/diseases/DIS-026-foot-and-mouth-disease-picornaviruses.md,0
DIS-027,塞内卡病毒A感染,病毒病/水疱病鉴别,待中国官方来源复核,core,yes,yes,yes,partial,SRC-0048,wiki/diseases/DIS-027-senecavirus-a-picornaviruses.md,0
DIS-028,猪繁殖与呼吸综合征,病毒病,待中国官方来源复核,core,yes,yes,yes,complete,SRC-0049,wiki/diseases/DIS-028-porcine-reproductive-and-respiratory-syndrome-viruses.md,0
DIS-029,猪痘,病毒病/皮肤病,未在本轮目录级处理中确认,extended,review,yes,review,partial,SRC-0051,wiki/diseases/DIS-029-swinepox-virus.md,0
DIS-030,猪轮状病毒病,病毒病/腹泻病,未在本轮目录级处理中确认,core,review,yes,review,complete,SRC-0052,wiki/diseases/DIS-030-rotaviruses-and-reoviruses.md,0
DIS-031,猪反转录病毒相关感染,病毒病,未在本轮目录级处理中确认,review,review,yes,review,partial,SRC-0053,wiki/diseases/DIS-031-retroviruses.md,0
DIS-032,猪狂犬病风险,病毒病/人兽共患风险,待中国官方来源复核,review,yes,yes,yes,partial,SRC-0054,wiki/diseases/DIS-032-rabies-virus.md,0
DIS-033,猪水疱性口炎,病毒病/水疱病鉴别,待中国官方来源复核,core,yes,yes,yes,complete,SRC-0054,wiki/diseases/DIS-033-vesicular-stomatitis-viruses.md,0
DIS-034,猪甲病毒相关感染,病毒病,未在本轮目录级处理中确认,extended,review,yes,review,partial,SRC-0055,wiki/diseases/DIS-034-togaviruses-getah-sagiyama-ross-river-eee.md,0
DIS-035,猪胸膜肺炎,细菌病/呼吸道病,未在本轮目录级处理中确认,core,review,yes,review,complete,SRC-0058,wiki/diseases/DIS-035-actinobacillus-pleuropneumoniae-pleuropneumonia.md,16
DIS-036,猪放线杆菌败血症,细菌病,未在本轮目录级处理中确认,extended,review,yes,review,partial,SRC-0058,wiki/diseases/DIS-036-actinobacillus-suis-septicemia-pleuropneumonia.md,0
DIS-037,猪萎缩性鼻炎,细菌病/呼吸道病,未在本轮目录级处理中确认,core,review,yes,review,complete,SRC-0059,wiki/diseases/DIS-037-bordetella-bronchiseptica-nonprogressive-atrophic-rhinitis.md,10
DIS-038,猪布鲁氏菌病,细菌病/繁殖障碍/人兽共患风险,待中国官方来源复核,core,yes,yes,yes,partial,SRC-0060,wiki/diseases/DIS-038-brucella-suis-brucellosis.md,0
DIS-039,仔猪梭菌性肠炎,细菌病/肠道病,未在本轮目录级处理中确认,core,review,yes,review,complete,SRC-0062,wiki/diseases/DIS-039-clostridial-diseases.md,0
DIS-040,猪大肠杆菌病,细菌病/肠道病,未在本轮目录级处理中确认,core,review,yes,review,complete,SRC-0063,wiki/diseases/DIS-040-colibacillosis.md,0
DIS-041,仔猪黄白痢,细菌病/腹泻病,未在本轮目录级处理中确认,core,review,yes,review,complete,SRC-0063,wiki/diseases/DIS-041-neonatal-post-weaning-colibacillosis.md,0
DIS-042,仔猪水肿病,细菌病/神经水肿综合征,未在本轮目录级处理中确认,core,review,yes,review,complete,SRC-0063,wiki/diseases/DIS-042-edema-disease-e-coli.md,0
DIS-043,猪丹毒,细菌病/败血症/皮肤关节病,未在本轮目录级处理中确认,core,review,yes,review,complete,SRC-0065,wiki/diseases/DIS-043-erysipelas.md,8
DIS-044,副猪嗜血杆菌病,细菌病/多发性浆膜炎,未在本轮目录级处理中确认,core,review,yes,review,complete,SRC-0066,wiki/diseases/DIS-044-gl-sser-s-disease.md,0
DIS-045,猪钩端螺旋体病,细菌病/繁殖障碍/人兽共患风险,待中国官方来源复核,core,yes,yes,yes,complete,SRC-0008,wiki/diseases/DIS-045-leptospirosis.md,0
DIS-046,猪支原体肺炎,细菌病/呼吸道病,未在本轮目录级处理中确认,core,review,yes,review,complete,SRC-0069,wiki/diseases/DIS-046-mycoplasmosis-enzootic-pneumonia.md,0
DIS-047,猪多杀性巴氏杆菌病,细菌病/呼吸道病,未在本轮目录级处理中确认,core,review,yes,review,complete,SRC-0070,wiki/diseases/DIS-047-pasteurellosis.md,0
DIS-048,猪增生性肠炎,细菌病/肠道病,未在本轮目录级处理中确认,core,review,yes,review,complete,SRC-0071,wiki/diseases/DIS-048-proliferative-enteropathy-lawsonia-intracellularis.md,18
DIS-049,猪沙门氏菌病,细菌病/肠道病/败血症,未在本轮目录级处理中确认,core,review,yes,review,complete,SRC-0073,wiki/diseases/DIS-049-salmonellosis.md,0
DIS-050,猪葡萄球菌病,细菌病/皮肤病,未在本轮目录级处理中确认,extended,review,yes,review,complete,SRC-0074,wiki/diseases/DIS-050-staphylococcosis-exudative-epidermitis.md,0
DIS-051,猪链球菌病,细菌病/脑膜炎/败血症,待中国官方来源复核,core,yes,yes,yes,complete,SRC-0075,wiki/diseases/DIS-051-streptococcosis-streptococcus-suis.md,0
DIS-052,猪痢疾,细菌病/肠道病,未在本轮目录级处理中确认,core,review,yes,review,complete,SRC-0077,wiki/diseases/DIS-052-swine-dysentery-brachyspira-hyodysenteriae.md,17
DIS-053,猪结核病,细菌病/人兽共患风险,待中国官方来源复核,review,yes,yes,yes,partial,SRC-0078,wiki/diseases/DIS-053-tuberculosis.md,0
DIS-054,猪杂项细菌感染,细菌病,未在本轮目录级处理中确认,review,review,yes,review,partial,SRC-0079,wiki/diseases/DIS-054-miscellaneous-bacterial-infections.md,0
DIS-055,猪疥螨病,寄生虫病/皮肤病,未在本轮目录级处理中确认,core,review,yes,review,complete,SRC-0020,wiki/diseases/DIS-055-external-parasites-mange.md,0
DIS-056,猪虱病,寄生虫病/皮肤病,未在本轮目录级处理中确认,extended,review,yes,review,complete,SRC-0080,wiki/diseases/DIS-056-external-parasites-lice.md,4
DIS-057,猪球虫病,寄生虫病/腹泻病,未在本轮目录级处理中确认,core,review,yes,review,complete,SRC-0008,wiki/diseases/DIS-057-coccidia-and-other-protozoa.md,0
DIS-058,猪弓形虫病,寄生虫病/人兽共患风险,待中国官方来源复核,core,yes,yes,yes,complete,SRC-0008,wiki/diseases/DIS-058-toxoplasmosis-protozoa.md,0
DIS-059,猪隐孢子虫病,寄生虫病/腹泻病,未在本轮目录级处理中确认,extended,review,yes,review,partial,SRC-0081,wiki/diseases/DIS-059-cryptosporidiosis-protozoa.md,0
DIS-060,猪蛔虫病,寄生虫病,未在本轮目录级处理中确认,core,review,yes,review,complete,SRC-0082,wiki/diseases/DIS-060-ascaris-suum-internal-parasites.md,7
DIS-061,猪鞭虫病,寄生虫病/肠道病,未在本轮目录级处理中确认,extended,review,yes,review,complete,SRC-0082,wiki/diseases/DIS-061-trichuris-suis-internal-parasites.md,5
DIS-062,猪类圆线虫病,寄生虫病/腹泻病,未在本轮目录级处理中确认,extended,review,yes,review,partial,SRC-0082,wiki/diseases/DIS-062-strongyloides-internal-parasites.md,0
DIS-063,猪后圆线虫病,寄生虫病/呼吸道病,未在本轮目录级处理中确认,extended,review,yes,review,partial,SRC-0082,wiki/diseases/DIS-063-metastrongylus-lungworms.md,0
DIS-064,猪肾虫病,寄生虫病,未在本轮目录级处理中确认,extended,review,yes,review,partial,SRC-0082,wiki/diseases/DIS-064-stephanurus-dentatus-kidney-worm.md,0
DIS-065,猪营养缺乏与过量综合征,非感染性疾病/营养代谢,未在本轮目录级处理中确认,core,review,yes,review,partial,SRC-0084,wiki/diseases/DIS-065-nutrient-deficiencies-and-excesses.md,0
DIS-066,猪霉菌毒素中毒,非感染性疾病/中毒病,未在本轮目录级处理中确认,core,review,yes,review,complete,SRC-0085,wiki/diseases/DIS-066-mycotoxins-in-grains-and-feeds.md,7
DIS-067,猪黄曲霉毒素中毒,非感染性疾病/中毒病,未在本轮目录级处理中确认,extended,review,yes,review,complete,SRC-0085,wiki/diseases/DIS-067-aflatoxin-toxicosis.md,4
DIS-068,猪呕吐毒素/DON中毒,非感染性疾病/中毒病,未在本轮目录级处理中确认,extended,review,yes,review,complete,SRC-0085,wiki/diseases/DIS-068-don-trichothecene-toxicosis.md,5
DIS-069,猪玉米赤霉烯酮中毒,非感染性疾病/繁殖障碍/中毒病,未在本轮目录级处理中确认,extended,review,yes,review,partial,SRC-0085,wiki/diseases/DIS-069-zearalenone-toxicosis.md,0
DIS-070,猪富马毒素中毒,非感染性疾病/中毒病,未在本轮目录级处理中确认,extended,review,yes,review,partial,SRC-0085,wiki/diseases/DIS-070-fumonisin-toxicosis.md,0
DIS-071,猪矿物质与化学物中毒,非感染性疾病/中毒病,未在本轮目录级处理中确认,core,review,yes,review,partial,SRC-0086,wiki/diseases/DIS-071-toxic-minerals-chemicals-plants-and-gases.md,0
DIS-072,猪亚硝酸盐中毒,非感染性疾病/中毒病,未在本轮目录级处理中确认,extended,review,yes,review,partial,SRC-0086,wiki/diseases/DIS-072-nitrite-toxicosis.md,0
DIS-073,猪有毒气体与通风失败损伤,非感染性疾病/环境管理,未在本轮目录级处理中确认,core,review,yes,review,complete,SRC-0086,wiki/diseases/DIS-073-toxic-gases-ventilation-failure.md,9
