fact_id,source_id,fact_type,page,page_method,line_start,line_end,chapter,section,heading,drug_heading,disease_heading,disease_page,drug_mentions,text
SFDUT2-TX-0011,SRC-0090,candidate_fact,193,TOC_INTERPOLATED,52,52,第八章 猪细菌性传染病,第二节 猪支原体肺炎,7. 治疗,,猪支原体肺炎,DIS-046-mycoplasmosis-enzootic-pneumonia.md,,（2）群体混饲给药 可采用如下策略。
SFDUT2-TX-0012,SRC-0090,treatment_or_prevention,193,TOC_INTERPOLATED,56,56,第八章 猪细菌性传染病,第二节 猪支原体肺炎,7. 治疗,,猪支原体肺炎,DIS-046-mycoplasmosis-enzootic-pneumonia.md,,③ 脉冲式给药：通过短期的治疗量给药，以尽快杀灭病原体，降低肺病变指数，治疗量添加给药通常为 $3 \sim 5$ 天，停药 $2 \sim 3$ 天后再给药 $3 \sim 5$ 天。
SFDUT2-TX-0013,SRC-0090,candidate_fact,193,TOC_INTERPOLATED,60,60,第八章 猪细菌性传染病,第二节 猪支原体肺炎,7. 治疗,,猪支原体肺炎,DIS-046-mycoplasmosis-enzootic-pneumonia.md,多西环素; 泰妙菌素,① $80\%$ 泰妙菌素预混剂（枝原净）125克 $+10\%$ 盐酸多西环素预混剂1000克。
SFDUT2-TX-0014,SRC-0090,candidate_fact,193,TOC_INTERPOLATED,61,61,第八章 猪细菌性传染病,第二节 猪支原体肺炎,7. 治疗,,猪支原体肺炎,DIS-046-mycoplasmosis-enzootic-pneumonia.md,金霉素; 泰乐菌素,② $8.8\%$ 磷酸泰乐菌素预混剂200克 $+15\%$ 金霉素预混剂2000克。
SFDUT2-TX-0015,SRC-0090,candidate_fact,193,TOC_INTERPOLATED,62,62,第八章 猪细菌性传染病,第二节 猪支原体肺炎,7. 治疗,,猪支原体肺炎,DIS-046-mycoplasmosis-enzootic-pneumonia.md,替米考星,③ 替米考星预混剂（效价） $200 \sim 400$ 克。
SFDUT2-TX-0016,SRC-0090,candidate_fact,194,TOC_INTERPOLATED,63,63,第八章 猪细菌性传染病,第二节 猪支原体肺炎,7. 治疗,,猪支原体肺炎,DIS-046-mycoplasmosis-enzootic-pneumonia.md,泰乐菌素,④ $20\%$ 乙酰异戊酰泰乐菌素（又名泰万菌素、万乐霉素）预混剂400克。
SFDUT2-TX-0017,SRC-0090,treatment_or_prevention,194,TOC_INTERPOLATED,65,65,第八章 猪细菌性传染病,第二节 猪支原体肺炎,7. 治疗,,猪支原体肺炎,DIS-046-mycoplasmosis-enzootic-pneumonia.md,青霉素; 氨苄西林; 阿莫西林; 链霉素; 红霉素; 黏菌素; 多黏菌素; 磺胺,因猪肺炎支原体没有细胞壁，因此通过干扰细胞壁合成发挥抗菌作用的青霉素、氨苄西林、阿莫西林和头孢菌素对单纯的支原体肺炎治疗无效，其他抗菌药物如甲氧氨苄和磺胺类药物、多黏菌素、链霉素、红霉素对猪支原体肺炎的治疗也不起作用。
SFDUT2-TX-0018,SRC-0090,vaccination_or_immunization,194,TOC_INTERPOLATED,69,69,第八章 猪细菌性传染病,第二节 猪支原体肺炎,8. 综合防控,,猪支原体肺炎,DIS-046-mycoplasmosis-enzootic-pneumonia.md,,高感染率种猪场仍以药物防治为主，免疫和生物风险管理措施配合，进行综合防控，同时要改善饲养管理和圈舍条件。
SFDUT2-TX-0019,SRC-0090,vaccination_or_immunization,194,TOC_INTERPOLATED,71,71,第八章 猪细菌性传染病,第二节 猪支原体肺炎,8. 综合防控,,猪支原体肺炎,DIS-046-mycoplasmosis-enzootic-pneumonia.md,,（1）弱毒活疫苗 中国兽医药品监察所研制出肺炎支原体兔化
SFDUT2-TX-0020,SRC-0090,vaccination_or_immunization,194,TOC_INTERPOLATED,73,73,第八章 猪细菌性传染病,第二节 猪支原体肺炎,8. 综合防控,,猪支原体肺炎,DIS-046-mycoplasmosis-enzootic-pneumonia.md,,弱毒活疫苗（培养基疫苗），采用鼻腔深部接种的方法，操作方便，免疫效果确实。可对种公、母猪及断奶前后的仔猪进行免疫，免疫保护率可达 $75\%$ 以上，免疫期可达半年以上。
SFDUT2-TX-0021,SRC-0090,vaccination_or_immunization,194,TOC_INTERPOLATED,75,75,第八章 猪细菌性传染病,第二节 猪支原体肺炎,8. 综合防控,,猪支原体肺炎,DIS-046-mycoplasmosis-enzootic-pneumonia.md,,南京天邦生产的全球首个猪支原体肺炎克隆弱毒活疫苗（1687猪），采用12号短针头肺内注射方法，剂量：2毫升，一次免疫保护可达 $80\%$ 以上，免疫期6个月以上。免疫程序：在 $6\sim 10$ 周龄一次性免疫（在咳嗽前4周）。
SFDUT2-TX-0022,SRC-0090,vaccination_or_immunization,195,TOC_INTERPOLATED,77,77,第八章 猪细菌性传染病,第二节 猪支原体肺炎,8. 综合防控,,猪支原体肺炎,DIS-046-mycoplasmosis-enzootic-pneumonia.md,,（2）灭活疫苗 美国辉瑞、普泰克、先灵葆雅、梅里亚、海勃莱、荷兰英特威等多家公司通过浓缩猪肺炎支原体培养物先后研制成功猪肺炎支原体灭活苗并已销售。该苗可以用于哺乳仔猪、怀孕母猪和种公猪。肌内接种，免疫接种两次，对猪安全，无副作用。
SFDUT2-TX-0023,SRC-0090,vaccination_or_immunization,195,TOC_INTERPOLATED,79,79,第八章 猪细菌性传染病,第二节 猪支原体肺炎,8. 综合防控,,猪支原体肺炎,DIS-046-mycoplasmosis-enzootic-pneumonia.md,,疫苗免疫能有效降低临床疾病的发生率，包括肺炎和咳嗽等，但不能阻止病原菌在宿主体内的移行。为此要抓好四项工作：一要净化种猪；二要创造理想的通风、保温、密度等环境条件；三要疫苗免疫；四要药物预防和治疗。
SFDUT2-TX-0024,SRC-0090,vaccination_or_immunization,195,TOC_INTERPOLATED,84,84,第八章 猪细菌性传染病,第二节 猪支原体肺炎,9. 种猪场猪气喘病预防与净化,,猪支原体肺炎,DIS-046-mycoplasmosis-enzootic-pneumonia.md,,如果母猪已经怀孕，病猪及早挑出集中隔离饲养，要在接种疫苗的同时，在产仔前2周还要进行药物治疗，减少猪体内的猪肺炎支原体，以防哺乳期间传给仔猪。
SFDUT2-TX-0025,SRC-0090,vaccination_or_immunization,195,TOC_INTERPOLATED,85,85,第八章 猪细菌性传染病,第二节 猪支原体肺炎,9. 种猪场猪气喘病预防与净化,,猪支原体肺炎,DIS-046-mycoplasmosis-enzootic-pneumonia.md,,（2）新生仔猪 $5\sim 7$ 日龄接种猪气喘病弱毒冻干疫苗，仔猪进行二次免疫可以提高猪群免疫力， $5\sim 7$ 日龄首免， $60\sim 80$ 日龄二免。也可接种进口的猪气喘病灭活苗。
SFDUT2-TX-0026,SRC-0090,vaccination_or_immunization,195,TOC_INTERPOLATED,86,86,第八章 猪细菌性传染病,第二节 猪支原体肺炎,9. 种猪场猪气喘病预防与净化,,猪支原体肺炎,DIS-046-mycoplasmosis-enzootic-pneumonia.md,,（3）后备母猪连续免疫疫苗2年，可以控制猪气喘病。仔猪从哺乳期到架子猪都未出现气喘症状，通过疫苗接种，仔猪亦未发现气喘病的病变，可以定为健康猪群。
SFDUT2-TX-0027,SRC-0090,vaccination_or_immunization,195,TOC_INTERPOLATED,87,87,第八章 猪细菌性传染病,第二节 猪支原体肺炎,9. 种猪场猪气喘病预防与净化,,猪支原体肺炎,DIS-046-mycoplasmosis-enzootic-pneumonia.md,,（4）从集市购买的苗猪或架子猪，临诊上如无咳嗽，又无气喘症状，体温正常（ $40^{\circ}\mathrm{C}$ 以下），可以立即接种弱毒疫苗或灭活疫苗。
SFDUT2-TX-0028,SRC-0090,treatment_or_prevention,195,TOC_INTERPOLATED,89,89,第八章 猪细菌性传染病,第二节 猪支原体肺炎,9. 种猪场猪气喘病预防与净化,,猪支原体肺炎,DIS-046-mycoplasmosis-enzootic-pneumonia.md,,在暴发此病猪场进行紧急预防，可以降低发病率。
SFDUT2-TX-0029,SRC-0090,vaccination_or_immunization,195,TOC_INTERPOLATED,91,91,第八章 猪细菌性传染病,第二节 猪支原体肺炎,9. 种猪场猪气喘病预防与净化,,猪支原体肺炎,DIS-046-mycoplasmosis-enzootic-pneumonia.md,,"对国外引进的纯种猪, 严格隔离饲养, 对其仔猪 21 天断奶可有效防止猪气喘病的发生, 但引进猪如与有猪气喘病的其他猪混群, 在混群前则须进行疫苗防疫, 并适当配合用药。引进猪由于生长速度快, 抗应激能力差, 对饲养管理和生物安全标准要求较高。多地生产已得到推广, 其中有两地生产, 即配种、怀孕、分娩和哺乳在一地, 保育、生长和育成在另一地。另一种是三地生产模式, 即配种、怀孕、分娩和哺乳在一地, 然后集中在一起保育, 生长及育肥在另一地。三地生产模式应用较多。"
SFDUT2-TX-0030,SRC-0090,vaccination_or_immunization,195,TOC_INTERPOLATED,93,93,第八章 猪细菌性传染病,第二节 猪支原体肺炎,9. 种猪场猪气喘病预防与净化,,猪支原体肺炎,DIS-046-mycoplasmosis-enzootic-pneumonia.md,,康复母猪一般带菌不排菌。康复母猪单个隔离饲养、人工授精、疫苗接种和辅以适当治疗，亦可育成后备健康猪群，利用康复母猪建立健康猪群在我国当前情况下是可行的。
SFDUT2-TX-0031,SRC-0090,treatment_or_prevention,195,TOC_INTERPOLATED,95,95,第八章 猪细菌性传染病,第二节 猪支原体肺炎,9. 种猪场猪气喘病预防与净化,,猪支原体肺炎,DIS-046-mycoplasmosis-enzootic-pneumonia.md,土霉素; 泰乐菌素; 泰妙菌素,总之，控制猪气喘病需要采取综合防制的办法。其中重点是要建立健康的种猪群，母猪临产前7天和分娩后7天，用泰乐菌素、泰妙菌素或土霉素拌料饲喂，防止经母猪把疾病传给仔猪。其次是要抓好仔猪的疾病预防控制。搞好环境卫生消毒和一栏或一舍的全进全出。定期检查、立即隔离发病猪；根据猪群具体情况采取定时用药、预防用药策略。只有从总体采取合理的综合防治措施，才能有效地控制猪气喘病的发生和流行。
SFDUT2-TX-0032,SRC-0090,vaccination_or_immunization,196,TOC_INTERPOLATED,103,103,第八章 猪细菌性传染病,第三节 副猪嗜血杆菌病,第三节 副猪嗜血杆菌病,,副猪嗜血杆菌病,DIS-044-gl-sser-s-disease.md,,吸道病综合征等因素的存在，使得本病危害日渐严重，在世界各地广为流传，成为断奶前后和保育猪头号杀手。特别在有繁殖与呼吸障碍综合征（俗称蓝耳病，PRRS）和2型圆环病毒（PCV-2）感染这两种免疫抑制性疾病存在的猪场，本病更容易趁机暴发，且发病很快，确诊和治疗都有困难，死淘率大幅度上升，损失惨重。如果再与肺炎支原体（MHP）、胸膜肺炎放线杆菌（APP）、多杀性巴氏杆菌（PM）、猪链球菌（SS）等混合感染，便会发生所谓的呼吸道病综合征（PRDC）。本病是日益严重PRDC的首要细菌病，目前不少人缺乏对它应有的认识，而更多的人则经常将其与胸膜肺炎、链球菌病及猪附红细胞体病混淆而忽视其存在，造成不必要的灾难性的损失，应引起高度重视，严加防范。
SFDUT2-TX-0033,SRC-0090,treatment_or_prevention,197,TOC_INTERPOLATED,109,109,第八章 猪细菌性传染病,第三节 副猪嗜血杆菌病,1. 病原学,,副猪嗜血杆菌病,DIS-044-gl-sser-s-disease.md,,目前，我国已确认的副猪嗜血杆菌的血清型有15种，还有 $12.1\%$ 的分离株不能分型，不同血清型的发病特点、交叉保护，甚至治疗用药都可能不同。其中以4型和5型最为流行，其次为13、14和12型。不同的血清型致病力差异很大，1、5、10、12、13和14型毒力最强，患猪归于死亡或处于濒死状态；2、4、8和15型为中等毒力，患病猪死亡率相对较低，但可能出现败血症状，生长迟缓；其他型毒力较低，没有明显临床症状。同一猪场可能同时存在不同菌株。一些最新研究报道指出，HPS也可以从患有严重胸膜肺炎的肺脏中分离出，这也可能是导致此类肺部损伤的原发病原。
SFDUT2-TX-0034,SRC-0090,vaccination_or_immunization,198,TOC_INTERPOLATED,125,125,第八章 猪细菌性传染病,第三节 副猪嗜血杆菌病,2. 流行病学,,副猪嗜血杆菌病,DIS-024-classical-swine-fever-pestiviruses.md,,单纯性感染较少。猪瘟、支原体肺炎、萎缩性鼻炎、猪伪狂犬病等原发病的流行为本病的继发和混合感染提供了可乘之机。特别是随着圆环病毒病和蓝耳病这两种所谓的“猪的艾滋病”的流行，使机体免疫功能下降，更易乘机暴发本病。本病往往是这两种病的影子。临床实践证明，保育舍内暴发蓝耳病后，HPS的存在和继发感染可加剧病情并使临床表现复杂化，是造成10周龄以前仔猪死亡率升高的重要的细菌性致病因子。反过来HPS的严重感染又成为蓝耳病存在的“指示病”。
SFDUT2-TX-0035,SRC-0090,candidate_fact,199,TOC_INTERPOLATED,135,135,第八章 猪细菌性传染病,第三节 副猪嗜血杆菌病,3. 临床症状,,副猪嗜血杆菌病,DIS-044-gl-sser-s-disease.md,,喘；疼痛（可由尖叫推断）；跗、腕关节肿胀，严重的会瘸腿；有的出现颤抖，共济失调，耳尖发紫，眼睑发乌肿胀以及中枢神经系统症状等。病情严重者随之可能死亡。临死前侧卧或四肢呈划水样。通常发病后 $2\sim 5$ 天死亡（通常由败血性休克或内毒素休克所致，在不出现典型的多发性浆膜炎时就出现发绀、皮下水肿及肺水肿，乃至死亡）。最急性的个别猪可能不表现任何症状而突然猝死。耐过急性发病的猪可转为亚急性型或慢急性型。
SFDUT2-TX-0036,SRC-0090,candidate_fact,199,TOC_INTERPOLATED,137,137,第八章 猪细菌性传染病,第三节 副猪嗜血杆菌病,3. 临床症状,,副猪嗜血杆菌病,DIS-044-gl-sser-s-disease.md,氨苄西林; 阿莫西林; 磺胺,（2）亚急性型或慢急性型 常由急性型转化而来或由中等毒力毒株引起，主要表现为多发性浆膜炎、关节炎、脑膜炎等。病猪食欲下降、精神沉郁、发抖、扎堆、咳嗽、呼吸困难、被毛粗乱、渐进性消瘦、体表皮肤苍白；行动迟缓僵硬，后肢不协调；四肢无力，不愿站立；关节肿大或跛行。副猪嗜血杆菌性脑膜炎的症状，除共济失调、步伐蹒跚、头向后仰、四肢呈游泳状以外，笔者还观察到一种特殊表现：喜欢向同一侧躺卧，将猪翻过来它又很快便自动翻回去，可反复数次（可用复方磺胺间甲氧嘧啶配合阿莫西林或氨苄西林分别肌注，效果较好）。慢急性型有的可拖10多天后终因衰竭而死。侥幸不死的极度消瘦或生长缓慢。
SFDUT2-TX-0037,SRC-0090,treatment_or_prevention,200,TOC_INTERPOLATED,159,159,第八章 猪细菌性传染病,第三节 副猪嗜血杆菌病,6. 治疗,,副猪嗜血杆菌病,DIS-044-gl-sser-s-disease.md,,笔者总结了治疗 HPS 的几条原则和体会，如下。
SFDUT2-TX-0038,SRC-0090,treatment_or_prevention,200,TOC_INTERPOLATED,161,161,第八章 猪细菌性传染病,第三节 副猪嗜血杆菌病,6. 治疗,,副猪嗜血杆菌病,DIS-044-gl-sser-s-disease.md,,（1）治疗应在暴发早期，必须早发现、早确诊、早治疗、越快越好。
SFDUT2-TX-0039,SRC-0090,treatment_or_prevention,201,TOC_INTERPOLATED,163,163,第八章 猪细菌性传染病,第三节 副猪嗜血杆菌病,6. 治疗,,副猪嗜血杆菌病,DIS-044-gl-sser-s-disease.md,,要在整个猪群大量发病之前 $1 \sim 2$ 天就能发现病猪。此病传染性很强，一定要对病猪进行隔离治疗，同时要对整个猪群采取严格的控制措施。
SFDUT2-TX-0040,SRC-0090,treatment_or_prevention,201,TOC_INTERPOLATED,165,165,第八章 猪细菌性传染病,第三节 副猪嗜血杆菌病,6. 治疗,,副猪嗜血杆菌病,DIS-044-gl-sser-s-disease.md,,（2）一旦临床症状已经出现，一是应立即采用肌注或静注用药的方式，不能采用口服用药。二是必须应用大剂量的敏感抗菌药物对同栏的所有猪（感染猪或非感染猪）进行治疗，才可能有部分效果，而不仅仅只是对那些表现出症状的猪用药。此条被临床实践证
SFDUT2-TX-0041,SRC-0090,treatment_or_prevention,201,TOC_INTERPOLATED,167,167,第八章 猪细菌性传染病,第三节 副猪嗜血杆菌病,6. 治疗,,副猪嗜血杆菌病,DIS-044-gl-sser-s-disease.md,,明很重要，不然的话，貌似正常的猪，过 $2 \sim 4$ 天就发病；今天发病治疗1头，第2天2头，第3天 $3 \sim 4$ 头，形成恶性循环，没完没了，治都治不过来，直至全栏覆灭。三是必须适当加大剂量，至少要按照使用说明书上的上限剂量，或再提高 $25\% \sim 50\%$ 的用量，以保证足量药物达到相应组织和病灶，因为发病类型及病情不同，使用剂量有较大差异，准确的剂量通常难以把握，这也是临床治疗效果不佳的重要原因。应在治疗实践中探索，总结出自己的经验方。四是连续治疗不得少于 $4 \sim 5$ 天，防止复发；慢性病情酌情增加治疗天数和疗程。五是要在耳后、颈部、臀部、股部等处多选择几个注射部分，以利药物吸收，注射部位已出现肿胀就不要再注射。
SFDUT2-TX-0042,SRC-0090,candidate_fact,201,TOC_INTERPOLATED,168,168,第八章 猪细菌性传染病,第三节 副猪嗜血杆菌病,6. 治疗,,副猪嗜血杆菌病,DIS-044-gl-sser-s-disease.md,葡萄糖,（3）很多慢性病例都是由于长期不吃食，饥饿衰竭而死。为此，要“3分治7分养”，加强护理。可在饮水中加电解多维、口服葡萄糖、黄芪多糖等，增加营养，提高自身恢复能力。
SFDUT2-TX-0043,SRC-0090,vaccination_or_immunization,201,TOC_INTERPOLATED,169,169,第八章 猪细菌性传染病,第三节 副猪嗜血杆菌病,6. 治疗,,副猪嗜血杆菌病,DIS-044-gl-sser-s-disease.md,地塞米松; 维生素,（4）本病临床治疗非常困难。在发病初期采用下列抗菌药物进行早期治疗，同时要“标本兼治”，病因疗法与对症疗法相结合，酌情配合解热镇痛药、地塞米松、维生素C、排疫苗、猪转移因子、干扰素以及黄芪多糖、复方柴胡、穿心莲、板蓝根、双黄连、鱼腥草等抗病毒及增强机体免疫力的注射剂等，有一定疗效，治愈率 $60\%$ 左右。如果治疗不及时，则疗效欠佳。
SFDUT2-TX-0044,SRC-0090,dose_route_course,201,TOC_INTERPOLATED,170,170,第八章 猪细菌性传染病,第三节 副猪嗜血杆菌病,6. 治疗,,副猪嗜血杆菌病,DIS-044-gl-sser-s-disease.md,头孢噻呋,① 头孢噻呋钠，5毫克/千克体重，1次/天，连用 $4 \sim 5$ 天。或头孢拉定，30毫克/千克体重，每 $6 \sim 8$ 小时1次。
SFDUT2-TX-0045,SRC-0090,dose_route_course,201,TOC_INTERPOLATED,171,171,第八章 猪细菌性传染病,第三节 副猪嗜血杆菌病,6. 治疗,,副猪嗜血杆菌病,DIS-044-gl-sser-s-disease.md,庆大霉素; 氧氟沙星; 达氟沙星,② 庆大霉素注射液，4毫克/千克体重，2次/天；同时配合左氧氟沙星5毫克/千克体重，2次/天（或甲磺酸达氟沙星2.5毫克/千克体重，1次/天），连用 $4\sim 5$ 天。
SFDUT2-TX-0046,SRC-0090,dose_route_course,201,TOC_INTERPOLATED,172,172,第八章 猪细菌性传染病,第三节 副猪嗜血杆菌病,6. 治疗,,副猪嗜血杆菌病,DIS-044-gl-sser-s-disease.md,青霉素; 氨苄西林; 阿莫西林; 舒巴坦,③ 阿莫西林，15毫克/千克体重，2次/天，连用 $4 \sim 5$ 天（也可选用：氨苄西林/舒巴坦，20毫克/千克体重，2次/天，连用 $4 \sim 5$ 天；或青霉素G，5万单位/千克体重， $2 \sim 3$ 次/天，连用 $4 \sim 5$ 天）。或氨苄西林 $10 \sim 20$ 毫克/千克体重， $2 \sim 3$ 次/天，连用 $2 \sim 3$ 天。
SFDUT2-TX-0047,SRC-0090,dose_route_course,201,TOC_INTERPOLATED,173,173,第八章 猪细菌性传染病,第三节 副猪嗜血杆菌病,6. 治疗,,副猪嗜血杆菌病,DIS-044-gl-sser-s-disease.md,,④ 纽弗罗注射液，20毫克/千克体重，1次/天，连用 $3\sim$ 5天。
SFDUT2-TX-0048,SRC-0090,dose_route_course,201,TOC_INTERPOLATED,175,175,第八章 猪细菌性传染病,第三节 副猪嗜血杆菌病,6. 治疗,,副猪嗜血杆菌病,DIS-044-gl-sser-s-disease.md,氟苯尼考,⑤ 氟苯尼考注射液，30毫克/千克体重，2次/天，连用 $3\sim 5$ 天（如果按国内厂家使用说明书用量20毫克/千克体重，48小时一次，连用2次，效果不好）。
SFDUT2-TX-0049,SRC-0090,candidate_fact,201,TOC_INTERPOLATED,176,176,第八章 猪细菌性传染病,第三节 副猪嗜血杆菌病,6. 治疗,,副猪嗜血杆菌病,DIS-044-gl-sser-s-disease.md,磺胺,⑥ 复方磺胺间甲氧嘧啶，首次量0.1克/千克体重，维持量0.05克/千克体重，2次/天，连用 $4\sim 5$ 天。
SFDUT2-TX-0050,SRC-0090,treatment_or_prevention,202,TOC_INTERPOLATED,181,181,第八章 猪细菌性传染病,第三节 副猪嗜血杆菌病,7. 综合防控措施,,副猪嗜血杆菌病,DIS-044-gl-sser-s-disease.md,,副猪嗜血杆菌病作为一种新的传染病，其流行与严重程度日益增加，尤其是大型养猪场，应加深对其潜在危害性的认识。由于本病治疗效果不好，要遵循“养重于防，防重于治”的原则，以预防为主，采取综合防控措施。
SFDUT2-TX-0051,SRC-0090,vaccination_or_immunization,202,TOC_INTERPOLATED,184,184,第八章 猪细菌性传染病,第三节 副猪嗜血杆菌病,7. 综合防控措施,,副猪嗜血杆菌病,DIS-024-classical-swine-fever-pestiviruses.md,,（2）加强生物安全 严格兽医卫生，杜绝外来病原菌，特别要防止引种时引入病原；要按科学合理的免疫程序做好猪瘟、伪狂犬、蓝耳病、支原体肺炎等防疫工作；搞好舍内外环境卫生及经常化的隔离、消毒（每周带猪消毒 $1\sim 2$ 次），防控好圆环病毒病及其他病毒性疾病，消除其他呼吸道病原。
SFDUT2-TX-0052,SRC-0090,vaccination_or_immunization,202,TOC_INTERPOLATED,187,187,第八章 猪细菌性传染病,第三节 副猪嗜血杆菌病,7. 综合防控措施,,副猪嗜血杆菌病,DIS-044-gl-sser-s-disease.md,,（5）疫苗免疫预防 有条件的猪场，最好的办法是从脑分离菌株制作自家灭活疫苗。所谓的自家苗是指从本场发病猪分离致病毒力菌株，经实验室分离培养鉴定，大规模制备、灭活，添加免疫佐剂，并经初步试验后供本场使用的疫苗。因为血清型符合本场的实际，使用效果较好。无条件的可选用进口灭活疫苗（西班牙海博莱或勃林格）免疫母猪，初产母猪产前40天首免，产前20天二免；经产母猪产前30天免疫一次即可，一般情况下 $2\sim 3$ 周后产生保护
SFDUT2-TX-0053,SRC-0090,vaccination_or_immunization,202,TOC_INTERPOLATED,189,189,第八章 猪细菌性传染病,第三节 副猪嗜血杆菌病,7. 综合防控措施,,副猪嗜血杆菌病,DIS-044-gl-sser-s-disease.md,,力，母猪抗体可保护 $6 \sim 7$ 周龄的仔猪；如果仔猪在8周龄以后发病，则需要在仔猪 $2 \sim 3$ 周龄首免， $2 \sim 3$ 周后二免，使其产生主动免疫力。也可选用国产疫苗（武汉科前），母猪接种后可对4周龄仔猪提供保护。再用含有相同血清型的灭活苗接种小猪，对断奶仔猪产生主动保护性免疫力。由于HPS具有明显的地方性特征，血清型多，不同血清型之间无交叉保护力，目前还没有一种灭活苗同时对猪所有的致病株产生交叉保护力，商品疫苗效果有时不确定。也可试用常规的本场的病变组织匀浆制成的自家组织灭活苗。
