name,page,category,kind,target_page,source_id
阿司匹林,219,解热镇痛抗炎药/NSAIDs,nsaid_boundary,wiki/drugs/DRUG-029-nsaids.md,SRC-0092
利多卡因,230,局部麻醉药/麻醉边界,local_anesthetic_boundary,wiki/drugs/DRUG-077-azaperone.md,SRC-0092
普鲁卡因,230,局部麻醉药/配伍边界,local_anesthetic_boundary,wiki/drugs/DRUG-009-penicillin-g.md,SRC-0092
阿托品,237,抗胆碱药,individual_drug,wiki/drugs/DRUG-079-atropine.md,SRC-0092
肾上腺素,240,拟肾上腺素药,individual_drug,wiki/drugs/DRUG-080-epinephrine.md,SRC-0092
硫酸亚铁,243,抗贫血/铁制剂边界,mineral_boundary,wiki/drugs/DRUG-028-iron-dextran.md,SRC-0092
碳酸氢钠,249,酸碱平衡/磺胺安全边界,supportive_boundary,wiki/drugs/DRUG-034-sulfonamides.md,SRC-0092
氨茶碱,251,呼吸系统/平喘药,respiratory_system_drug,wiki/drugs/DRUG-080-epinephrine.md,SRC-0092
促卵泡素,266,促性腺激素/生殖系统药物,reproductive_boundary,wiki/drugs/DRUG-069-triptorelin.md,SRC-0092
促黄体素,266,促性腺激素/生殖系统药物,reproductive_boundary,wiki/drugs/DRUG-069-triptorelin.md,SRC-0092
前列腺素,266,前列腺素/生殖系统药物,reproductive_boundary,wiki/drugs/DRUG-067-oxytocin.md,SRC-0092
垂体后叶素,266,生殖系统药物,reproductive_boundary,wiki/drugs/DRUG-067-oxytocin.md,SRC-0092
戈那瑞林,266,GnRH/生殖系统药物,reproductive_boundary,wiki/drugs/DRUG-069-triptorelin.md,SRC-0092
绒促性素,266,促性腺激素/生殖系统药物,reproductive_boundary,wiki/drugs/DRUG-069-triptorelin.md,SRC-0092
缩宫素,266,生殖系统药物,individual_drug,wiki/drugs/DRUG-067-oxytocin.md,SRC-0092
黄体酮,266,孕激素/生殖系统药物,reproductive_boundary,wiki/drugs/DRUG-068-altrenogest.md,SRC-0092
苯海拉明,275,抗过敏药,antihistamine_boundary,wiki/drugs/DRUG-079-atropine.md,SRC-0092
氢化可的松,278,肾上腺皮质激素,corticosteroid_boundary,wiki/drugs/DRUG-066-dexamethasone.md,SRC-0092
维生素A,282,维生素/营养支持,vitamin_boundary,wiki/drugs/DRUG-028-iron-dextran.md,SRC-0092
维生素C,282,维生素/配伍边界,vitamin_boundary,wiki/drugs/DRUG-034-sulfonamides.md,SRC-0092
维生素D,282,维生素/营养支持,vitamin_boundary,wiki/drugs/DRUG-028-iron-dextran.md,SRC-0092
维生素E,282,维生素/营养支持,vitamin_boundary,wiki/drugs/DRUG-028-iron-dextran.md,SRC-0092
亚硒酸钠,292,微量元素,mineral_boundary,wiki/drugs/DRUG-028-iron-dextran.md,SRC-0092
氯化钙,292,钙磷与微量元素,mineral_boundary,wiki/drugs/DRUG-028-iron-dextran.md,SRC-0092
桂枝,296,中药配伍/中西药联用边界,tcm_boundary,wiki/drugs/DRUG-007-antimicrobials.md,SRC-0092
薄荷,296,中药配伍/中西药联用边界,tcm_boundary,wiki/drugs/DRUG-007-antimicrobials.md,SRC-0092
麻 黄,296,中药配伍/中西药联用边界,tcm_boundary,wiki/drugs/DRUG-007-antimicrobials.md,SRC-0092
黄芩,316,中药配伍/中西药联用边界,tcm_boundary,wiki/drugs/DRUG-007-antimicrobials.md,SRC-0092
黄连,316,中药配伍/中西药联用边界,tcm_boundary,wiki/drugs/DRUG-007-antimicrobials.md,SRC-0092
板蓝根,331,中药配伍/中西药联用边界,tcm_boundary,wiki/drugs/DRUG-007-antimicrobials.md,SRC-0092
穿心莲,331,中药配伍/中西药联用边界,tcm_boundary,wiki/drugs/DRUG-007-antimicrobials.md,SRC-0092
连翘,331,中药配伍/中西药联用边界,tcm_boundary,wiki/drugs/DRUG-007-antimicrobials.md,SRC-0092
金银花,331,中药配伍/中西药联用边界,tcm_boundary,wiki/drugs/DRUG-007-antimicrobials.md,SRC-0092
鱼腥草,331,中药配伍/中西药联用边界,tcm_boundary,wiki/drugs/DRUG-007-antimicrobials.md,SRC-0092
白头翁,352,中药配伍/中西药联用边界,tcm_boundary,wiki/drugs/DRUG-007-antimicrobials.md,SRC-0092
青蒿,356,中药配伍/中西药联用边界,tcm_boundary,wiki/drugs/DRUG-007-antimicrobials.md,SRC-0092
