"sample_id","plan_id","ability_layer","entity_id","entity_type","question","stage1_answer","stage2_answer","evidence_anchor_count","source_trust","evidence_coverage","risk_class","generation_mode","generation_model","prompt_version"
"GEN-000015","PLAN-DIS-007-0002","L2_diagnosis_support","DIS-007","disease","Explain the diagnosis-support points and limits for DIS-007 using registered Wiki evidence.","Diagnosis-support evidence: The disease is classified under viral diseases as '猪圆环病毒相关疾病' [fact=DIS-007-toc-category; source=SRC-0001; rule=RC-CITATION-001; page=wiki/diseases/DIS-007-circoviruses-pcvad.md]. Diagnostic boundary: This confirms its category but does not provide clinical signs, differential diagnoses, laboratory tests, or treatment guidance; such details remain outside the current evidence scope.","Diagnosis-support evidence: 猪圆环病毒相关疾病；category；病毒病 [source=SRC-0001 rule=RC-CITATION-001 fact=DIS-007-toc-category page=wiki/diseases/DIS-007-circoviruses-pcvad.md]。猪圆环病毒相关疾病；textbook_chapter_start_page；497 [source=SRC-0001 rule=RC-CITATION-001 fact=DIS-007-toc-page-anchor page=wiki/diseases/DIS-007-circoviruses-pcvad.md]。 / Diagnostic boundary: 这些事实可用于支持诊断讨论，但不足以做出无锚定的最终诊断。 / Do not infer: 不得推断病因、病原体、治疗方案、产品使用或官方行动等超出引用事实的内容。 / Citation anchors: source=SRC-0001 rule=RC-CITATION-001 fact=DIS-007-toc-category page=wiki/diseases/DIS-007-circoviruses-pvcad.md; source=SRC-0001 rule=RC-CITATION-001 fact=DIS-007-toc-page-anchor page=wiki/diseases/DIS-007-circoviruses-pvcad.md","2","authoritative","complete","diagnostic","real-api","hunyuan-turbos-20250926","phase14.two_stage.v2"
"GEN-000016","PLAN-DIS-007-0003","L3_differential_support","DIS-007","disease","Explain the differential diagnosis boundary for DIS-007 using registered Wiki evidence.","Differential-boundary evidence: The disease entity DIS-007 is classified under the category “病毒病” (viral diseases) within the textbook chapter on circovirus-related conditions [source=SRC-0001][rule=RC-CITATION-001][fact=DIS-007-toc-category][page=wiki/diseases/DIS-007-circoviruses-pcvad.md], beginning at page 497 [source=SRC-0001][rule=RC-CITATION-001][fact=DIS-007-toc-page-anchor][page=wiki/diseases/DIS-007-circoviruses-pcvad.md]. Differential boundary: This confirms that DIS-007 falls within viral diseases associated with porcine circoviruses, but does not provide information sufficient to distinguish it from other viral pathogens presenting similarly; no additional diagnostic, therapeutic, or regulatory assertions are supported by this evidence.","Differential-boundary evidence: 猪圆环病毒相关疾病被归类为“病毒病”，出现在教材中有关猪圆环病毒的章节 [source=SRC-0001][rule=RC-CITATION-001][fact=DIS-007-toc-category][page=wiki/diseases/DIS-007-circoviruses-pcvad.md]，该章节起始于第497页 [source=SRC-0001][rule=RC-CITATION-001][fact=DIS-007-toc-page-anchor][page=wiki/diseases/DIS-007-circoviruses-pcvad.md]。 / Differential boundary: 这些事实定义了DIS-007在鉴别诊断中的边界，即它属于与猪圆环病毒相关的病毒性病因范畴。然而，证据不足以区分其与其他表现相似的病毒性疾病，也无法支持进一步的诊断、治疗或监管结论。 / Do not over-diagnose: 不得基于本证据添加未引用的鉴别症状、治疗方案、产品使用说明、休药期、残留限量或官方行动指令。 / Citation anchors: [source=SRC-0001][rule=RC-CITATION-001][fact=DIS-007-toc-category][page=wiki/diseases/DIS-007-circoviruses-pcvad.md]; [source=SRC-0001][rule=RC-CITATION-001][fact=DIS-007-toc-page-anchor][page=wiki/diseases/DIS-007-circoviruses-pcvad.md]","2","authoritative","complete","diagnostic","real-api","hunyuan-turbos-20250926","phase14.two_stage.v2"
"GEN-000017","PLAN-DIS-007-0004","L4_control_boundary","DIS-007","disease","Explain the control boundary for DIS-007 using registered Wiki evidence.","The disease DIS-007 is classified under viral diseases within the category of porcine circovirus-associated diseases [source=SRC-0001, rule=RC-CITATION-001, fact=DIS-007-toc-category, page=wiki/diseases/DIS-007-circoviruses-pcvad.md]. The textbook chapter discussing this condition begins on page 497 [source=SRC-0001, rule=RC-CITATION-001, fact=DIS-007-toc-page-anchor, page=wiki/diseases/DIS-007-circoviruses-pcvad.md]. Based solely on these references, the control boundary includes its classification as a virus-induced disease and bibliographic location, but does not extend to specific prevention measures, treatment protocols, withdrawal intervals, or regulatory actions.","Control-boundary evidence: 猪圆环病毒相关疾病被归类为病毒病 [source=SRC-0001 rule=RC-CITATION-001 fact=DIS-007-toc-category page=wiki/diseases/DIS-007-circoviruses-pcvad.md]。该疾病在教科书中的章节起始页码为第497页 [source=SRC-0001 rule=RC-CITATION-001 fact=DIS-007-toc-page-anchor page=wiki/diseases/DIS-007-circoviruses-pcvad.md]。 / Control boundary: 现有证据仅支持将DIS-007识别为猪圆环病毒相关的病毒性疾病，并确认其在参考教材中的位置。证据未提供关于预防、治疗、停药期或监管措施的具体信息。 / Do not prescribe beyond evidence: 不得基于当前证据给出任何未经证实的用药剂量、治疗方案、隔离措施、运输决策或官方行动建议。 / Citation anchors: source=SRC-0001 rule=RC-CITATION-001 fact=DIS-007-toc-category page=wiki/diseases/DIS-007-circoviruses-pcvad.md; source=SRC-0001 rule=RC-CITATION-001 fact=DIS-007-toc-page-anchor page=wiki/diseases/DIS-007-circoviruses-pcvad.md","2","authoritative","complete","diagnostic","real-api","hunyuan-turbos-20250926","phase14.two_stage.v2"
"GEN-000018","PLAN-DIS-008-0001","L1_retrieval_grounded","DIS-008","disease","Summarize core knowledge for DIS-008 using registered Wiki evidence.","According to WOAH, Porcine Epidemic Diarrhea (PED) is a non-zoonotic viral disease of pigs caused by a coronavirus, characterized by watery diarrhea and weight loss [source=A1-WOAH-PED][rule=RC-CITATION-001][fact=DIS008-WEB-001-woah-nonzoonotic-coronavirus][page=wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md]. It primarily affects pigs of all ages but is most severe in neonatal piglets, where morbidity can reach 100%, while mortality decreases with increasing age [source=A1-WOAH-PED][rule=RC-CITATION-001][fact=DIS008-WEB-002-woah-age-morbidity-mortality][page=wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md]. Transmission occurs via the fecal–oral route, and control measures emphasize strict biosecurity and early detection [source=A1-WOAH-PED][rule=RC-CITATION-001][fact=DIS008-WEB-003-woah-fecal-oral-biosecurity-early-detection][page=wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md]. Clinically, PED resembles other porcine gastroenteritides, and there is no specific treatment [source=A1-WOAH-PED][rule=RC-CITATION-001][fact=DIS008-WEB-004-woah-clinical-similarity-no-specific-treatment][page=wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md]. This summary reflects authoritative boundaries on clinical presentation, transmission, and control strategy; it does not support statements about diagnosis methods, treatments beyond supportive care, or regulatory actions.","Evidence basis: 猪流行性腹泻；authority_supported_ped_boundary_or_fact；WOAH identifies PED as a non-zoonotic viral disease of pigs caused by a coronavirus and characterised by watery diarrhoea and weight loss. [source=A1-WOAH-PED rule=RC-CITATION-001 fact=DIS008-WEB-001-woah-nonzoonotic-coronavirus page=wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md] 猪流行性腹泻；authority_supported_ped_boundary_or_fact；WOAH states that PED affects pigs of all ages but is most severe in neonatal piglets, with morbidity and mortality reaching up to 100% and mortality decreasing as age increases. [source=A1-WOAH-PED rule=RC-CITATION-001 fact=DIS008-WEB-002-woah-age-morbidity-mortality page=wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md] 猪流行性腹泻；authority_supported_ped_boundary_or_fact；WOAH states that PED is mainly transmitted by the faecal–oral route and that prevention and management control focus on strict biosecurity and early detection. [source=A1-WOAH-PED rule=RC-CITATION-001 fact=DIS008-WEB-003-woah-fecal-oral-biosecurity-early-detection page=wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md] 猪流行性腹泻；authority_supported_ped_boundary_or_fact；WOAH states that PED is clinically similar to other forms of porcine gastroenteritis and that there is no specific treatment; this supports diagnostic and treatment-boundary use only. [source=A1-WOAH-PED rule=RC-CITATION-001 fact=DIS008-WEB-004-woah-clinical-similarity-no-specific-treatment page=wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md] / Answer boundary: The evidence supports identification of PED as a non-zoonotic coronavirus infection causing watery diarrhoea and weight loss, with severity greatest in neonatal piglets, faecal–oral transmission, and reliance on biosecurity and early detection for control. There is no evidence supporting definitive laboratory-based diagnosis, differential diagnosis criteria, therapeutic agents, withdrawal intervals, residue limits, or regulatory directives. / Do not extend: Do not infer or apply any specific diagnostic tests, pharmaceutical products, dosage regimens, safety intervals, residue tolerances, or government-imposed movement restrictions—these are outside the scope of the provided evidence. / Citation anchors: source=A1-WOAH-PED rule=RC-CITATION-001 fact=DIS008-WEB-001-woah-nonzoonotic-coronavirus page=wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md; source=A1-WOAH-PED rule=RC-CITATION-001 fact=DIS008-WEB-002-woah-age-morbidity-mortality page=wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md; source=A1-WOAH-PED rule=RC-CITATION-001 fact=DIS008-WEB-003-woah-fecal-oral-biosecurity-early-detection page=wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md; source=A1-WOAH-PED rule=RC-CITATION-001 fact=DIS008-WEB-004-woah-clinical-similarity-no-specific-treatment page=wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md","4","authoritative","complete","diagnostic","real-api","hunyuan-turbos-20250926","phase14.two_stage.v2"
"GEN-000019","PLAN-DIS-008-0002","L2_diagnosis_support","DIS-008","disease","Explain the diagnosis-support points and limits for DIS-008 using registered Wiki evidence.","Diagnosis-support evidence: According to WOAH, Porcine Epidemic Diarrhea (PED) is a non-zoonotic viral disease of pigs caused by a coronavirus, characterized by watery diarrhoea and weight loss [source=A1-WOAH-PED][rule=RC-CITATION-001][fact=DIS008-WEB-001-woah-nonzoonotic-coronavirus][page=wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md]. It primarily affects pigs of all ages but is most severe in neonatal piglets, where morbidity and mortality can reach up to 100%, decreasing with increasing age [source=A1-WOAH-PED][rule=RC-CITATION-001][fact=DIS008-WEB-002-woah-age-morbidity-mortality][page=wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md]. /  / Diagnostic boundary: The evidence supports recognizing PED based on clinical signs such as acute watery diarrhoea and high mortality in young piglets, along with its known transmission via the faecal–oral route and reliance on biosecurity and early detection for control [source=A1-WOAH-PED][rule=RC-CITATION-001][fact=DIS008-WEB-003-woah-fecal-oral-biosecurity-early-detection][page=wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md]. However, because PED is clinically similar to other porcine gastroenteritides and lacks a specific treatment [source=A1-WOAH-PED][rule=RC-CITATION-001][fact=DIS008-WEB-004-woah-clinical-similarity-no-specific-treatment][page=wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md], laboratory confirmation is necessary to distinguish it from differential diagnoses.","Diagnosis-support evidence: 猪流行性腹泻；authority_supported_ped_boundary_or_fact；WOAH identifies PED as a non-zoonotic viral disease of pigs caused by a coronavirus and characterised by watery diarrhoea and weight loss. [source=A1-WOAH-PED rule=RC-CITATION-001 fact=DIS008-WEB-001-woah-nonzoonotic-coronavirus page=wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md] 猪流行性腹泻；authority_supported_ped_boundary_or_fact；WOAH states that PED affects pigs of all ages but is most severe in neonatal piglets, with morbidity and mortality reaching up to 100% and mortality decreasing as age increases. [source=A1-WOAH-PED rule=RC-CITATION-001 fact=DIS008-WEB-002-woah-age-morbidity-mortality page=wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md] 猪流行性腹泻；authority_supported_ped_boundary_or_fact；WOAH states that PED is mainly transmitted by the faecal-oral route and that prevention and management control focus on strict biosecurity and early detection. [source=A1-WOAH-PED rule=RC-CITATION-001 fact=DIS008-WEB-003-woah-fecal-oral-biosecurity-early-detection page=wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md] 猪流行性腹泻；authority_supported_ped_boundary_or_fact；WOAH states that PED is clinically similar to other forms of porcine gastroenteritis and that there is no specific treatment; this supports diagnostic and treatment-boundary use only. [source=A1-WOAH-PED rule=RC-CITATION-001 fact=DIS008-WEB-004-woah-clinical-similarity-no-specific-treatment page=wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md] / Diagnostic boundary: These facts can support a diagnosis discussion, but they are not enough to make an unanchored final diagnosis. / Do not infer: Do not infer causes, pathogens, treatment details, product use, or official actions beyond the cited facts. / Citation anchors: source=A1-WOAH-PED rule=RC-CITATION-001 fact=DIS008-WEB-001-woah-nonzoonotic-coronavirus page=wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md; source=A1-WOAH-PED rule=RC-CITATION-001 fact=DIS008-WEB-002-woah-age-morbidity-mortality page=wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md; source=A1-WOAH-PED rule=RC-CITATION-001 fact=DIS008-WEB-003-woah-fecal-oral-biosecurity-early-detection page=wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md; source=A1-WOAH-PED rule=RC-CITATION-001 fact=DIS008-WEB-004-woah-clinical-similarity-no-specific-treatment page=wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md","4","authoritative","complete","diagnostic","real-api","hunyuan-turbos-20250926","phase14.two_stage.v2"
"GEN-000020","PLAN-DIS-008-0003","L3_differential_support","DIS-008","disease","Explain the differential diagnosis boundary for DIS-008 using registered Wiki evidence.","Differential-boundary evidence: According to WOAH, Porcine Epidemic Diarrhea (PED) is a non-zoonotic viral disease of pigs caused by a coronavirus, characterized by watery diarrhea and weight loss [source=A1-WOAH-PED][rule=RC-CITATION-001][fact=DIS008-WEB-001-woah-nonzoonotic-coronavirus][page=wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md]. It primarily affects pigs of all ages but is most severe in neonatal piglets, with high morbidity and mortality rates that decrease with increasing age [source=A1-WOAH-PED][rule=RC-CITATION-001][fact=DIS008-WEB-002-woah-age-morbidity-mortality][page=wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md], and spreads via the fecal–oral route, requiring biosecurity and early detection for control [source=A1-WOAH-PED][rule=RC-CITATION-001][fact=DIS008-WEB-003-woah-fecal-oral-biosecurity-early-detection][page=wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md]. /  / Differential boundary: The evidence defines PED’s clinical presentation, transmission route, and population susceptibility, supporting its distinction from diseases with different etiologies or zoonotic potential. However, because PED is clinically similar to other porcine gastroenteritides and lacks a specific curative treatment [source=A1-WOAH-PED][rule=RC-CITATION-001][fact=DIS008-WEB-004-woah-clinical-similarity-no-specific-treatment][page=wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md], definitive differentiation requires laboratory confirmation beyond clinical signs alone. /  / Do not over-diagnose: No dose, treatment regimen, withdrawal period, regulatory measure, or therapeutic recommendation can be inferred from this evidence.","Differential-boundary evidence: 猪流行性腹泻；authority_supported_ped_boundary_or_fact；WOAH identifies PED as a non-zoonotic viral disease of pigs caused by a coronavirus and characterised by watery diarrhoea and weight loss. [source=A1-WOAH-PED rule=RC-CITATION-001 fact=DIS008-WEB-001-woah-nonzoonotic-coronavirus page=wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md] 猪流行性腹泻；authority_supported_ped_boundary_or_fact；WOAH states that PED affects pigs of all ages but is most severe in neonatal piglets, with morbidity and mortality reaching up to 100% and mortality decreasing as age increases. [source=A1-WOAH-PED rule=RC-CITATION-001 fact=DIS008-WEB-002-woah-age-morbidity-mortality page=wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md] 猪流行性腹泻；authority_supported_ped_boundary_or_fact；WOAH states that PED is mainly transmitted by the faecal–oral route and that prevention and management control focus on strict biosecurity and early detection. [source=A1-WOAH-PED rule=RC-CITATION-001 fact=DIS008-WEB-003-woah-fecal-oral-biosecurity-early-detection page=wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md] 猪流行性腹泻；authority_supported_ped_boundary_or_fact；WOAH states that PED is clinically similar to other forms of porcine gastroenteritis and that there is no specific treatment; this supports diagnostic and treatment-boundary use only. [source=A1-WOAH-PED rule=RC-CITATION-001 fact=DIS008-WEB-004-woah-clinical-similarity-no-specific-treatment page=wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md] /  / Differential boundary: These facts support distinguishing PED from zoonotic diseases due to its non-zoonotic status, identifying it as a coronavirus-induced enteric syndrome with characteristic age-related severity and faecal–oral spread. They also indicate similarity to other porcine gastroenteritides and absence of a specific cure, meaning laboratory confirmation is necessary for definitive differentiation. /  / Do not over-diagnose: Do not infer any specific treatment regimens, drug dosages, withdrawal periods, regulatory measures, or herd-level interventions solely from these facts. Avoid assigning PED as the sole cause based on clinical signs alone. /  / Citation anchors: source=A1-WOAH-PED rule=RC-CITATION-001 fact=DIS008-WEB-001-woah-nonzoonotic-coronavirus page=wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md; source=A1-WOAH-PED rule=RC-CITATION-001 fact=DIS008-WEB-002-woah-age-morbidity-mortality page=wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md; source=A1-WOAH-PED rule=RC-CITATION-001 fact=DIS008-WEB-003-woah-fecal-oral-biosecurity-early-detection page=wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md; source=A1-WOAH-PED rule=RC-CITATION-001 fact=DIS008-WEB-004-woah-clinical-similarity-no-specific-treatment page=wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md","4","authoritative","complete","diagnostic","real-api","hunyuan-turbos-20250926","phase14.two_stage.v2"
"GEN-000021","PLAN-DIS-008-0004","L4_control_boundary","DIS-008","disease","Explain the control boundary for DIS-008 using registered Wiki evidence.","According to WOAH, Porcine Epidemic Diarrhea (PED) is a non-zoonotic viral disease of pigs caused by a coronavirus, characterized by watery diarrhoea and weight loss [source=A1-WOAH-PED][rule=RC-CITATION-001][fact=DIS008-WEB-001-woah-nonzoonotic-coronavirus][page=wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md]. The disease primarily affects pigs of all ages but is most severe in neonatal piglets, where morbidity and mortality can reach up to 100%, decreasing with increasing age [source=A1-WOAH-PED][rule=RC-CITATION-001][fact=DIS008-WEB-002-woah-age-morbidity-mortality][page=wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md]. Transmission occurs mainly via the faecal–oral route, and control efforts emphasize strict biosecurity and early detection [source=A1-WOAH-PED][rule=RC-CITATION-001][fact=DIS008-WEB-003-woah-fecal-oral-biosecurity-early-detection][page=wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md]. /  / The control boundary established by authority sources defines PED as a contagious enteric viral infection limited to swine, with clinical signs overlapping those of other porcine gastroenteritides and no specific curative treatment identified [source=A1-WOAH-PED][rule=RC-CITATION-001][fact=DIS008-WEB-004-woah-clinical-similarity-no-specific-treatment][page=wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md]. This limits authoritative guidance to differential diagnosis support and preventive measures such as biosecurity. /  / No dosing regimens, therapeutic products, withdrawal intervals, regulatory actions, or off-label uses are supported by current evidence.","Control-boundary evidence: 猪流行性腹泻；authority_supported_ped_boundary_or_fact；WOAH identifies PED as a non-zoonotic viral disease of pigs caused by a coronavirus and characterised by watery diarrhoea and weight loss. [source=A1-WOAH-PED rule=RC-CITATION-001 fact=DIS008-WEB-001-woah-nonzoonotic-coronavirus page=wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md] 猪流行性腹泻；authority_supported_ped_boundary_or_fact；WOAH states that PED affects pigs of all ages but is most severe in neonatal piglets, with morbidity and mortality reaching up to 100% and mortality decreasing as age increases. [source=A1-WOAH-PED rule=RC-CITATION-001 fact=DIS008-WEB-002-woah-age-morbidity-mortality page=wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md] 猪流行性腹泻；authority_supported_ped_boundary_or_fact；WOAH states that PED is mainly transmitted by the faecal-oral route and that prevention and management control focus on strict biosecurity and early detection. [source=A1-WOAH-PED rule=RC-CITATION-001 fact=DIS008-WEB-003-woah-fecal-oral-biosecurity-early-detection page=wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md] 猪流行性腹泻；authority_supported_ped_boundary_or_fact；WOAH states that PED is clinically similar to other forms of porcine gastroenteritis and that there is no specific treatment; this supports diagnostic and treatment-boundary use only. [source=A1-WOAH-PED rule=RC-CITATION-001 fact=DIS008-WEB-004-woah-clinical-similarity-no-specific-treatment page=wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md] / Control boundary: The cited evidence supports recognition of PED as a non-zoonotic, enteric coronavirus infection of swine with high severity in neonates, faecal–oral transmission, and absence of a specific antiviral therapy. Control recommendations are limited to biosecurity and early detection. No evidence supports definitive differentiation from other porcine gastroenteritides based solely on clinical signs, nor does it provide authorized treatments, drug doses, withdrawal periods, or regulatory directives. / Do not prescribe beyond evidence: Do not infer or execute any herd disposition, movement restriction, treatment regimen, medication use, or regulatory enforcement based on these statements. Avoid suggesting specific commercial products, dosages, or off-label applications. Diagnosis confirmation requires laboratory testing beyond the provided clinical overlap information. / Citation anchors: source=A1-WOAH-PED rule=RC-CITATION-001 fact=DIS008-WEB-001-woah-nonzoonotic-coronavirus page=wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md; source=A1-WOAH-PED rule=RC-CITATION-001 fact=DIS008-WEB-002-woah-age-morbidity-mortality page=wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md; source=A1-WOAH-PED rule=RC-CITATION-001 fact=DIS008-WEB-003-woah-fecal-oral-biosecurity-early-detection page=wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md; source=A1-WOAH-PED rule=RC-CITATION-001 fact=DIS008-WEB-004-woah-clinical-similarity-no-specific-treatment page=wiki/diseases/DIS-008-porcine-epidemic-diarrhea-virus.md","4","authoritative","complete","diagnostic","real-api","hunyuan-turbos-20250926","phase14.two_stage.v2"
"GEN-000022","PLAN-DIS-009-0001","L1_retrieval_grounded","DIS-009","disease","Summarize core knowledge for DIS-009 using registered Wiki evidence.","Based on registered evidence, transmissible gastroenteritis of pigs (DIS-009) is classified under viral diseases [source=SRC-0001, rule=RC-CITATION-001, fact=DIS-009-toc-category, page=wiki/diseases/DIS-009-transmissible-gastroenteritis-virus.md]. The textbook chapter discussing this disease begins on page 512 [source=SRC-0001, rule=RC-CITATION-001, fact=DIS-009-toc-page-anchor, page=wiki/diseases/DIS-009-transmissible-gastroenteritis-virus.md]. No additional clinical, diagnostic, treatment, or regulatory details are supported by the current evidence.","Evidence basis: 猪传染性胃肠炎被归类为病毒病 [source=SRC-0001 rule=RC-CITATION-001 fact=DIS-009-toc-category page=wiki/diseases/DIS-009-transmissible-gastroenteritis-virus.md]。该病的教科书章节起始页码为第512页 [source=SRC-0001 rule=RC-CITATION-001 fact=DIS-009-toc-page-anchor page=wiki/diseases/DIS-009-transmissible-gastroenteritis-virus.md]。 / Answer boundary: 当前证据仅支持疾病分类和教材章节位置，未提供临床特征、诊断方法、治疗方案或监管措施等信息。 / Do not extend: 不得添加未经证实的诊断标准、药物使用说明、休药期、残留限量或官方处置指令。 / Citation anchors: source=SRC-0001 rule=RC-CITATION-001 fact=DIS-009-toc-category page=wiki/diseases/DIS-009-transmissible-gastroenteritis-virus.md; source=SRC-0001 rule=RC-CITATION-001 fact=DIS-009-toc-page-anchor page=wiki/diseases/DIS-009-transmissible-gastroenteritis-virus.md","2","authoritative","complete","diagnostic","real-api","hunyuan-turbos-20250926","phase14.two_stage.v2"
"GEN-000023","PLAN-DIS-009-0002","L2_diagnosis_support","DIS-009","disease","Explain the diagnosis-support points and limits for DIS-009 using registered Wiki evidence.","Diagnosis-support evidence: The disease is classified under viral diseases (source=SRC-0001, rule=RC-CITATION-001, fact=DIS-009-toc-category, page=wiki/diseases/DIS-009-transmissible-gastroenteritis-virus.md). Diagnostic boundary: This confirms that transmissible gastroenteritis in pigs belongs to the category of viral diseases; however, no additional diagnostic criteria beyond this classification are established by the current evidence (source=SRC-0001, rule=RC-CITATION-001, fact=DIS-009-toc-page-anchor, page=wiki/diseases/DIS-009-transmissible-gastroenteritis-virus.md).","Diagnosis-support evidence: 猪传染性胃肠炎；category；病毒病 [source=SRC-0001 rule=RC-CITATION-001 fact=DIS-009-toc-category page=wiki/diseases/DIS-009-transmissible-gastroenteritis-virus.md]。猪传染性胃肠炎；textbook_chapter_start_page；512 [source=SRC-0001 rule=RC-CITATION-001 fact=DIS-009-toc-page-anchor page=wiki/diseases/DIS-009-transmissible-gastroenteritis-virus.md]。 / Diagnostic boundary: 这些事实支持将猪传染性胃肠炎归类为病毒性疾病，并可在教科书第512页找到相关章节起始位置。但现有证据不足以确定病因、传播途径、诊断标准或治疗方案，因此无法据此作出最终诊断。 / Do not infer: 不得推断病原种类、致病机制、治疗用药、产品使用、休药期、残留限量或官方处置措施等未明确记载的信息。 / Citation anchors: source=SRC-0001 rule=RC-CITATION-001 fact=DIS-009-toc-category page=wiki/diseases/DIS-009-transmissible-gastroenteritis-virus.md; source=SRC-0001 rule=RC-CITATION-001 fact=DIS-009-toc-page-anchor page=wiki/diseases/DIS-009-transmissible-gastroenteritis-virus.md","2","authoritative","complete","diagnostic","real-api","hunyuan-turbos-20250926","phase14.two_stage.v2"
"GEN-000024","PLAN-DIS-009-0003","L3_differential_support","DIS-009","disease","Explain the differential diagnosis boundary for DIS-009 using registered Wiki evidence.","The differential-boundary evidence places Transmissible Gastroenteritis (TGE) of swine within the category of viral diseases [source=SRC-0001, rule=RC-CITATION-001, fact=DIS-009-toc-category, page=wiki/diseases/DIS-009-transmissible-gastroenteritis-virus.md]. The textbook chapter on this disease begins at page 512 [source=SRC-0001, rule=RC-CITATION-001, fact=DIS-009-toc-page-anchor, page=wiki/diseases/DIS-009-transmissible-gastroenteritis-virus.md]. This confirms its classification but does not provide additional diagnostic criteria beyond that categorization.","Differential-boundary evidence: 猪传染性胃肠炎；category；病毒病 [source=SRC-0001 rule=RC-CITATION-001 fact=DIS-009-toc-category page=wiki/diseases/DIS-009-transmissible-gastroenteritis-virus.md] 猪传染性胃肠炎；textbook_chapter_start_page；512 [source=SRC-0001 rule=RC-CITATION-001 fact=DIS-009-toc-page-anchor page=wiki/diseases/DIS-009-transmissible-gastroenteritis-virus.md] / Differential boundary: These facts establish that Transmissible Gastroenteritis (TGE) is classified as a viral disease and locate its discussion in a specific textbook chapter starting at page 512. They support placing TGE within the viral-disease differential group but do not provide clinical signs, laboratory tests, or other distinguishing features necessary for definitive differentiation from other viral enteric infections. / Do not over-diagnose: Do not infer clinical presentation, causative agent confirmation methods, treatment regimens, vaccine usage, withdrawal intervals, maximum residue limits, or regulatory actions based solely on these categorical and bibliographic references. / Citation anchors: source=SRC-0001 rule=RC-CITATION-001 fact=DIS-009-toc-category page=wiki/diseases/DIS-009-transmissible-gastroenteritis-virus.md; source=SRC-0001 rule=RC-CITATION-001 fact=DIS-009-toc-page-anchor page=wiki/diseases/DIS-009-transmissible-gastroenteritis-virus.md","2","authoritative","complete","diagnostic","real-api","hunyuan-turbos-20250926","phase14.two_stage.v2"
