record_type,record_id,name,source_name,source_url,local_path,authority_level,evidence_strength,last_verified,notes
disease,DIS-023,霉菌毒素中毒,Merck Veterinary Manual - Mycotoxicoses in Poultry,https://www.merckvetmanual.com/poultry/mycotoxicoses/mycotoxicoses-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_mycotoxicoses_mycotoxicoses-in-poultry.html,A2,medium,2026-04-23,饲料安全场景。
disease,DIS-024,脂肪肝出血综合征,Merck Veterinary Manual - Fatty Liver Hemorrhagic Syndrome in Poultry,https://www.merckvetmanual.com/poultry/nutrition-and-management/fatty-liver-hemorrhagic-syndrome-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_nutrition-and-management_fatty-liver-hemorrhagic-syndrome-in-poultry.html,A2,medium,2026-04-23,蛋鸡代谢病。
disease,DIS-025,腹水综合征,Merck Veterinary Manual - Ascites Syndrome in Poultry,https://www.merckvetmanual.com/poultry/miscellaneous-conditions-of-poultry/ascites-syndrome-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_miscellaneous-conditions-of-poultry_ascites-syndrome-in-poultry.html,A2,medium,2026-04-23,肉鸡管理病。
disease,DIS-026,笼养蛋鸡疲劳症,Merck Veterinary Manual - Cage Layer Fatigue,https://www.merckvetmanual.com/poultry/nutrition-and-management/cage-layer-fatigue,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_nutrition-and-management_cage-layer-fatigue.html,A2,medium,2026-04-23,蛋鸡营养代谢病。
disease,DIS-027,啄癖,Merck Veterinary Manual - Cannibalism in Poultry,https://www.merckvetmanual.com/poultry/management-and-nutrition/cannibalism-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_management-and-nutrition_cannibalism-in-poultry.html,A2,medium,2026-04-23,管理行为问题。
disease,DIS-028,氨气刺激性呼吸道病,Merck Veterinary Manual - Poultry Housing and Ventilation,https://www.merckvetmanual.com/poultry/management-and-nutrition/management-of-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_management-and-nutrition_management-of-poultry.html,A2,medium,2026-04-23,环境管理场景。
disease,DIS-029,鸡伤寒,Merck Veterinary Manual - Fowl Typhoid in Poultry,https://www.merckvetmanual.com/poultry/salmonelloses/fowl-typhoid-in-poultry,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_salmonelloses_fowl-typhoid-in-poultry.html,A2,high,2026-04-23,沙门菌病补充。
disease,DIS-030,禽脑脊髓炎,Merck Veterinary Manual - Avian Encephalomyelitis,https://www.merckvetmanual.com/poultry/avian-encephalomyelitis/avian-encephalomyelitis,authoritative/raw/clinical_reference/www.merckvetmanual.com_poultry_avian-encephalomyelitis_avian-encephalomyelitis.html,A2,medium,2026-04-23,神经症状鉴别。
drug,DRUG-001,甲硝唑,EMA maximum residue report,https://www.ema.europa.eu/en/documents/mrl-report/metronidazole-summary-report-committee-veterinary-medicinal-products_en.pdf,authoritative/raw/international_technical/metronidazole-summary-report-committee-veterinary-medicinal-products_en.pdf,A1,high,2026-04-22,禁止作为鸡群黄金数据集的合规用药正例。
drug,DRUG-002,氟苯尼考,农业农村部监督抽查通告 + 生产结果复核,https://jgs.moa.gov.cn/gzdt/jgjdt/202312/t20231214_6442796.htm,authoritative/raw/cn_official/t20231214_6442796.htm,A0,medium,2026-04-22,高频高风险药，优先补齐批准文号说明书。
drug,DRUG-003,盐酸多西环素,EMA referral,https://www.ema.europa.eu/en/medicines/veterinary/referrals/doxycycline-50-wsp,authoritative/raw/international_technical/www.ema.europa.eu_en_medicines_veterinary_referrals_doxycycline-50-wsp.html,A1,medium,2026-04-22,暂不把 28 天写成硬规则，先作为 review 优先药。
drug,DRUG-004,地克珠利,农业农村部公告第246号 + EMA MRL,https://www.moa.gov.cn/nybgb/2020/202003/202004/t20200419_6341878.htm,authoritative/raw/cn_official/t20200419_6341878.htm,A0,high,2026-04-22,可作为球虫病正例和 review 案例双向校准锚点。
drug,DRUG-005,复合维生素B,project baseline,,,A2,low,2026-04-22,待补饲料添加剂级权威条目。
drug,DRUG-006,电解多维,project baseline,,,A2,low,2026-04-22,待补产品标签。
drug,DRUG-007,维生素C,project baseline,,,A2,low,2026-04-22,待补权威来源。
drug,DRUG-008,碳酸氢钠,project baseline,,,A2,low,2026-04-22,待补权威来源。
drug,DRUG-009,氯化钾,project baseline,,,A2,low,2026-04-22,待补权威来源。
drug,DRUG-010,维生素K3,project baseline,,,A2,low,2026-04-22,常与抗球虫方案联用。
drug,DRUG-011,氯霉素,农业农村部公告第250号,https://www.moa.gov.cn/govpublic/xmsyj/202001/t20200106_6334375.htm,authoritative/raw/cn_official/t20200106_6334375.htm,A0,high,2026-04-23,任何鸡场景命中均进入红线拦截。
drug,DRUG-012,硝基呋喃类,农业农村部公告第250号,https://www.moa.gov.cn/govpublic/xmsyj/202001/t20200106_6334375.htm,authoritative/raw/cn_official/t20200106_6334375.htm,A0,high,2026-04-23,包含多种别名和代表药物。
drug,DRUG-013,卡巴氧,农业农村部公告第250号,https://www.moa.gov.cn/govpublic/xmsyj/202001/t20200106_6334375.htm,authoritative/raw/cn_official/t20200106_6334375.htm,A0,high,2026-04-23,食品动物禁用。
drug,DRUG-014,氨苯砜,农业农村部公告第250号,https://www.moa.gov.cn/govpublic/xmsyj/202001/t20200106_6334375.htm,authoritative/raw/cn_official/t20200106_6334375.htm,A0,high,2026-04-23,食品动物禁用。
drug,DRUG-015,洛硝达唑,农业农村部公告第250号,https://www.moa.gov.cn/govpublic/xmsyj/202001/t20200106_6334375.htm,authoritative/raw/cn_official/t20200106_6334375.htm,A0,high,2026-04-23,与硝基咪唑类红线同组管理。
drug,DRUG-016,替硝唑,农业农村部公告第250号,https://www.moa.gov.cn/govpublic/xmsyj/202001/t20200106_6334375.htm,authoritative/raw/cn_official/t20200106_6334375.htm,A0,high,2026-04-23,与硝基咪唑类红线同组管理。
drug,DRUG-017,诺氟沙星,农业部公告第2292号,https://www.moa.gov.cn/xw/bmdt/201509/t20150907_4819267.htm,authoritative/raw/cn_official/t20150907_4819267.htm,A0,high,2026-04-23,按食品动物停止使用红线管理。
drug,DRUG-018,氧氟沙星,农业部公告第2292号,https://www.moa.gov.cn/xw/bmdt/201509/t20150907_4819267.htm,authoritative/raw/cn_official/t20150907_4819267.htm,A0,high,2026-04-23,按食品动物停止使用红线管理。
drug,DRUG-019,阿莫西林,农业农村部公告第190号,https://www.moa.gov.cn/nybgb/2019/201907/202001/t20200106_6334395.htm,authoritative/raw/cn_official/t20200106_6334395.htm,A0,high,2026-04-23,治疗敏感菌感染时必须按标签使用。
drug,DRUG-020,复方氨苄西林,农业部公告第278号,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,authoritative/raw/cn_official/t20171126_5919564.htm,A0,medium,2026-04-23,需结合具体产品标签复核剂型。
drug,DRUG-021,恩诺沙星,农业部公告第278号,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,authoritative/raw/cn_official/t20171126_5919564.htm,A0,medium,2026-04-23,动物专用喹诺酮但产蛋期禁止。
drug,DRUG-022,盐酸大观霉素,农业部公告第278号,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,authoritative/raw/cn_official/t20171126_5919564.htm,A0,medium,2026-04-23,常用于细菌性呼吸道/肠道问题时需标签化管理。
drug,DRUG-023,磺胺氯吡嗪钠,农业部公告第278号,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,authoritative/raw/cn_official/t20171126_5919564.htm,A0,medium,2026-04-23,球虫病处方高频候选。
drug,DRUG-024,酒石酸泰乐菌素,农业部公告第278号,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,authoritative/raw/cn_official/t20171126_5919564.htm,A0,medium,2026-04-23,支原体相关场景高频候选。
drug,DRUG-025,马杜霉素铵,农业部公告第278号,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,authoritative/raw/cn_official/t20171126_5919564.htm,A0,medium,2026-04-23,离子载体类需防止过量和混饲错误。
drug,DRUG-026,二硝托胺,农业部公告第278号,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,authoritative/raw/cn_official/t20171126_5919564.htm,A0,medium,2026-04-23,抗球虫药规则补齐。
drug,DRUG-027,海南霉素钠,农业部公告第278号,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,authoritative/raw/cn_official/t20171126_5919564.htm,A0,medium,2026-04-23,抗球虫药规则补齐。
drug,DRUG-028,硫酸安普霉素,农业部公告第278号,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,authoritative/raw/cn_official/t20171126_5919564.htm,A0,medium,2026-04-23,大肠杆菌等场景候选药需严格标签管理。
drug,DRUG-029,土霉素,农业部公告第278号,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,authoritative/raw/cn_official/t20171126_5919564.htm,A0,medium,2026-04-23,需按具体剂型区分片剂、预混剂和注射剂。
drug,DRUG-030,四环素,农业部公告第278号,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,authoritative/raw/cn_official/t20171126_5919564.htm,A0,medium,2026-04-23,四环素类通用风险锚点。
drug,DRUG-031,甲砜霉素,农业部公告第278号,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,authoritative/raw/cn_official/t20171126_5919564.htm,A0,medium,2026-04-23,与氟苯尼考同类但需按具体标签核定。
drug,DRUG-032,吉他霉素,农业部公告第278号,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,authoritative/raw/cn_official/t20171126_5919564.htm,A0,medium,2026-04-23,呼吸道和支原体场景候选。
drug,DRUG-033,达氟沙星,农业部公告第278号,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,authoritative/raw/cn_official/t20171126_5919564.htm,A0,medium,2026-04-23,动物专用喹诺酮需严格标签管理。
drug,DRUG-034,环丙沙星,农业部公告第278号,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,authoritative/raw/cn_official/t20171126_5919564.htm,A0,medium,2026-04-23,人用重要抗菌药相关风险高，默认进入复核。
drug,DRUG-035,沙拉沙星,农业部公告第278号,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,authoritative/raw/cn_official/t20171126_5919564.htm,A0,medium,2026-04-23,虽有0日项但产蛋期禁用仍需拦截。
drug,DRUG-036,二氟沙星,农业部公告第278号,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,authoritative/raw/cn_official/t20171126_5919564.htm,A0,medium,2026-04-23,需进一步补产蛋期标签。
drug,DRUG-037,硫酸新霉素,农业部公告第278号,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,authoritative/raw/cn_official/t20171126_5919564.htm,A0,medium,2026-04-23,肠道细菌病高频候选。
drug,DRUG-038,硫酸粘菌素,农业部公告第278号,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,authoritative/raw/cn_official/t20171126_5919564.htm,A0,medium,2026-04-23,人医重要药物相关风险极高，默认进入复核。
drug,DRUG-039,硫氰酸红霉素,农业部公告第278号,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,authoritative/raw/cn_official/t20171126_5919564.htm,A0,medium,2026-04-23,呼吸道/支原体场景候选。
drug,DRUG-040,盐霉素钠,农业部公告第278号,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,authoritative/raw/cn_official/t20171126_5919564.htm,A0,medium,2026-04-23,抗球虫药高频候选。
drug,DRUG-041,氯羟吡啶,农业部公告第278号,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,authoritative/raw/cn_official/t20171126_5919564.htm,A0,medium,2026-04-23,抗球虫药规则补齐。
drug,DRUG-042,盐酸氯苯胍,农业部公告第278号,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,authoritative/raw/cn_official/t20171126_5919564.htm,A0,medium,2026-04-23,抗球虫药规则补齐。
drug,DRUG-043,氨丙啉复方,农业部公告第278号,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,authoritative/raw/cn_official/t20171126_5919564.htm,A0,medium,2026-04-23,需按复方组成选择更保守休药期。
drug,DRUG-044,磺胺喹噁啉钠,农业部公告第278号,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,authoritative/raw/cn_official/t20171126_5919564.htm,A0,medium,2026-04-23,球虫病处方高频候选。
drug,DRUG-045,复方磺胺氯哒嗪钠,农业部公告第278号,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,authoritative/raw/cn_official/t20171126_5919564.htm,A0,medium,2026-04-23,需按产品标签复核。
drug,DRUG-046,磺胺二甲嘧啶,农业部公告第278号,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,authoritative/raw/cn_official/t20171126_5919564.htm,A0,medium,2026-04-23,需进一步补蛋鸡标签。
drug,DRUG-047,阿苯达唑,农业部公告第278号,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,authoritative/raw/cn_official/t20171126_5919564.htm,A0,medium,2026-04-23,寄生虫病场景候选。
drug,DRUG-048,左旋咪唑,农业部公告第278号,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,authoritative/raw/cn_official/t20171126_5919564.htm,A0,medium,2026-04-23,寄生虫病场景候选。
drug,DRUG-049,枸橼酸哌嗪,农业部公告第278号,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,authoritative/raw/cn_official/t20171126_5919564.htm,A0,medium,2026-04-23,寄生虫病场景候选。
drug,DRUG-050,环丙氨嗪,农业部公告第278号,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,authoritative/raw/cn_official/t20171126_5919564.htm,A0,medium,2026-04-23,环境虫害控制相关，不应替代疾病治疗。
compliance_rule,RULE-001,甲硝唑,EMA maximum residue report,https://www.ema.europa.eu/en/documents/mrl-report/metronidazole-summary-report-committee-veterinary-medicinal-products_en.pdf,authoritative/raw/international_technical/metronidazole-summary-report-committee-veterinary-medicinal-products_en.pdf,A1,high,2026-04-22,一旦命中即进入 review/剔除队列。
compliance_rule,RULE-002,氟苯尼考,农业农村部监督抽查通告 + 生产结果复核,https://jgs.moa.gov.cn/gzdt/jgjdt/202312/t20231214_6442796.htm,authoritative/raw/cn_official/t20231214_6442796.htm,A0,medium,2026-04-22,review console 中优先补证。
compliance_rule,RULE-003,氟苯尼考,农业农村部监督抽查通告,https://jgs.moa.gov.cn/gzdt/jgjdt/202312/t20231214_6442796.htm,authoritative/raw/cn_official/t20231214_6442796.htm,A0,high,2026-04-22,蛋鸡场景直接拦截。
compliance_rule,RULE-004,盐酸多西环素,EMA referral,https://www.ema.europa.eu/en/medicines/veterinary/referrals/doxycycline-50-wsp,authoritative/raw/international_technical/www.ema.europa.eu_en_medicines_veterinary_referrals_doxycycline-50-wsp.html,A1,medium,2026-04-22,当前不把 28 天写死，统一进入优先复核。
compliance_rule,RULE-005,地克珠利,农业农村部公告第246号,https://www.moa.gov.cn/nybgb/2020/202003/202004/t20200419_6341878.htm,authoritative/raw/cn_official/t20200419_6341878.htm,A0,high,2026-04-22,可直接用于规则门和 GEval 检索证据。
compliance_rule,RULE-006,地克珠利,农业农村部公告第246号 + EMA MRL,https://www.moa.gov.cn/nybgb/2020/202003/202004/t20200419_6341878.htm,authoritative/raw/cn_official/t20200419_6341878.htm,A0,high,2026-04-22,蛋鸡场景直接拦截。
compliance_rule,RULE-007,复合维生素B,project baseline,,,A2,low,2026-04-22,后续补标签来源。
compliance_rule,RULE-008,电解多维,project baseline,,,A2,low,2026-04-22,后续补标签来源。
compliance_rule,RULE-009,维生素C,project baseline,,,A2,low,2026-04-22,后续补标签来源。
compliance_rule,RULE-010,碳酸氢钠,project baseline,,,A2,low,2026-04-22,后续补标签来源。
compliance_rule,RULE-011,氯化钾,project baseline,,,A2,low,2026-04-22,后续补标签来源。
compliance_rule,RULE-012,维生素K3,project baseline,,,A2,low,2026-04-22,后续补标签来源。
compliance_rule,RULE-013,氯霉素,农业农村部公告第250号,https://www.moa.gov.cn/govpublic/xmsyj/202001/t20200106_6334375.htm,authoritative/raw/cn_official/t20200106_6334375.htm,A0,high,2026-04-23,一旦命中即进入 review/剔除队列。
compliance_rule,RULE-014,硝基呋喃类,农业农村部公告第250号,https://www.moa.gov.cn/govpublic/xmsyj/202001/t20200106_6334375.htm,authoritative/raw/cn_official/t20200106_6334375.htm,A0,high,2026-04-23,包含呋喃西林、呋喃妥因、呋喃它酮、呋喃唑酮等。
compliance_rule,RULE-015,卡巴氧,农业农村部公告第250号,https://www.moa.gov.cn/govpublic/xmsyj/202001/t20200106_6334375.htm,authoritative/raw/cn_official/t20200106_6334375.htm,A0,high,2026-04-23,一旦命中即进入 review/剔除队列。
compliance_rule,RULE-016,氨苯砜,农业农村部公告第250号,https://www.moa.gov.cn/govpublic/xmsyj/202001/t20200106_6334375.htm,authoritative/raw/cn_official/t20200106_6334375.htm,A0,high,2026-04-23,一旦命中即进入 review/剔除队列。
compliance_rule,RULE-017,洛硝达唑,农业农村部公告第250号,https://www.moa.gov.cn/govpublic/xmsyj/202001/t20200106_6334375.htm,authoritative/raw/cn_official/t20200106_6334375.htm,A0,high,2026-04-23,与硝基咪唑类红线同组管理。
compliance_rule,RULE-018,替硝唑,农业农村部公告第250号,https://www.moa.gov.cn/govpublic/xmsyj/202001/t20200106_6334375.htm,authoritative/raw/cn_official/t20200106_6334375.htm,A0,high,2026-04-23,与硝基咪唑类红线同组管理。
compliance_rule,RULE-019,诺氟沙星,农业部公告第2292号,https://www.moa.gov.cn/xw/bmdt/201509/t20150907_4819267.htm,authoritative/raw/cn_official/t20150907_4819267.htm,A0,high,2026-04-23,一旦命中即进入 review/剔除队列。
compliance_rule,RULE-020,氧氟沙星,农业部公告第2292号,https://www.moa.gov.cn/xw/bmdt/201509/t20150907_4819267.htm,authoritative/raw/cn_official/t20150907_4819267.htm,A0,high,2026-04-23,一旦命中即进入 review/剔除队列。
compliance_rule,RULE-021,阿莫西林,农业农村部公告第190号,https://www.moa.gov.cn/nybgb/2019/201907/202001/t20200106_6334395.htm,authoritative/raw/cn_official/t20200106_6334395.htm,A0,high,2026-04-23,需按批准产品说明书剂量使用。
compliance_rule,RULE-022,阿莫西林,农业农村部公告第190号,https://www.moa.gov.cn/nybgb/2019/201907/202001/t20200106_6334395.htm,authoritative/raw/cn_official/t20200106_6334395.htm,A0,high,2026-04-23,蛋鸡场景直接拦截。
compliance_rule,RULE-023,复方氨苄西林,农业部公告第278号,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,authoritative/raw/cn_official/t20171126_5919564.htm,A0,medium,2026-04-23,需按具体批准标签确认剂型。
compliance_rule,RULE-024,复方氨苄西林,农业部公告第278号,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,authoritative/raw/cn_official/t20171126_5919564.htm,A0,medium,2026-04-23,蛋鸡场景直接拦截。
compliance_rule,RULE-025,恩诺沙星,农业部公告第278号,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,authoritative/raw/cn_official/t20171126_5919564.htm,A0,medium,2026-04-23,动物专用喹诺酮需严格标签管理。
compliance_rule,RULE-026,恩诺沙星,农业部公告第278号,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,authoritative/raw/cn_official/t20171126_5919564.htm,A0,medium,2026-04-23,蛋鸡场景直接拦截。
compliance_rule,RULE-027,盐酸大观霉素,农业部公告第278号,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,authoritative/raw/cn_official/t20171126_5919564.htm,A0,medium,2026-04-23,需按具体批准标签确认剂型。
compliance_rule,RULE-028,盐酸大观霉素,农业部公告第278号,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,authoritative/raw/cn_official/t20171126_5919564.htm,A0,medium,2026-04-23,蛋鸡场景直接拦截。
compliance_rule,RULE-029,磺胺氯吡嗪钠,农业部公告第278号,https://www.moa.gov.cn/nybgb/2003/snqi/201711/t20171126_5919564.htm,authoritative/raw/cn_official/t20171126_5919564.htm,A0,medium,2026-04-23,球虫病处方高频候选。
